burst,chime_dm,chime_sigma,dsa_dm,dsa_sigma,joint_dm,joint_sigma,chime_minus_dsa,tension_sigma,between_band_sigma,quality,flags
casey,491.20782631812534,0.005165417619795133,491.1974921068789,0.03955045785842521,491.2076530016682,0.005121919511059648,0.010334211246458835,0.25909147844082786,0.0,PASS,
chromatica,272.6386987543787,0.011918379848735847,272.5614158929278,0.0861742562298377,272.6372482012704,0.011805999590898808,0.07728286145089669,0.8883644916243564,0.0,PASS,
freya,912.4075523534933,0.01566780599702754,912.4910914562957,0.02229203741964097,912.4478168923968,0.04174242879421504,-0.08353910280243326,3.065959510394649,0.05584069582283314,PASS_SYSTEMATIC,joint uncertainty includes between-band systematic
hamilton,518.7969925087872,0.005,518.7976552053478,0.06302415019808952,518.7969966537044,0.00498433891570545,-0.0006626965606528756,0.01048202711558787,0.0,PASS,
isha,411.4357169198453,0.005,411.55270688982205,0.07239998318050674,411.4719161577471,0.05407922827336439,-0.11698996997677114,1.6120442753173783,0.06488411019127932,PASS_SYSTEMATIC,joint uncertainty includes between-band systematic
johndoeII,696.5180007154246,0.005,696.4655035884653,0.06845434850354844,696.5177221272737,0.004986715523824851,0.05249712695933795,0.7648549542495884,0.0,PASS,
mahi,960.1316106505848,0.005,960.0858345474597,0.06974542677382639,960.1313765938844,0.004987200928043557,0.04577610312503566,0.6546511636604347,0.0,PASS,
oran,397.0155353225763,0.005,396.9410459579971,0.08250554694875535,397.0152627539192,0.0049908437110764816,0.07448936457916489,0.9011873516405229,0.0,PASS,
phineas,610.2890695404659,0.005,610.2325428563926,0.0070961609071264085,610.2610304774581,0.028262452158275324,0.056526684073332945,6.511724726728681,0.03949626889154571,PASS_SYSTEMATIC,joint uncertainty includes between-band systematic
whitney,462.1887733346075,0.005,462.1928057938939,0.02931262509484822,462.18888734508363,0.004928810233814445,-0.00403245928640672,0.13560864326528477,0.0,PASS,
wilhelm,602.377821287377,0.006046706637459363,602.3791915884563,0.01280000793215974,602.3780712930554,0.005467353760652391,-0.0013703010793051362,0.0967974769884995,0.0,PASS,
zach,262.3616645520597,0.010371823379894859,262.3163965344099,0.02929663103498233,262.34732246663623,0.02106044543192655,0.045268017649846115,1.4565746347237727,0.02327365583361535,PASS_SYSTEMATIC,joint uncertainty includes between-band systematic
