config,310F P<0,1203A P<0,506D P<0,1113A P<0,307A P<0
FIDUCIAL,0.45324,0.44636,0.25584,0.23335,0.22891
F narrow (Macquart .32),0.45225,0.44572,0.25531,0.23305,0.22918
F low (James low-feedbk),0.48383,0.46381,0.25201,0.22861,0.22562
F wide (strong feedbk),0.44745,0.44243,0.25792,0.23617,0.23045
halo median 20 (K&P low),0.45393,0.44736,0.25917,0.23809,0.22867
halo median 55 (Y&T),0.45464,0.44662,0.25551,0.2321,0.2305
halo median 65 (Prochask),0.45649,0.44649,0.25649,0.23282,0.23199
halo sigma_ln 0.25,0.45108,0.445,0.25317,0.23117,0.22764
halo sigma_ln 0.50,0.45677,0.44822,0.26121,0.23861,0.23178
disk frac 0.20,0.45141,0.44374,0.24831,0.22491,0.22861
disk frac 0.50,0.45772,0.45207,0.27598,0.25618,0.23077
int assumed 0.50,0.45199,0.45592,0.25584,0.23335,0.22891
int assumed 0.90,0.45324,0.44636,0.25584,0.23335,0.22891
