frb_name,nickname,candname,tns_name,mjd,snr_heimdall,dm_heimdall,dm_opt,dm_exgal,dm_mw_ne2001_30kpc,redshift,ra_beam_deg,dec_beam_deg,detection_beam,ibox,opt_integration_bins,signal_bin,fluence_jyms,pb_attenuation,chime_event_no,voltage_localization,pos_err_ra_arcsec,pos_err_dec_arcsec,calib_voltages,astrometry_notes,comment,swift
FRB20220121B,clare,220121aaat,FRB 20220121B,59600.230172,9.4,313.4,313.5,228.58,84.9171,,84.49,65.7,100.0,8.0,32.0,476,,0.93,,05h42m38.5s +64d23m35.9s,,,"voltages_24jan22 (continuum), 2022_1_28_2_40_4 (psr)",TBC - needs image,check,
FRB20220204A,fen,220204aaai,FRB 20220204A,59614.726529,16.2,612.6,612.2,559.43,52.7675,0.4,278.2,71.6,209.0,4.0,32.0,476,,0.81,,18h16m54.30s +69d43m21.01s,1.56,0.93,,"nvss selfcal, vlbi shifted, final",,
FRB20220207C,zach,220207aabh,FRB 20220207C,59617.808504,60.0,263.0,262.3,182.98,79.3209,0.043,310.7,71.6,136.0,2.0,16.0,953**,28.6,0.93,210456524,20h40m47.886s +72d52m56.378s,0.63,0.54,voltages_08feb22 (continuum - use for polcal),"nvss selfcal, vlbi shifted, final",,
FRB20220208A,ishita,220208aaaa,FRB 20220208A,59618.829625,13.8,440.7,437.0,346.65,90.3515,0.351,319.2,71.5,59.0,16.0,64.0,238,,0.86,,21h30m18.03s +70d02m27.75s,0.99,0.64,,"nvss selfcal, vlbi shifted, final",,
FRB20220307B,alex,220307aaae,FRB 20220307B,59645.845634,11.9,499.3,499.15,363.43,135.7179,0.2507,351.6,71.5,138.0,2.0,8.0,1906,2.2,0.98,,23h23m29.879s +72d11m32.59s,1.72,1.26,,"nvss selfcal, vlbi shifted, final",,
FRB20220310F,whitney,220310aaam,FRB 20220310F,59648.241721,68.4,462.7,462.15,416.71,45.44,0.479,136.08,71.72,150.0,4.0,32.0,"476, 477",23.9,0.85,215063905,08h58m52.92s +73d29m27.0s,1.9,1.4,,"nvss selfcal, vlbi shifted, final",,
FRB20220319D,mark,220319aaeb,FRB 20220319D,59657.932757,41.7,111.0,110.95,-22.31,133.2552,0.0111,34.5,71.5,172.0,1.0,8.0,1907,9.6,0.96,,02h08m42.701s +71d02m06.936s,0.58,0.55,,"nvss selfcal, vlbi shifted, final",,
FRB20220330D,erdos,220330aaan,FRB 20220330D,59668.268409,12.9,467.8,468.1,428.75,39.3546,0.3714,163.7,71.8,164.0,32.0,256.0,59,,0.92,,10h55m00.30s +70d21m02.70s,1.62,0.97,,"nvss selfcal, vlbi shifted, final",,
FRB20220411,maya,220411aabk,,59680.681608,9.5,151.3,150.0,47.85,102.1534,,327.5,71.5,117.0,32.0,256.0,59,,,,,,,,,,
FRB20220418A,quincy,220418aaai,FRB 20220418A,59687.355728,10.9,624.1,623.45,585.84,37.6098,0.622,219.5,71.7,66.0,4.0,8.0,1907***,4.1,0.88,,14h36m25.338s +70d05m45.40s,1.356,0.761,,"nvss selfcal, vlbi shifted, final",best DM is 623.1,
FRB20220424E,davina,220424aabq,FRB 20220424E,59693.7794253,9.4,863.9,863.35,717.29,146.0562,,14.83,71.5,37.0,2.0,4.0,"3815, 3816",,0.92,,01h18m02.43s +71d47m47.06s,,,,"fitted, selfcal, 1'' error. Needs image",check,
,TBC,220501aaar,,59700.335462,10.7,723.8,721.5,683.72,37.7761,,222.9,71.7,105.0,32.0,128.0,119,,,,,,,,,,
FRB20220506D,oran,220506aabd,FRB 20220506D,59705.597013,48.9,396.7,396.93,307.81,89.1189,0.3005,318.3,71.5,180.0,2.0,16.0,952,16.0,0.91,224263996,21h12m10.760s +72d49m38.20s,1.11,0.81,,"nvss selfcal, vlbi shifted, final",,
FRB20220509G,jackie,220426aaaw,FRB 20220509G,59708.4944991,21.5,270.3,269.5,214.29,55.21,0.0894,282.44,71.6,216.0,2.0,8.0,1907,6.3,0.85,,18h50m40.8s +70d14m37.8s,2.2,1.5,"*** Also signal in bins 1917, 1918","nvss selfcal, vlbi shifted, final",,
,benjy,220521aaat,?,59720.323685,11.1,1294.8,,,69.5888,,236.1,71.7,149.0,16.0,,,,,-,,,,** Signal until bin 959,,,
FRB20220726A,gertrude,220726aabn,FRB 20220726A,59786.693269,12.7,686.2,686.55,601.37,85.1822,0.361,73.8,71.6,150.0,4.0,32.0,476,,0.88,237537161,04h55m46.96s +69d55m44.8s,0.8,0.6,,"fitted, selfcal, 1'' error. Spec",,
FRB20220801A,augustine,220801aabd,FRB 20220801A,59792.6177637,9.3,413.4,413.0,303.73,109.2686,0.37,53.8,71.6,102.0,4.0,16.0,953,,0.92,,03h39m51.23s +70d10m53.7s,,,,"fitted, only bf weights. 2'' error. Needs image",check,
FRB20220825A,ansel,220825aaad,FRB 20220825A,59816.2572925,15.1,649.8,651.2,571.5,79.7,0.2414,307.8,71.6,53.0,4.0,8.0,1905,5.2,0.9,,20h47m55.548s +72d35m05.89s,0.78,0.69,,"nvss selfcal, vlbi shifted, final",,
FRB20220831A,ada,220831aaaj,FRB 20220831A,59822.3107182,19.2,1146.1,1146.25,1036.45,109.8,0.262,333.09,71.6,11.0,8.0,64.0,238.0,,0.83,,22h34m46.93s +70d32m18.40s,1.03,0.67,,,,
FRB20220914A,elektra,220914aabz,FRB 20220914A,59836.145966,9.6,630.7,631.05,575.86,55.19,0.1138,282.6,71.6,220.0,2.0,4.0,3814.0,2.8,0.8,,18h48m13.63s +73d20m12.89s,0.93,0.73,,"nvss selfcal, vlbi shifted, final",,
FRB20220920A,etienne,220920aacl,FRB 20220920A,59842.9815705,14.4,315.1,315.0,274.68,40.319,0.1585,235.1,71.7,23.0,2.0,16.0,953.0,4.6,0.87,,16h01m01.700s +70d55m07.681s,1.02,0.6,,"nvss selfcal, vlbi shifted, final",,
