sightline,center_ra_deg,center_dec_deg,objID,raMean,raMeanErr,decMean,decMeanErr,l,b,distance_Deg,sqrErr_Arcsec,BayesFactor,cntr,HtmID,ra,dec,sigra,sigdec,sigradec,cc_flags,ext_flg,ph_qual,moon_lev,w1mpro,w1sigmpro,w1rchi2,w1sat,w1mag,w1sigm,w1flg,w1mag_1,w1sigm_1,w1flg_1,w1mag_4,w1sigm_4,w1flg_4,w1mag_7,w1sigm_7,w1flg_7,w2mpro,w2sigmpro,w2rchi2,w2sat,w2mag,w2sigm,w2flg,w2mag_1,w2sigm_1,w2flg_1,w2mag_4,w2sigm_4,w2flg_4,w2mag_7,w2sigm_7,w2flg_7,w3mpro,w3sigmpro,w3rchi2,w3sat,w3mag,w3sigm,w3flg,w3mag_1,w3sigm_1,w3flg_1,w3mag_4,w3sigm_4,w3flg_4,w3mag_7,w3sigm_7,w3flg_7,w4mpro,w4sigmpro,w4rchi2,w4sat,w4mag,w4sigm,w4flg,w4mag_1,w4sigm_1,w4flg_1,w4mag_4,w4sigm_4,w4flg_4,w4mag_7,w4sigm_7,w4flg_7,gFPSFMag,gFPSFMagErr,gFKronMag,gFKronMagErr,gFApMag,gFApMagErr,gFmeanMagR5,gFmeanMagR5Err,gFmeanMagR6,gFmeanMagR6Err,gFmeanMagR7,gFmeanMagR7Err,gnTotal,gnIncPSFFlux,gnIncKronFlux,gnIncApFlux,gnIncR5,gnIncR6,gnIncR7,gFlags,gE1,gE2,rFPSFMag,rFPSFMagErr,rFKronMag,rFKronMagErr,rFApMag,rFApMagErr,rFmeanMagR5,rFmeanMagR5Err,rFmeanMagR6,rFmeanMagR6Err,rFmeanMagR7,rFmeanMagR7Err,rnTotal,rnIncPSFFlux,rnIncKronFlux,rnIncApFlux,rnIncR5,rnIncR6,rnIncR7,rFlags,rE1,rE2,iFPSFMag,iFPSFMagErr,iFKronMag,iFKronMagErr,iFApMag,iFApMagErr,iFmeanMagR5,iFmeanMagR5Err,iFmeanMagR6,iFmeanMagR6Err,iFmeanMagR7,iFmeanMagR7Err,inTotal,inIncPSFFlux,inIncKronFlux,inIncApFlux,inIncR5,inIncR6,inIncR7,iFlags,iE1,iE2,zFPSFMag,zFPSFMagErr,zFKronMag,zFKronMagErr,zFApMag,zFApMagErr,zFmeanMagR5,zFmeanMagR5Err,zFmeanMagR6,zFmeanMagR6Err,zFmeanMagR7,zFmeanMagR7Err,znTotal,znIncPSFFlux,znIncKronFlux,znIncApFlux,znIncR5,znIncR6,znIncR7,zFlags,zE1,zE2,yFPSFMag,yFPSFMagErr,yFKronMag,yFKronMagErr,yFApMag,yFApMagErr,yFmeanMagR5,yFmeanMagR5Err,yFmeanMagR6,yFmeanMagR6Err,yFmeanMagR7,yFmeanMagR7Err,ynTotal,ynIncPSFFlux,ynIncKronFlux,ynIncApFlux,ynIncR5,ynIncR6,ynIncR7,yFlags,yE1,yE2,EBV_Planck,EBV_PS1,class,prob_Galaxy,prob_Star,prob_QSO,extrapolation_Class,cellDistance_Class,cellID_Class,z_phot,z_photErr,z_phot0,extrapolation_Photoz,cellDistance_Photoz,cellID_Photoz
casey,169.9835417,70.67622222,192571692613688899,169.26161573,0.0539700016379356,70.48176199,0.0600100010633469,133.760480982589,44.6091477054849,0.000205584626531856,0.324411106962025,112756166384.837,1710171101241008472,15893006576418,169.2620528,70.4819067,0.5255,0.53820002,0.1533,0000,0,BUUU,0,17.790001,0.168,0.9188,0,17.492001,0.31400001,1,18.149,0.32499999,1,17.236,0.315,1,15.723,0.12899999,1,17.518999,-999,0.92030001,0,16.546,-999,32,17.226,-999,32,16.209999,-999,32,15.607,0.31400001,1,13.457,-999,0.99900001,0,12.457,-999,32,13.646,-999,32,12.766,-999,32,12.223,-999,32,9.592,-999,1.06400001,0,8.8030005,-999,32,9.8269997,-999,32,8.9209995,-999,32,8.2089996,-999,32,22.9326992034912,0.122417002916336,22.8502998352051,0.468971997499466,22.7205009460449,0.217412993311882,21.0286998748779,0.318046003580093,21.6993007659912,0.92280900478363,-999,-999,36,5,5,5,1,1,1,16416,-0.282546013593674,-0.34136900305748,21.9123992919922,0.106564998626709,21.9060001373291,0.195960000157356,21.6306991577148,0.137345001101494,21.9584999084473,0.505604028701782,22.1860008239746,0.955190002918243,22.011999130249,1.30164003372192,36,7,7,6,8,8,8,115000,0.0700376033782959,0.133925005793571,21.4370002746582,0.0570250004529953,21.4123992919922,0.0746169984340668,21.2346992492676,0.0712310001254082,21.4902000427246,0.731657028198242,21.2024993896484,0.873696982860565,20.9584999084473,1.12442004680634,78,17,17,15,23,23,23,115000,-0.190713003277779,-0.282660990953445,20.8768997192383,0.0785339996218681,20.7999992370605,0.1423249989748,20.8892002105713,0.148747995495796,20.9216003417969,0.459839999675751,21.0629997253418,0.818922996520996,20.5554008483887,0.818234026432037,52,12,12,11,15,15,15,115000,0.169596001505852,0.0150006003677845,20.4827995300293,0.0706290006637573,20.6049995422363,0.220685005187988,20.7098007202148,0.251915007829666,20.403600692749,1.02487003803253,21.1131000518799,3.08503007888794,-999,-999,46,9,9,8,11,11,11,114720,-0.158318996429443,-0.929747998714447,0.02303996,0.08630471,GALAXY,0.98163795,0.015523954,0.0028381008,0,3.50934146105724,1194,0.56526643037796,0.292733594178541,0.49959424,1,3.92449837485063,112
casey,169.9835417,70.67622222,192571692858726029,169.28594426,0.00100000004749745,70.47940808,0.00100000004749745,133.752247576444,44.6152522116854,5.36832030938399E-05,0.200262405534508,387063785147.394,1710171101241007796,15893006517619,169.2858484,70.479365,0.41479999,0.42550001,0.12620001,0000,0,ABUU,0,16.766001,0.072999999,0.78350002,0,16.256001,0.13500001,1,17.104,0.16500001,1,15.55,0.089000002,1,14.88,0.079000004,1,16.375,0.169,0.87449998,0,15.907,0.27000001,1,16.85,0.34400001,1,15.226,0.17299999,1,14.584,0.15800001,1,12.942,-999,0.97530001,0,12.194,-999,32,13.531,-999,32,12.727,0.373,1,11.763,0.25299999,1,9.71,-999,0.9587,0,8.6389999,-999,32,9.8669996,-999,32,8.823,0.368,1,7.9970002,0.31400001,17,24.0575008392334,0.776961982250214,22.9300994873047,0.940047979354858,23.9587993621826,1.8931200504303,25.1023998260498,7.62895011901855,23.2991008758545,2.18244004249573,22.8698997497559,2.25578999519348,36,6,6,6,5,5,5,16416,0.209569007158279,0.781606018543243,22.7789993286133,0.295626997947693,26.059700012207,39.0609016418457,-999,-999,23.2796993255615,1.57571005821228,23.728099822998,3.68849992752075,23.2668991088867,3.74865007400513,36,3,3,2,4,4,4,16416,0.243594005703926,-0.151570007205009,22.4724006652832,0.188909992575645,22.1651992797852,0.564163982868195,22.3143005371094,0.252452999353409,22.1243000030518,1.5536299943924,22.0419006347656,2.24181008338928,21.3472003936768,1.88989996910095,78,9,9,8,11,11,11,16416,-0.438656002283096,-0.0521490983664989,21.9909992218018,0.122167997062206,21.9472999572754,0.321776986122131,21.8661994934082,0.233225002884865,21.2014999389648,0.791091024875641,20.6256008148193,0.700437009334564,19.711799621582,0.466057002544403,52,9,8,7,7,7,7,114720,0.416996002197266,0.0607707984745502,21.369800567627,0.543397009372711,19.7476997375488,0.278593003749847,20.8321990966797,0.684503018856049,20.110200881958,0.616311013698578,18.9027004241943,0.312707006931305,18.0921993255615,0.235936999320984,46,7,7,6,8,8,8,16416,0.12720300257206,-0.393880993127823,0.02244453,0.08630471,GALAXY,0.9574218,0.0044751484,0.038102996,1,10.0695777450526,615,0.754570603370667,1.06881671790279,0.75316465,1,10.9752435423437,3884
casey,169.9835417,70.67622222,192571694022097861,169.40233264,0.00504999980330467,70.48092546,0.00560999987646937,133.703829992164,44.6333400619163,0.000145078670980808,0.856795965985258,84697242247.3384,1710171101241008202,15704850293889,169.4025702,70.4810469,0.85710001,0.88020003,0.25350001,0000,0,BCUU,0,17.608999,0.146,0.8391,0,16.726999,0.122,1,17.676001,0.16599999,1,15.965,0.075999998,1,15.472,0.079999998,1,17.306999,0.38600001,0.88309997,0,16.236,0.27500001,1,17.243,0.37599999,1,15.736,0.206,1,15.432,0.25799999,1,13.436,-999,0.86830002,0,13.041,-999,32,14.211,-999,32,13.366,-999,32,12.836,-999,32,9.6540003,-999,0.88999999,0,9.2600002,-999,32,10.263,-999,32,9.2220001,-999,32,8.5430002,-999,32,19.0130004882813,0.010436000302434,19.0286998748779,0.0177619997411966,18.9820003509521,0.0158559996634722,18.9755992889404,0.0309769995510578,18.8880004882813,0.0434020012617111,18.8034992218018,0.0637729987502098,36,8,6,7,13,13,13,115000,0.00559775996953249,0.015727000311017,18.6138000488281,0.00839699991047382,18.7264995574951,0.0196969993412495,18.6438007354736,0.00970599986612797,18.781099319458,0.0363640002906322,18.7332000732422,0.053507000207901,18.7565002441406,0.0866620019078255,36,7,7,7,11,11,11,115000,-0.0105871995911002,0.00457003992050886,18.4850997924805,0.00669499998912215,18.5743999481201,0.0131440004333854,18.487699508667,0.00664500007405877,18.5825004577637,0.0513800010085106,18.4969997406006,0.0732150003314018,18.4249992370605,0.109200000762939,78,22,21,20,26,26,26,115000,0.0134511003270745,-0.0173595007508993,18.4930000305176,0.0101030003279448,18.5781002044678,0.0131139997392893,18.4776992797852,0.0133140003308654,18.6145000457764,0.0525900013744831,18.5706996917725,0.0783229991793633,18.5685005187988,0.123908996582031,52,14,13,12,17,17,17,115000,-0.0253414995968342,-0.0221737995743752,18.4342994689941,0.0188699997961521,18.5018005371094,0.0687279999256134,18.4027996063232,0.0599070005118847,18.3092002868652,0.161447003483772,18.0664005279541,0.201178997755051,17.9909992218018,0.300922006368637,46,11,10,9,15,15,15,115000,-0.0382932014763355,0.036761499941349,0.022873716,0.08630471,STAR,0.00066198193,0.99925846,7.956957E-05,0,1.25404602653731,5989,-999,-999,-999,-999,-999,-999
casey,169.9835417,70.67622222,192571694818617314,169.481776,0.126499995589256,70.48040816,0.126499995589256,133.671821863544,44.6469840139164,0.000154654554563287,0.53471555692991,119090176098.388,1710171101241008140,15704853898991,169.4813396,70.4804597,0.66390002,0.6839,0.17389999,0000,0,AUUU,0,17.236,0.108,0.94349998,0,17.188999,0.20299999,1,17.74,0.19,0,17.141001,0.24600001,1,15.866,0.126,1,17.195,-999,0.91759998,0,16.944,0.41600001,1,17.846001,0.51099998,0,16.983999,0.51300001,1,15.47,0.205,1,13.381,-999,1.00800002,0,13.039,-999,32,21.356001,-999,32,13.347,-999,32,12.806,-999,32,9.4729996,-999,1.00800002,0,9.1479998,-999,32,10.108,-999,32,9.2819996,-999,32,8.6669998,-999,32,23.6340999603271,0.209059000015259,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,36,2,2,2,2,2,2,16416,-9.83041000366211,-17.4269008636475,22.6928997039795,0.0978619977831841,22.7667007446289,0.0962679982185364,22.5571994781494,0.169548004865646,22.8419990539551,1.11810004711151,23.0678005218506,2.1568500995636,23.2078990936279,3.9293999671936,36,7,7,7,11,11,11,114720,0.0249348003417253,0.213104993104935,21.9631996154785,0.0925029963254929,21.6453990936279,0.130200996994972,21.5144996643066,0.132456004619598,21.7341003417969,0.908290982246399,21.5014991760254,1.14660000801086,24.3134002685547,24.4526996612549,78,15,15,15,15,15,15,115000,-0.112442001700401,-0.129361003637314,21.5622005462646,0.139954000711441,21.5287990570068,0.133735001087189,21.1518993377686,0.156708002090454,21.2751007080078,0.712316989898682,21.0879001617432,0.933255970478058,20.8565006256104,1.19825994968414,52,12,12,11,15,15,15,115000,-0.122653000056744,-0.459266990423203,21.0114994049072,0.113090999424458,20.9006004333496,0.284456014633179,21.0891990661621,0.37286901473999,20.9426002502441,1.2595499753952,20.3045997619629,1.09740996360779,20.0942001342773,1.45013999938965,46,14,14,12,16,16,16,118840,0.436275988817215,-0.877400994300842,0.022226855,0.08630471,GALAXY,0.98381007,0.00054793607,0.015641969,1,12.1347323769809,69,0.79753178358078,0.157657656255863,0.7345399,1,11.8687441111467,2996
casey,169.9835417,70.67622222,192571695420767111,169.54209834,0.0194600000977516,70.48032768,0.0182900000363588,133.647272928234,44.6570470727778,7.9953123292352E-05,1.36969764284884,60272790338.2963,1710171101241008501,15704854042602,169.5422495,70.4802657,1.0786,1.1133,0.30149999,0000,0,BCUU,0,17.826,0.18099999,0.8197,0,17.434,0.317,1,18.198999,0.36199999,1,16.681,0.2,1,14.581,0.048,1,17.674999,0.53899997,0.9048,0,16.451,-999,32,17.07,-999,32,16.098,-999,32,14.78,0.18099999,1,13.294,-999,0.91900003,0,12.839,-999,32,13.989,-999,32,13.102,-999,32,12.295,-999,32,9.3620005,-999,1.03400004,0,8.9940004,-999,32,9.967,-999,32,8.9029999,-999,32,7.9239998,-999,32,22.8544998168945,0.184419006109238,22.3216991424561,0.479000985622406,22.4458999633789,0.37075799703598,21.0515995025635,0.385616987943649,20.5617008209229,0.350032985210419,20.0125007629395,0.326469987630844,36,6,6,6,2,2,2,16416,0.474552989006042,-0.0508941002190113,21.867000579834,0.0659350007772446,21.953800201416,0.0863370001316071,21.9801998138428,0.134222999215126,21.5891990661621,0.547581970691681,21.5328998565674,0.812196016311646,22.2290992736816,2.45789003372192,36,12,12,11,15,15,15,115000,0.236297994852066,-0.0583009012043476,20.5743999481201,0.0305959992110729,20.7872009277344,0.0537130013108253,20.6742000579834,0.065142996609211,20.7796993255615,0.380466014146805,20.7562999725342,0.582874000072479,21.532600402832,1.90067994594574,78,16,16,16,24,24,24,115000,0.0677333027124405,0,19.9458999633789,0.026308000087738,20.1362991333008,0.0365220010280609,20.031099319458,0.0314100012183189,20.1930999755859,0.245791003108025,20.1354007720947,0.366223007440567,20.2877006530762,0.667385995388031,52,15,15,14,23,23,23,115000,0.0382249988615513,-0.00432108994573355,19.6571006774902,0.0497619993984699,19.8432006835938,0.100010998547077,19.8248996734619,0.12865999341011,19.8432006835938,0.485886007547379,19.6399002075195,0.625223994255066,19.4846992492676,0.859826028347015,46,18,18,17,27,27,27,115000,0.15769499540329,-0.0697851032018662,0.021581158,0.08630471,STAR,0.0065779095,0.9930733,0.00034889497,0,2.66519945993611,2241,-999,-999,-999,-999,-999,-999
casey,169.9835417,70.67622222,192571695693928727,169.56970545,0.00100000004749745,70.48170642,0.00100000004749745,133.635045727641,44.6604148016966,0.000367081874033286,1.41277575618503,32463013005.4031,1710171101241008558,15704854018191,169.5691562,70.4813885,1.0865999,1.1318001,0.28740001,0000,0,BUUU,0,17.823,0.18000001,0.85140002,0,17.101,0.212,1,17.947001,0.25999999,1,16.343,0.134,1,15.518,0.103,1,17.028,-999,0.90560001,0,16.820999,0.52999997,1,16.954,-999,32,16.155001,0.34400001,1,15.416,0.287,1,13.431,-999,0.98869997,0,12.674,-999,32,14.028,-999,32,13.307,0.52600002,1,12.476,0.39700001,1,9.6890001,-999,0.9429,0,9.0410004,-999,32,10.048,-999,32,9.2320004,-999,32,8.0100002,-999,32,22.9377002716064,0.216420993208885,23.0002002716064,0.450470000505447,23.8202991485596,0.761771976947784,22.7040996551514,0.850133001804352,-999,-999,-999,-999,36,9,9,8,8,8,8,114720,-1.17985999584198,-0.220682993531227,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,0,0,0,4120,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,0,0,0,0,-999,-999,0.02188847,0.08630471,GALAXY,0.9335498,0.05123985,0.0152103435,1,8.43199156996289,0,0.61690029501915,0.00441426035927177,0.6167404,1,9.13854627614391,149
casey,169.9835417,70.67622222,192571695803167363,169.580464,0.0422100014984608,70.4805331,0.0280000008642673,133.631469345572,44.6632125187085,5.15609383583147E-05,0.0999923004857817,716293200385.19,1710171101241007662,15704853149022,169.5805487,70.4805762,0.28690001,0.29969999,0.064499997,0000,0,ABUU,0,16.264999,0.052999999,0.96869999,0,16.191999,0.086000003,1,16.822001,0.086999997,1,16.195999,0.108,1,15.875,0.133,1,15.876,0.111,0.94080001,0,15.901,0.215,1,16.671,0.235,1,15.946,0.26899999,1,15.429,0.27500001,1,12.68,-999,0.9806,0,12.385,-999,32,13.615,-999,32,12.937,-999,32,12.606,-999,32,9.7299995,-999,0.99440002,0,9.1700001,-999,32,10.089,-999,32,9.5059996,-999,32,8.0950003,-999,32,22.5797996520996,0.11048399657011,22.011100769043,0.245533004403114,21.8523998260498,0.151963993906975,21.2052001953125,0.30103400349617,21.0564002990723,0.409144014120102,20.8013000488281,0.516565024852753,36,10,10,7,12,12,12,118840,0.556486010551453,-0.975847005844116,21.4071998596191,0.0662560015916824,20.6959991455078,0.0599059984087944,20.6930999755859,0.0501520000398159,20.7656993865967,0.210209995508194,20.7427005767822,0.321101009845734,20.8665008544922,0.564233005046844,36,6,6,6,8,8,8,16892216,0.039903998374939,-0.360635995864868,20.9164009094238,0.064580000936985,20.5620002746582,0.0845490023493767,20.5725002288818,0.0662060007452965,20.4521007537842,0.295834004878998,20.6173000335693,0.538559019565582,22.5706996917725,5.21165990829468,78,12,12,11,18,18,18,16892216,-0.181747004389763,-0.204031005501747,20.4666004180908,0.0480349995195866,20.069299697876,0.0653920024633408,20.0799007415771,0.0469690002501011,20.1424999237061,0.290809005498886,20.2474002838135,0.499956995248795,20.4438991546631,0.957944989204407,52,15,15,12,20,20,20,16892216,0.0133279003202915,-0.155855000019073,20.3019008636475,0.0981810018420219,20.1406993865967,0.190376996994019,19.9309005737305,0.136857002973557,19.5361995697021,0.389461010694504,19.32200050354,0.499489009380341,18.7985992431641,0.482012987136841,46,14,14,11,14,14,14,114720,0.121706999838352,-0.100364997982979,0.02188847,0.08630471,GALAXY,0.98649734,0.0017179429,0.011784833,0,1.5722672377787,4935,0.430597275495529,0.0827797198707913,0.4499476,0,1.83674315842077,407
casey,169.9835417,70.67622222,192571696360216177,169.63613907,0.0749899968504906,70.47949737,0.0535000003874302,133.609445862652,44.6733031116058,7.66077859528103E-05,0.174617437949728,391930158130.673,1710171101241006059,15704853286576,169.6361695,70.4795733,0.37819999,0.39390001,0.1034,0000,0,ABUU,0,16.587,0.068000004,0.8502,0,16.298,0.116,0,17.004,0.124,0,16.181999,0.13,1,15.643,0.13,1,16.202999,0.148,0.80680001,0,15.819,0.15700001,0,16.695,0.189,0,15.601,0.153,1,14.84,0.124,1,13.369,-999,0.99150002,0,16.202999,-999,32,14.179,-999,32,13.054,-999,32,12.51,-999,32,9.6859999,-999,1.00199997,0,9.1759996,-999,32,10.189,-999,32,9.118,-999,32,8.2489996,-999,32,23.1210994720459,0.391209006309509,21.8962001800537,0.285005003213882,21.9361000061035,0.344000995159149,21.3160991668701,0.365584999322891,20.4841995239258,0.266267001628876,19.8071994781494,0.228407993912697,50,4,4,4,1,1,1,16793912,0.496969997882843,0.280000001192093,22.2502002716064,0.177064001560211,22.0538997650146,0.175860002636909,21.8360996246338,0.193152993917465,21.7276000976563,0.571781992912292,21.531099319458,0.742767989635468,21.7956008911133,1.49738001823425,53,6,6,6,14,14,14,115000,0.130676999688149,0.0935162976384163,21.4773998260498,0.0623530000448227,21.0146007537842,0.168690994381905,20.9085998535156,0.102724000811577,20.7147006988525,0.417109996080399,20.2437000274658,0.424299001693726,20.1933002471924,0.643903970718384,105,14,14,13,32,32,32,115000,0.16033299267292,0.0052687400020659,20.9521007537842,0.0714569985866547,20.6594009399414,0.0899119973182678,20.6100006103516,0.0895989984273911,20.7264995574951,0.555519998073578,20.532600402832,0.729126989841461,20.0090007781982,0.720694005489349,77,14,14,13,28,28,28,115000,0.0871917009353638,-0.0940069034695625,20.2870006561279,0.106027998030186,19.8111991882324,0.139256000518799,19.738899230957,0.0668179988861084,19.7098999023438,0.483574002981186,19.3477001190186,0.536064982414246,18.9999008178711,0.619786977767944,66,11,10,9,27,27,27,16892216,-0.656699001789093,0.787971019744873,0.021676047,0.08630471,GALAXY,0.97516364,0.00031118217,0.024525171,1,4.41883971545426,5679,0.651592344045639,0.0576154904095256,0.6362499,1,4.44494784683904,102
casey,169.9835417,70.67622222,192571696587667359,169.65880189,0.00431999983265996,70.4805179,0.00212000007741153,133.599474867548,44.6761507122203,1.99999825498145E-05,0.0659492441831199,1240513268519.24,1710171101241005825,15704852564582,169.6588382,70.4805338,0.2368,0.24429999,0.049400002,0000,0,AAUU,0,15.897,0.044,0.92439997,0,15.868,0.11,1,16.517,0.113,1,15.836,0.13500001,1,15.79,0.214,1,15.793,0.102,0.89289999,0,15.754,0.197,1,16.548,0.219,1,15.791,0.244,1,15.641,-999,32,13.426,-999,0.99879998,0,12.74,-999,32,13.929,-999,32,13.047,-999,32,12.499,-999,32,9.7510004,-999,1.06200004,0,9.21,-999,32,10.211,-999,32,9.1739998,-999,32,8.4980001,-999,32,20.3701000213623,0.0278329998254776,20.3651008605957,0.0433400012552738,20.2670993804932,0.0525190010666847,-999,-999,-999,-999,-999,-999,50,8,8,6,0,0,0,115000,-999,-999,19.3036003112793,0.0146810002624989,19.3498992919922,0.0184940006583929,19.2805995941162,0.0140169998630881,-999,-999,-999,-999,-999,-999,53,8,8,7,0,0,0,115000,-999,-999,18.4297008514404,0.00674499990418553,18.5002002716064,0.0139910001307726,18.4064998626709,0.014147000387311,-999,-999,-999,-999,-999,-999,105,11,11,11,0,0,0,115000,-999,-999,18.012300491333,0.0161169990897179,18.1089000701904,0.0163150001317263,18.0256996154785,0.0147510003298521,19.1921997070313,0.077735997736454,19.1889991760254,0.120039001107216,19.1040992736816,0.174228996038437,77,7,7,6,3,3,3,115000,0.00379507010802627,-0.020872900262475,17.8444995880127,0.0202500000596046,18.0223999023438,0.0258949995040894,17.8537006378174,0.0246280003339052,18.1566009521484,0.0491609983146191,18.0333995819092,0.0680650025606155,17.9055995941162,0.0961479991674423,66,14,14,13,2,2,2,115000,-0.0743099972605705,-0.0665251016616821,0.021676047,0.08630471,STAR,0.0071034064,0.99239963,0.00049704395,1,14.6483369955491,319,-999,-999,-999,-999,-999,-999
casey,169.9835417,70.67622222,192571698112769268,169.81123471,0.00100000004749745,70.48191163,0.00100000004749745,133.536129196038,44.6999760483062,0.000187908926621495,0.17702122554621,131980962242.367,1710171101241006066,15704863924271,169.811499,70.4820775,0.384,0.4007,0.1075,0000,0,ABUU,0,16.677,0.071999997,0.83859998,0,16.558001,0.102,1,17.261999,0.111,1,16.34,0.103,1,15.495,0.078000002,1,15.891,0.116,0.99589998,0,15.596,0.15099999,1,16.483,0.185,1,15.384,0.148,1,14.917,0.15899999,1,13.339,-999,0.95709997,0,12.87,-999,32,14.052,-999,32,13.189,-999,32,12.645,-999,32,9.316,-999,0.92739999,0,8.5679998,-999,32,9.698,-999,32,8.7609997,-999,32,8.4379997,-999,32,23.2485008239746,0.122644998133183,22.6411991119385,0.3680399954319,23.0359001159668,0.565630972385406,23.7945003509521,4.74466991424561,-999,-999,-999,-999,14,3,3,3,1,1,1,16416,0.0255281999707222,0.433099001646042,23.5447998046875,1.15646004676819,25.2430000305176,9.07651042938232,26.2332992553711,13.7572002410889,-999,-999,-999,-999,-999,-999,17,1,1,1,0,0,0,16416,-999,-999,23.0317001342773,0.304989993572235,21.9664993286133,0.418424010276794,22.6730003356934,0.235182002186775,22.0587997436523,0.688555002212524,21.4862003326416,0.636569976806641,20.4141998291016,0.379808992147446,27,7,7,7,4,4,4,16416,-0.663358986377716,-0.449099987745285,21.9517002105713,0.117412999272347,21.9372005462646,0.466354995965958,21.5855007171631,0.263725996017456,21.9430999755859,1.0217000246048,21.4832000732422,1.07921004295349,21.9881000518799,2.81160998344421,25,9,9,9,5,5,5,114720,0.333086997270584,0.0302805993705988,21.2089004516602,0.28540500998497,19.6242008209229,0.170922994613647,20.5720996856689,0.465231001377106,20.4806003570557,0.487533003091812,19.9505996704102,0.489957004785538,19.4440994262695,0.516987979412079,20,8,7,8,4,4,4,16416,-1.84323000907898,0.396039992570877,0.022110393,0.012759551,GALAXY,0.91239333,0.0035781632,0.08402852,1,9.88385685628445,316,0.961172193288803,0.078622340032779,0.93636274,1,7.76225583311438,1340
