sightline,center_ra_deg,center_dec_deg,objID,raMean,raMeanErr,decMean,decMeanErr,l,b,distance_Deg,sqrErr_Arcsec,BayesFactor,cntr,HtmID,ra,dec,sigra,sigdec,sigradec,cc_flags,ext_flg,ph_qual,moon_lev,w1mpro,w1sigmpro,w1rchi2,w1sat,w1mag,w1sigm,w1flg,w1mag_1,w1sigm_1,w1flg_1,w1mag_4,w1sigm_4,w1flg_4,w1mag_7,w1sigm_7,w1flg_7,w2mpro,w2sigmpro,w2rchi2,w2sat,w2mag,w2sigm,w2flg,w2mag_1,w2sigm_1,w2flg_1,w2mag_4,w2sigm_4,w2flg_4,w2mag_7,w2sigm_7,w2flg_7,w3mpro,w3sigmpro,w3rchi2,w3sat,w3mag,w3sigm,w3flg,w3mag_1,w3sigm_1,w3flg_1,w3mag_4,w3sigm_4,w3flg_4,w3mag_7,w3sigm_7,w3flg_7,w4mpro,w4sigmpro,w4rchi2,w4sat,w4mag,w4sigm,w4flg,w4mag_1,w4sigm_1,w4flg_1,w4mag_4,w4sigm_4,w4flg_4,w4mag_7,w4sigm_7,w4flg_7,gFPSFMag,gFPSFMagErr,gFKronMag,gFKronMagErr,gFApMag,gFApMagErr,gFmeanMagR5,gFmeanMagR5Err,gFmeanMagR6,gFmeanMagR6Err,gFmeanMagR7,gFmeanMagR7Err,gnTotal,gnIncPSFFlux,gnIncKronFlux,gnIncApFlux,gnIncR5,gnIncR6,gnIncR7,gFlags,gE1,gE2,rFPSFMag,rFPSFMagErr,rFKronMag,rFKronMagErr,rFApMag,rFApMagErr,rFmeanMagR5,rFmeanMagR5Err,rFmeanMagR6,rFmeanMagR6Err,rFmeanMagR7,rFmeanMagR7Err,rnTotal,rnIncPSFFlux,rnIncKronFlux,rnIncApFlux,rnIncR5,rnIncR6,rnIncR7,rFlags,rE1,rE2,iFPSFMag,iFPSFMagErr,iFKronMag,iFKronMagErr,iFApMag,iFApMagErr,iFmeanMagR5,iFmeanMagR5Err,iFmeanMagR6,iFmeanMagR6Err,iFmeanMagR7,iFmeanMagR7Err,inTotal,inIncPSFFlux,inIncKronFlux,inIncApFlux,inIncR5,inIncR6,inIncR7,iFlags,iE1,iE2,zFPSFMag,zFPSFMagErr,zFKronMag,zFKronMagErr,zFApMag,zFApMagErr,zFmeanMagR5,zFmeanMagR5Err,zFmeanMagR6,zFmeanMagR6Err,zFmeanMagR7,zFmeanMagR7Err,znTotal,znIncPSFFlux,znIncKronFlux,znIncApFlux,znIncR5,znIncR6,znIncR7,zFlags,zE1,zE2,yFPSFMag,yFPSFMagErr,yFKronMag,yFKronMagErr,yFApMag,yFApMagErr,yFmeanMagR5,yFmeanMagR5Err,yFmeanMagR6,yFmeanMagR6Err,yFmeanMagR7,yFmeanMagR7Err,ynTotal,ynIncPSFFlux,ynIncKronFlux,ynIncApFlux,ynIncR5,ynIncR6,ynIncR7,yFlags,yE1,yE2,EBV_Planck,EBV_PS1,class,prob_Galaxy,prob_Star,prob_QSO,extrapolation_Class,cellDistance_Class,cellID_Class,z_phot,z_photErr,z_phot0,extrapolation_Photoz,cellDistance_Photoz,cellID_Photoz
chromatica,312.619125,73.9,196403117313169173,311.73118892,0.00100000004749745,73.67378751,0.00100000004749745,107.889571160704,18.4693468485128,0.000262766536155753,0.832687515044332,59709449371.3583,3123174201241007459,13490526865359,311.7309113,73.6735366,0.97479999,0.87040001,0.2049,0000,0,BBBU,0,18.099001,0.228,0.84680003,0,16.802999,0.36300001,1,17.205,-999,32,15.631,0.156,1,14.237,0.071999997,1,16.594999,0.2,0.83679998,0,15.464,-999,32,16.136999,-999,32,15.365,-999,32,14.488,-999,32,12.655,0.252,0.95709997,0,11.966,-999,32,13.309,-999,32,12.667,0.45300001,1,11.507,0.25799999,1,9.5200005,-999,1.05599999,0,9.0190001,-999,32,10.03,-999,32,8.9549999,-999,32,8.243,-999,32,23.0799999237061,0.312456995248795,21.5340003967285,0.159509003162384,21.964599609375,0.216241002082825,21.8425006866455,0.448282986879349,21.1651992797852,0.376574993133545,20.4874000549316,0.323136001825333,16,5,5,5,5,5,5,16416,-0.476781010627747,-0.423617988824844,22.8684997558594,0.15412500500679,22.7980995178223,0.50839102268219,22.9139003753662,0.278434008359909,22.573299407959,1.12378001213074,22.6159000396729,1.82620000839233,-999,-999,18,10,10,8,10,10,10,16416,0.0634035989642143,0.277992993593216,22.2273998260498,0.315196990966797,22.5615997314453,0.420836001634598,21.6581001281738,0.282548993825912,22.3159008026123,1.18703997135162,23.2751998901367,4.5051097869873,22.4799003601074,3.46872997283936,20,5,5,5,5,5,5,114720,0.48046800494194,0.181417003273964,21.8351993560791,0.13102599978447,-999,-999,-999,-999,23.5259990692139,5.45135021209717,-999,-999,-999,-999,15,8,7,6,8,8,8,16416,2.18554997444153,2.47656011581421,20.57200050354,0.134235993027687,21.2439002990723,2.43320989608765,20.7646999359131,0.0643099993467331,20.4290008544922,0.665247976779938,20.7894992828369,1.45210003852844,22.3103008270264,9.41656970977783,18,3,3,2,3,3,3,16416,0.00163665995933115,0.233496993780136,0.43336645,0.7243127,GALAXY,0.6752715,0.024120564,0.300608,1,18.4195523792184,2102,0.313054025173187,0.247559627471838,0.41604343,1,18.2471246758824,141
chromatica,312.619125,73.9,196403117397996818,311.7399879,0.0160399992018938,73.67162303,0.00812000036239624,107.889182672654,18.4660806718573,0.000188717129629849,0.0499412136290615,16770051661.5499,3123174201241006517,13490526866355,311.740326,73.67146,0.2278,0.2139,0.0471,0000,0,AABU,0,15.739,0.041999999,0.83850002,0,15.007,0.068999998,1,16.003,0.097000003,1,14.217,0.041999999,1,13.7,0.043000001,1,15.825,0.105,1.09099996,0,14.929,0.122,1,16.014,0.178,1,14.231,0.078000002,1,13.682,0.077,1,12.706,0.264,0.97649997,0,11.758,-999,32,13.054,-999,32,12.034,-999,32,11.753,-999,32,9.8470001,-999,1.06599998,0,9.2010002,-999,32,10.211,-999,32,9.1359997,-999,32,8.3470001,-999,32,20.8171005249023,0.0444450005888939,20.8180999755859,0.056317999958992,20.7219009399414,0.059154998511076,20.7630996704102,0.146057993173599,20.523099899292,0.181245997548103,20.1604995727539,0.206047996878624,16,10,10,10,10,10,10,115000,-0.0370613001286983,0.0765277966856956,19.5342998504639,0.00954199954867363,19.6093997955322,0.0285550002008677,19.5513000488281,0.0259600002318621,19.536600112915,0.145693004131317,19.4353008270264,0.20762500166893,19.3087005615234,0.295641988515854,18,14,14,13,14,14,14,115000,-0.0356657989323139,-0.039741899818182,18.8414001464844,0.00618899986147881,18.9444999694824,0.0148550001904368,18.827600479126,0.0223019998520613,18.9650993347168,0.0583319999277592,18.9200000762939,0.086897000670433,18.9414005279541,0.14138300716877,20,10,10,9,10,10,10,115000,-0.0237402003258467,-0.00306326011195779,18.5002994537354,0.0155769996345043,18.6459007263184,0.0317820012569427,18.5254993438721,0.0524599999189377,18.5990009307861,0.0629810020327568,18.5238990783691,0.0914679989218712,18.6098003387451,0.157975003123283,15,4,4,4,4,4,4,115000,0.0706793963909149,0.0775194019079208,18.2523994445801,0.0271819997578859,18.4039993286133,0.0327830016613007,18.2714996337891,0.0333970002830029,18.3785991668701,0.129943996667862,18.3435001373291,0.195206001400948,18.4216995239258,0.336142003536224,18,8,8,8,8,8,8,115000,0.019064599648118,0.00762582989409566,0.43336645,0.7243127,STAR,0.050456986,0.89190733,0.05763567,0,2.65471224030606,7017,-999,-999,-999,-999,-999,-999
chromatica,312.619125,73.9,196403117518908034,311.75182815,0.00469999993219972,73.67270856,0.00285000004805624,107.892123704575,18.4639648885129,4.816604407995E-05,0.0178460401352441,2053484700047.66,3123174201241006186,13490526835510,311.7519285,73.6727476,0.1256,0.1288,0.0264,0000,0,AACU,0,14.455,0.028999999,1.62800002,0,14.27,0.037999999,1,14.998,0.041000001,1,14.015,0.037,1,13.652,0.044,1,14.532,0.044,1.03999996,0,14.342,0.093000002,1,15.178,0.106,1,14.145,0.092,1,13.91,0.122,1,13.401,0.52100003,0.98089999,0,11.431,-999,32,12.633,-999,32,11.749,-999,32,11.205,-999,32,9.368,-999,1.01600003,0,9.151,-999,32,10.162,-999,32,9.0930004,-999,32,8.1549997,-999,32,18.2896003723145,0.00625699991360307,18.3426990509033,0.0105389999225736,18.2968997955322,0.00763199990615249,18.3384990692139,0.0178009998053312,18.2968006134033,0.0248220004141331,18.292200088501,0.0392119996249676,16,10,10,8,10,10,10,115000,-0.00911587011069059,0.0285557005554438,17.2884998321533,0.00460699992254376,17.3600997924805,0.00722499983385205,17.2889995574951,0.00391800003126264,17.3777008056641,0.020023999735713,17.3213005065918,0.0292750000953674,17.2959003448486,0.0453500002622604,18,15,14,13,15,15,15,115000,0.00561561994254589,0.0256475005298853,16.7346992492676,0.00231899996288121,16.8071002960205,0.00386700010858476,16.7423000335693,0.00230700010433793,16.831600189209,0.00843199994415045,16.7808990478516,0.0118810003623366,16.7679996490479,0.0180619992315769,20,14,12,12,15,15,15,115000,0.000725915015209466,0.0134813003242016,16.4650001525879,0.00312700006179512,16.5475006103516,0.0106560001149774,16.4738998413086,0.00894699990749359,16.577600479126,0.0106929996982217,16.4871997833252,0.0146070001646876,16.4673004150391,0.0218979995697737,15,6,4,6,6,6,6,115000,-0.0184419006109238,0.0273490995168686,16.2821006774902,0.00593499979004264,16.4050998687744,0.00557600008323789,16.317699432373,0.00532299978658557,16.4242992401123,0.0215990003198385,16.3397006988525,0.0305930003523827,16.3514995574951,0.0487510003149509,18,11,10,10,11,11,11,115000,0.0216713007539511,0.0365967005491257,0.43336645,0.7243127,STAR,0.09790643,0.862868,0.039225537,0,2.77487096189658,10586,-999,-999,-999,-999,-999,-999
chromatica,312.619125,73.9,196403118335419223,311.83353468,0.0170200001448393,73.673693,0.0255800001323223,107.906795891586,18.4456661950585,0.000150739763928725,0.372744445375478,153784978570.152,3123174201241005072,13490526220608,311.834059,73.6736614,0.62290001,0.58429998,0.13699999,0000,0,AUUU,0,17.035999,0.097999997,0.89230001,0,16.641001,0.19,1,17.370001,0.20999999,0,15.845,0.116,1,14.765,0.071000002,1,16.938999,-999,0.90380001,0,16.271,-999,32,16.853001,-999,32,15.957,-999,32,15.547,0.37400001,1,13.001,-999,0.94779998,0,12.979,0.53399998,1,13.716,-999,32,12.78,0.333,1,12.091,0.289,1,9.526,-999,0.98799998,0,9.0439997,-999,32,10.056,-999,32,8.8070002,-999,32,7.7280002,-999,32,22.6609001159668,0.140899002552032,22.2303009033203,0.247180998325348,22.3234996795654,0.44862899184227,22.154899597168,0.568862020969391,21.5925006866455,0.530403971672058,22.003999710083,1.22957003116608,16,5,5,4,5,5,5,16416,0.0368238016963005,-0.0875890031456947,21.2807006835938,0.0432140007615089,21.6483993530273,0.137719005346298,21.9305992126465,0.243030995130539,21.9139003753662,0.680104970932007,22.4624004364014,1.72558999061584,-999,-999,18,13,13,11,13,13,13,115000,-0.0384025014936924,0.120933003723621,20.3292007446289,0.0268830005079508,20.5387001037598,0.0646879971027374,20.6320991516113,0.121111996471882,20.5407009124756,0.241844996809959,20.8586006164551,0.497817009687424,22.1527996063232,2.57683992385864,20,12,12,11,12,12,12,115000,-0.059927798807621,0.030902499333024,19.7362003326416,0.032065998762846,19.9915008544922,0.0572299994528294,20.0149993896484,0.0957959964871407,20.005500793457,0.226145997643471,20.1791000366211,0.415742009878159,20.4130001068115,0.827638983726501,15,11,11,11,11,11,11,115000,0.0465212985873222,0.118418000638485,19.5618000030518,0.0662790015339851,19.8474006652832,0.106270000338554,19.8476009368896,0.207559004426003,19.8341007232666,0.538878977298737,20.5058002471924,1.56764996051788,-999,-999,18,10,10,9,11,11,11,115000,-0.247589007019997,0.241266995668411,0.41912416,0.7243127,STAR,0.00035835642,0.99307597,0.006565731,0,3.35591274462157,331,-999,-999,-999,-999,-999,-999
chromatica,312.619125,73.9,196403118482626867,311.84835488,0.00270999991334975,73.67177175,0.00405000010505319,107.907643142194,18.4411491916945,2.81627292533535E-05,0.0211111433495377,3159648684699.89,3123174201241004217,13490526201856,311.848327,73.6717988,0.145,0.13940001,0.021600001,0000,0,AABU,0,14.85,0.029999999,0.9192,0,14.896,0.071000002,1,15.514,0.071000002,1,14.936,0.093000002,1,14.853,0.142,1,14.987,0.057999998,1.03199995,0,14.913,0.14,1,15.663,0.149,1,14.984,0.17900001,1,15.282,0.38800001,1,12.46,0.228,0.9526,0,11.888,-999,32,13.254,-999,32,12.54,0.384,1,11.655,0.28,1,9.4729996,-999,0.95499998,0,8.8140001,-999,32,9.8800001,-999,32,8.4020004,-999,32,8.0059996,0.39300001,1,19.739200592041,0.0131430001929402,19.830099105835,0.0158709995448589,19.8026008605957,0.0276849996298552,19.8334999084473,0.0648709982633591,19.8932991027832,0.107257999479771,20.0552997589111,0.200510993599892,16,10,10,10,10,10,10,115000,-0.0408162996172905,0.0410310998558998,18.3775997161865,0.0089309997856617,18.4887008666992,0.0111490003764629,18.3966999053955,0.0100440001115203,18.4922008514404,0.0290559995919466,18.4487991333008,0.0428159981966019,18.5076007843018,0.0714619979262352,18,13,13,12,13,13,13,115000,0.0295918006449938,0.0179591998457909,17.6774997711182,0.00405800016596913,17.7765998840332,0.00621999986469746,17.6849994659424,0.00342399999499321,17.7908000946045,0.0201179999858141,17.7593994140625,0.0295429993420839,17.7766990661621,0.0468689985573292,20,13,13,13,13,13,13,115000,-0.0268805008381605,0.0234120991080999,17.3337993621826,0.00366499996744096,17.4598007202148,0.00966400001198053,17.3400993347168,0.00954199954867363,17.4573993682861,0.0223079994320869,17.3868999481201,0.0319180004298687,17.3742008209229,0.0498050004243851,15,12,9,11,12,12,12,115000,-0.0112522998824716,0.00423617009073496,17.081600189209,0.00651000021025538,17.1872997283936,0.0178590007126331,17.0853996276855,0.0181949995458126,17.4309005737305,0.0602199994027615,17.3307991027832,0.0854170024394989,17.3066997528076,0.132664993405342,18,11,11,12,12,12,12,115000,0.0176619999110699,0.2708860039711,0.41912416,0.7243127,STAR,0.03413189,0.95092493,0.014943237,0,1.59708135514433,9425,-999,-999,-999,-999,-999,-999
chromatica,312.619125,73.9,196403120089759385,312.00892054,0.00531999999657273,73.67383764,0.00676999986171722,107.936666520221,18.4053227503068,2.31788669914166E-05,0.00808258477263812,6843284547838.91,3123174201241003992,13490529600752,312.0089122,73.6738607,0.0836,0.086499996,-0.0026,0000,0,AABU,0,12.923,0.023,0.94809997,0,12.893,0.0080000004,1,13.548,0.0080000004,1,12.746,0.0080000004,1,12.108,0.0070000002,1,12.959,0.025,1.03799999,0,12.944,0.024,1,13.728,0.026000001,1,12.809,0.025,1,12.167,0.023,1,12.707,0.26800001,1.05200005,0,12.6,-999,32,13.678,-999,32,12.909,-999,32,12.364,-999,32,9.0419998,-999,1.10399997,0,8.7550001,-999,32,9.6709995,-999,32,8.875,-999,32,8.2600002,0.419,17,17.2208003997803,0.00485000014305115,17.2905006408691,0.00466099986806512,17.2278003692627,0.0031530000269413,15.9962997436523,0.00552200013771653,15.9291000366211,0.00738199986517429,15.9055995941162,0.0110419997945428,16,10,9,9,8,8,8,115000,-0.00225989008322358,0.00225989008322358,16.1163005828857,0.00252599990926683,16.191499710083,0.00372799998149276,16.1224994659424,0.00212200009264052,15.9202995300293,0.0053630000911653,15.854100227356,0.00692699989303947,15.8270998001099,0.0100100003182888,18,12,12,14,13,13,13,115000,-0.0157230999320745,0.021001199260354,15.5359001159668,0.00210499996319413,15.6021003723145,0.00363199994899333,15.5354995727539,0.00218600011430681,16.1639003753662,0.00473699998110533,16.0974006652832,0.00620299996808171,16.0701007843018,0.00908700004220009,20,12,13,15,15,15,15,115000,-0.00862552039325237,0.0107538998126984,15.2278003692627,0.00335899996571243,15.3464002609253,0.020049000158906,15.2815999984741,0.0187430009245873,16.3493995666504,0.00734200002625585,16.2912006378174,0.00984499976038933,16.2763996124268,0.0144980000331998,15,6,7,7,8,8,8,115000,-0.00251544010825455,0.0123485000804067,15.0229997634888,0.00269200000911951,15.1185998916626,0.00564800016582012,15.0376996994019,0.0022730000782758,15.0391998291016,0.0064159999601543,14.9879999160767,0.00889299996197224,14.9743003845215,0.0135009996592999,18,10,9,10,10,10,10,115000,-0.0739903002977371,0.0473883002996445,0.41872212,0.7243127,STAR,0.22217138,0.746309,0.031519685,0,1.88624212122742,10868,-999,-999,-999,-999,-999,-999
chromatica,312.619125,73.9,196403120235368531,312.02357269,0.00682999985292554,73.67312539,0.00442000012844801,107.938541758405,18.4015403648379,5.17502209761033E-06,0.00900759278608679,9266258617117.66,3123174201241004021,13490527567737,312.0235595,73.673129,0.090599999,0.091300003,0.0014,0000,0,AACU,0,13.259,0.024,0.95270002,0,13.171,0.014,1,13.849,0.015,1,12.93,0.014,1,12.397,0.014,1,13.216,0.027000001,1.06299996,0,13.168,0.033,1,13.961,0.037,1,12.988,0.033,1,12.496,0.034000002,1,13.073,0.37799999,0.95539999,0,12.57,-999,32,13.772,-999,32,12.726,-999,32,11.949,-999,32,9.5030003,-999,1.12300003,0,8.9910002,-999,32,10.09,-999,32,8.6160002,-999,32,8.125,0.37400001,17,18.6263999938965,0.00608200021088123,18.7245998382568,0.00800999999046326,18.6562995910645,0.00667699985206127,16.7560997009277,0.013086000457406,16.6574001312256,0.0183290001004934,16.6263008117676,0.0282489992678165,16,11,11,11,11,11,11,115000,0.00620495993643999,0.0310248006135225,17.1275997161865,0.00234099989756942,17.1993007659912,0.0046700001694262,17.1322002410889,0.00331000005826354,17.0814990997314,0.00903400033712387,17.0216007232666,0.0122800003737211,17.0079002380371,0.0184429995715618,18,13,13,13,12,12,12,115000,0.0153775000944734,0.0302924998104572,16.257999420166,0.00321900006383657,16.3190002441406,0.00300800008699298,16.2532005310059,0.00228699995204806,16.7063007354736,0.00944500043988228,16.6270999908447,0.0126970000565052,16.6179008483887,0.01897899992764,20,14,13,13,14,14,14,115000,0.01575200073421,0.00406504003331065,15.8284997940063,0.00465000001713634,15.9006004333496,0.00238800002261996,15.8318996429443,0.00574500020593405,16.7136001586914,0.0107439998537302,16.6352996826172,0.0147829996421933,16.6061992645264,0.0223559997975826,15,8,6,8,7,7,7,115000,-0.0170299001038074,0.0171182006597519,15.5860996246338,0.00688999984413385,15.6849002838135,0.0064159999601543,15.6038999557495,0.00624499982222915,15.7207002639771,0.0102340001612902,15.6300001144409,0.013756999745965,15.5954999923706,0.0202810000628233,18,11,7,10,10,10,10,115000,0.0110355000942945,-0.0114205004647374,0.41872212,0.7243127,STAR,0.15838845,0.81930554,0.022306042,0,1.65012873153951,10721,-999,-999,-999,-999,-999,-999
chromatica,312.619125,73.9,196403121116557625,312.11165975,0.00100000004749745,73.67236437,0.00100000004749745,107.952872411777,18.3808310384892,9.77894789748709E-06,0.0466682825727443,1799251268320.1,3123174201241004477,13490527895688,312.1116873,73.6723584,0.2174,0.20720001,0.0425,0000,0,AABU,0,15.693,0.039999999,0.84259999,0,15.452,0.064999998,1,16.177,0.071000002,1,15.241,0.067000002,1,14.564,0.059,1,15.72,0.098999999,0.921,0,15.667,0.396,1,16.504999,0.454,1,15.64,0.461,1,14.64,-999,32,12.311,0.192,1.00699997,0,11.261,-999,32,12.456,-999,32,11.572,-999,32,11.026,-999,32,9.2489996,-999,0.98449999,0,8.8870001,-999,32,11.208,-999,32,8.6059999,-999,32,7.6420002,-999,32,23.0221996307373,0.138050004839897,23.0750007629395,0.441412001848221,23.1347999572754,0.434684991836548,20.871000289917,0.722482979297638,22.4328994750977,4.76100015640259,20.6921997070313,1.53652000427246,16,7,7,6,2,2,2,16416,0.417358994483948,0.303638011217117,23.0198001861572,0.0711359977722168,22.2817993164063,0.54400497674942,22.9920997619629,0.866378009319305,21.7019004821777,0.497144013643265,21.3444004058838,0.561417996883392,20.5105991363525,0.418044000864029,18,5,5,5,4,4,4,16416,-0.221956998109818,-0.534129023551941,22.0039005279541,0.112415000796318,21.4645004272461,0.206542998552322,21.3414001464844,0.207251995801926,21.7500991821289,0.687002003192902,21.7108001708984,1.02120995521545,22.3337001800537,2.89469003677368,20,12,12,11,6,6,6,114720,0.265350997447968,-0.169681996107101,21.4060001373291,0.0925339981913567,21.1674003601074,0.151023000478745,21.074499130249,0.163488999009132,21.4430999755859,0.73411899805069,21.1438999176025,0.873987972736359,-999,-999,15,12,12,11,6,6,6,114720,0.088631197810173,-0.284530997276306,20.9631004333496,0.325527995824814,20.3840007781982,0.633903980255127,20.0659999847412,0.334111005067825,22.2665004730225,5.09231996536255,-999,-999,-999,-999,18,6,6,6,3,3,3,16416,1.19318997859955,0.523644983768463,0.42033586,0.74775904,UNSURE,0.43684438,0.35714775,0.20600791,1,4.82993417834123,599,-999,-999,-999,-999,-999,-999
chromatica,312.619125,73.9,196403121217908164,312.12166968,0.0173000004142523,73.6727155,0.0291399993002415,107.954880036605,18.3787304695925,7.93506022962866E-05,0.309114833405219,241232580273.061,3123174201241004961,13490527899489,312.1219351,73.6727425,0.57550001,0.53109998,0.1295,0000,0,ABCU,0,16.99,0.093000002,0.81279999,0,15.856,0.082999997,1,16.896,0.122,1,15.134,0.054000001,1,14.163,0.037,1,17.086,0.32800001,0.9795,0,15.867,0.49399999,1,16.07,-999,32,15.211,0.32300001,1,14.327,0.237,1,13.254,0.442,1.03199995,0,11.223,-999,32,12.408,-999,32,11.535,-999,32,10.986,-999,32,9.4309998,-999,0.94319999,0,9.1230001,-999,32,10.135,-999,32,9.8269997,-999,32,8.0179996,-999,32,23.088399887085,0.100397996604443,22.9682006835938,0.17255899310112,23.3682994842529,0.48165699839592,21.9034004211426,0.635910987854004,22.4610996246338,1.72709000110626,-999,-999,16,6,6,6,4,4,4,16416,0.530124008655548,0.0368638001382351,21.6142997741699,0.0744590014219284,21.8556995391846,0.115956999361515,21.7255001068115,0.133398994803429,20.6310005187988,0.232867002487183,20.4734992980957,0.315154999494553,20.2555999755859,0.412820011377335,18,13,13,12,10,10,10,115000,0.00934843998402357,-0.155524000525475,20.263500213623,0.0313280001282692,20.4270992279053,0.0768259987235069,20.3426990509033,0.0819289982318878,20.6674003601074,0.292362004518509,20.5820999145508,0.424737989902496,20.6390991210938,0.711584985256195,20,11,11,10,8,8,8,115000,-0.0773527026176453,0.137950003147125,19.6671009063721,0.0424190014600754,19.7917003631592,0.125632002949715,19.5515003204346,0.0991789996623993,21.0426006317139,0.609193027019501,20.9302005767822,0.852640986442566,20.6107997894287,0.996505975723267,15,11,11,10,7,7,7,115000,0.0117838000878692,0.0319653004407883,19.1903991699219,0.048905998468399,19.3264007568359,0.12491899728775,19.1821002960205,0.138609007000923,19.7996997833252,0.396467000246048,19.709400177002,0.581490993499756,19.5081005096436,0.792995989322662,18,15,15,13,11,11,11,115000,-0.0517375990748405,0.0380710996687412,0.42033586,0.74775904,STAR,0.0050049303,0.9864184,0.008576644,1,4.74165267156348,397,-999,-999,-999,-999,-999,-999
chromatica,312.619125,73.9,196403121304288314,312.13079221,0.0174899995326996,73.67303297,0.0315999984741211,107.956707748733,18.3768149661073,0.00013745144110067,0.13514317799442,254483410025.862,3123174201241004793,13490527910518,312.1309294,73.6731649,0.3741,0.35080001,0.081900001,0000,0,ABUU,0,16.49,0.064000003,0.88099998,0,15.869,0.071000002,1,16.707001,0.086000003,1,15.358,0.056000002,1,13.859,0.024,1,16.124001,0.14,1.00899994,0,15.29,-999,32,16.027,-999,32,15.781,0.51200002,1,14.074,0.175,1,12.929,-999,1.06099999,0,11.117,-999,32,12.315,-999,32,11.427,-999,32,10.886,-999,32,9.7510004,-999,0.98650003,0,8.8909998,-999,32,9.8959999,-999,32,8.8290005,-999,32,8.1219997,-999,32,22.1452007293701,0.136030003428459,21.1103992462158,0.109452001750469,21.2745990753174,0.154285997152328,19.9818992614746,0.182181000709534,19.6100006103516,0.202223002910614,19.5177001953125,0.296635985374451,16,8,8,6,8,8,8,115000,0.093790203332901,-0.0698928982019424,21.0337009429932,0.0480980016291142,20.6809997558594,0.0521339997649193,20.5944004058838,0.0786449983716011,20.1865997314453,0.151782006025314,19.9242992401123,0.182528004050255,19.8626003265381,0.268584996461868,18,11,11,10,9,9,9,16892216,0.0082777002826333,0.0128170996904373,20.3868999481201,0.0320859998464584,20.0032005310059,0.0481549985706806,19.9724006652832,0.0312169995158911,20.6327991485596,0.331389993429184,20.3770999908447,0.411725014448166,20.9356002807617,1.09548997879028,20,12,12,10,10,10,10,16892216,-0.0131016001105309,-0.0311680994927883,19.8843002319336,0.0432280004024506,19.5172996520996,0.0873600021004677,19.4801006317139,0.0249429997056723,19.9505004882813,0.187267005443573,19.8686008453369,0.27377000451088,20.2161998748779,0.607894003391266,15,12,12,9,10,10,10,16892216,0.00605343002825975,-0.0352678000926971,19.6334991455078,0.0584280006587505,19.3110008239746,0.162633001804352,19.0662002563477,0.0589790008962154,19.3167991638184,0.251222014427185,19.0209999084473,0.303404003381729,18.9535999298096,0.459708988666534,18,13,13,10,9,9,9,16892216,0.130025997757912,0.0678315982222557,0.42033586,0.74775904,UNSURE,0.5867447,0.026665127,0.3865901,0,3.41651219121501,3860,-999,-999,-999,-999,-999,-999
