sightline,center_ra_deg,center_dec_deg,objID,raMean,raMeanErr,decMean,decMeanErr,l,b,distance_Deg,sqrErr_Arcsec,BayesFactor,cntr,HtmID,ra,dec,sigra,sigdec,sigradec,cc_flags,ext_flg,ph_qual,moon_lev,w1mpro,w1sigmpro,w1rchi2,w1sat,w1mag,w1sigm,w1flg,w1mag_1,w1sigm_1,w1flg_1,w1mag_4,w1sigm_4,w1flg_4,w1mag_7,w1sigm_7,w1flg_7,w2mpro,w2sigmpro,w2rchi2,w2sat,w2mag,w2sigm,w2flg,w2mag_1,w2sigm_1,w2flg_1,w2mag_4,w2sigm_4,w2flg_4,w2mag_7,w2sigm_7,w2flg_7,w3mpro,w3sigmpro,w3rchi2,w3sat,w3mag,w3sigm,w3flg,w3mag_1,w3sigm_1,w3flg_1,w3mag_4,w3sigm_4,w3flg_4,w3mag_7,w3sigm_7,w3flg_7,w4mpro,w4sigmpro,w4rchi2,w4sat,w4mag,w4sigm,w4flg,w4mag_1,w4sigm_1,w4flg_1,w4mag_4,w4sigm_4,w4flg_4,w4mag_7,w4sigm_7,w4flg_7,gFPSFMag,gFPSFMagErr,gFKronMag,gFKronMagErr,gFApMag,gFApMagErr,gFmeanMagR5,gFmeanMagR5Err,gFmeanMagR6,gFmeanMagR6Err,gFmeanMagR7,gFmeanMagR7Err,gnTotal,gnIncPSFFlux,gnIncKronFlux,gnIncApFlux,gnIncR5,gnIncR6,gnIncR7,gFlags,gE1,gE2,rFPSFMag,rFPSFMagErr,rFKronMag,rFKronMagErr,rFApMag,rFApMagErr,rFmeanMagR5,rFmeanMagR5Err,rFmeanMagR6,rFmeanMagR6Err,rFmeanMagR7,rFmeanMagR7Err,rnTotal,rnIncPSFFlux,rnIncKronFlux,rnIncApFlux,rnIncR5,rnIncR6,rnIncR7,rFlags,rE1,rE2,iFPSFMag,iFPSFMagErr,iFKronMag,iFKronMagErr,iFApMag,iFApMagErr,iFmeanMagR5,iFmeanMagR5Err,iFmeanMagR6,iFmeanMagR6Err,iFmeanMagR7,iFmeanMagR7Err,inTotal,inIncPSFFlux,inIncKronFlux,inIncApFlux,inIncR5,inIncR6,inIncR7,iFlags,iE1,iE2,zFPSFMag,zFPSFMagErr,zFKronMag,zFKronMagErr,zFApMag,zFApMagErr,zFmeanMagR5,zFmeanMagR5Err,zFmeanMagR6,zFmeanMagR6Err,zFmeanMagR7,zFmeanMagR7Err,znTotal,znIncPSFFlux,znIncKronFlux,znIncApFlux,znIncR5,znIncR6,znIncR7,zFlags,zE1,zE2,yFPSFMag,yFPSFMagErr,yFKronMag,yFKronMagErr,yFApMag,yFApMagErr,yFmeanMagR5,yFmeanMagR5Err,yFmeanMagR6,yFmeanMagR6Err,yFmeanMagR7,yFmeanMagR7Err,ynTotal,ynIncPSFFlux,ynIncKronFlux,ynIncApFlux,ynIncR5,ynIncR6,ynIncR7,yFlags,yE1,yE2,EBV_Planck,EBV_PS1,class,prob_Galaxy,prob_Star,prob_QSO,extrapolation_Class,cellDistance_Class,cellID_Class,z_phot,z_photErr,z_phot0,extrapolation_Photoz,cellDistance_Photoz,cellID_Photoz
hamilton,305.0371666667,70.7927666667,192753047975658916,304.79754547,0.0181499999016523,70.63178844,0.0319599993526936,103.985368562142,18.6573366214065,0.000106931603301675,0.0348245037955331,291047808745.766,3060171101241007719,13720632771146,304.797452,70.6316861,0.1868,0.17299999,0.034699999,0000,0,ABUU,0,16.99,0.063000001,0.99379998,0,16.566999,0.17,1,17.277,0.184,0,15.631,0.090999998,1,14.627,0.059999999,1,16.701,0.149,1.01900005,0,16.018999,0.22400001,1,16.927999,0.27599999,0,15.393,0.15000001,1,14.666,0.127,1,13.74,-999,0.98580003,0,12.752,-999,32,13.941,-999,32,13.064,-999,32,12.519,-999,32,10.045,-999,0.99229997,0.001,9.2309999,-999,32,10.395,-999,32,9.1789999,-999,32,8.3620005,-999,32,22.100700378418,0.064641997218132,22.3143005371094,0.169948995113373,22.6219005584717,0.255511999130249,22.8150005340576,1.7211799621582,23.4862003326416,5.02516984939575,-999,-999,19,11,11,11,11,11,11,115000,0.30902099609375,0.339859008789063,20.6984004974365,0.0456660017371178,20.9013004302979,0.0676169991493225,20.8264007568359,0.0616500005125999,20.9962997436523,0.315688014030457,21.1319007873535,0.55171000957489,21.3736000061035,1.09578001499176,20,14,14,12,14,14,14,115000,0.10589399933815,0.021578399464488,19.7374000549316,0.0145619995892048,19.9396991729736,0.0336420014500618,19.7994995117188,0.0292259994894266,19.851900100708,0.14835399389267,19.8209991455078,0.223822996020317,19.7812004089355,0.344655990600586,29,15,15,14,16,16,16,115000,-0.00648564985021949,-0.00197867001406848,19.2710990905762,0.0248210001736879,19.4591999053955,0.0192290004342794,19.3617000579834,0.0259610004723072,19.4445991516113,0.140176996588707,19.5529003143311,0.241175994277,20.0519008636475,0.613674998283386,15,8,8,8,8,8,8,115000,-0.0197905004024506,0.00543267000466585,18.9599990844727,0.037661001086235,19.0235004425049,0.0595850013196468,18.8857002258301,0.0663520023226738,19.0126991271973,0.239405006170273,18.9755001068115,0.358920007944107,19.1664009094238,0.683040022850037,22,9,9,9,9,9,9,115000,-0.0760546997189522,-0.0409982018172741,0.24732624,0.38571787,STAR,0.0009885654,0.99848527,0.0005262458,0,3.07959071610517,91,-999,-999,-999,-999,-999,-999
hamilton,305.0371666667,70.7927666667,192753048884259975,304.88835525,0.00577999977394938,70.6326752,0.00356000009924173,104.001798970542,18.6315422521463,1.05321377154894E-05,0.00837606087248915,9323329311142.04,3060171101241007313,13720633130152,304.8883305,70.6326686,0.0902,0.086400002,0.017100001,hhO0,0,AAUU,0,15.829,0.035,1.04200006,0,15.501,0.041000001,1,16.191999,0.043000001,0,15.336,0.046,1,14.512,0.039999999,1,16.059999,0.082999997,0.95569998,0,15.345,0.063000001,1,16.237,0.077,0,14.975,0.054000001,1,14.111,0.041999999,1,13.844,-999,0.88099998,0,12.669,-999,32,13.976,-999,32,12.711,-999,32,11.961,-999,32,10.074,-999,1.02900004,0.0020000001,9.2810001,-999,32,10.289,-999,32,9.2180004,-999,32,8.5059996,-999,32,18.7266006469727,0.0056059998460114,18.7971992492676,0.00722600007429719,18.736400604248,0.011307000182569,18.7861995697021,0.0247179996222258,18.7523994445801,0.035521999001503,18.7444000244141,0.0551460012793541,19,10,11,11,11,11,11,115000,-0.01680569909513,0.0383124016225338,17.9627990722656,0.00691600004211068,18.0471992492676,0.0102810002863407,17.9764995574951,0.0082360003143549,18.0308990478516,0.0227460004389286,17.992000579834,0.0332529991865158,18.0053997039795,0.0529900006949902,20,9,9,9,9,9,9,115000,0.00668337987735868,-0.0192147009074688,17.5774993896484,0.00389100005850196,17.6574001312256,0.00504299998283386,17.582799911499,0.00350199989043176,17.6247997283936,0.0204780008643866,17.5860004425049,0.0302859991788864,17.5933990478516,0.0482469983398914,29,19,18,18,19,19,19,115000,0.00010443900100654,-0.0210966002196074,17.381799697876,0.00504799978807569,17.4901008605957,0.00890600029379129,17.378999710083,0.00732100009918213,17.4309997558594,0.0250959992408752,17.4337997436523,0.0375799983739853,17.513599395752,0.0630630031228065,15,7,7,7,7,7,7,115000,-0.0224907994270325,0.0362537987530231,17.2574005126953,0.00651900004595518,17.4207000732422,0.0154780000448227,17.2605991363525,0.0128509998321533,17.3798999786377,0.0503459982573986,17.4044990539551,0.079026997089386,17.5132999420166,0.135388001799583,22,8,8,7,8,8,8,115000,-0.034935999661684,0.0242130998522043,0.25025284,0.38571787,STAR,0.009500447,0.9880975,0.002401963,0,2.22274315457868,6736,-999,-999,-999,-999,-999,-999
hamilton,305.0371666667,70.7927666667,192753053230089774,305.32290142,0.00187000003643334,70.63252158,0.00413999985903502,104.076884585855,18.5062410890643,1.42207560334323E-05,0.0130363042296357,5902950556427.2,3060171101241006522,13720754834811,305.3229086,70.6325356,0.1083,0.1083,0.015799999,0000,0,AAUU,0,14.351,0.026000001,1.03100002,0,14.294,0.034000002,0,14.942,0.034000002,0,14.304,0.043000001,0,14.244,0.066,1,14.456,0.034000002,1.02900004,0,14.368,0.039999999,0,15.153,0.044,0,14.33,0.046,0,14.065,0.059999999,1,13.477,-999,0.89359999,0,12.686,-999,32,13.881,-999,32,12.995,-999,32,12.453,-999,32,9.9860001,-999,0.95459998,0,9.4799995,-999,32,10.448,-999,32,9.6990004,-999,32,8.9239998,-999,32,17.5687999725342,0.00368300010450184,17.6256008148193,0.00595000013709068,17.5669002532959,0.00392299983650446,17.6226005554199,0.0104860002174973,17.5732002258301,0.0140930004417896,17.5809993743896,0.0212009996175766,19,12,11,10,12,12,12,115000,-0.0439318008720875,-0.0118447998538613,16.7577991485596,0.0020479999948293,16.8311996459961,0.00421199994161725,16.7723007202148,0.00420300010591745,16.8351993560791,0.0153679996728897,16.7873001098633,0.0224120002239943,16.7961006164551,0.0359649993479252,20,10,12,10,13,13,13,115000,-0.00778354005888104,-0.0192735008895397,16.3591995239258,0.00364400004036725,16.4487991333008,0.00535700004547834,16.3750991821289,0.00384999997913837,16.426399230957,0.00632400019094348,16.3787994384766,0.0088120000436902,16.3787002563477,0.0135080004110932,29,12,12,13,14,14,14,115000,0.0143149001523852,0.00408997992053628,16.1667003631592,0.00339900003746152,16.2481002807617,0.0103249996900558,16.1851005554199,0.00699800020083785,16.2367992401123,0.00851500034332275,16.1839008331299,0.0116750001907349,16.1816997528076,0.0175349991768599,15,9,8,9,10,10,10,115000,-0.00955414026975632,0.0143312001600862,16.0496006011963,0.00389700010418892,16.164400100708,0.00866399984806776,16.0645008087158,0.0044680000282824,16.1772003173828,0.017603000625968,16.0797004699707,0.0244539994746447,16.0342998504639,0.0370009988546371,22,15,13,12,15,15,15,115000,0.0317183993756771,0.0111536998301744,0.26732355,0.42148948,STAR,0.012206676,0.9858813,0.0019120603,0,1.2661646911436,11061,-999,-999,-999,-999,-999,-999
hamilton,305.0371666667,70.7927666667,192753053645309583,305.36435116,0.00257000001147389,70.63237435,0.00261000008322299,104.083969152346,18.4942480729218,3.08534725250358E-05,0.00858598110769312,4831409897918.88,3060171101241006396,13720754632831,305.3644308,70.6323584,0.084299996,0.088299997,0.0098999999,0000,0,AAUU,0,13.316,0.024,1.22000003,0,13.309,0.011,0,13.928,0.011,0,13.408,0.014,1,13.352,0.021,1,13.153,0.024,1.05999994,0,13.167,0.016000001,0,13.914,0.017000001,0,13.262,0.021,1,13.17,0.029999999,1,13.311,-999,0.90249997,0,12.517,0.38499999,0,13.988,0.495,0,12.629,0.31999999,1,11.79,0.244,1,10.034,-999,0.93290001,0,9.0430002,-999,32,10.054,-999,32,8.9840002,-999,32,8.2729998,-999,32,18.5006008148193,0.00485299993306398,18.5806999206543,0.00594200007617474,18.5191993713379,0.00656800018623471,18.5678005218506,0.0221590008586645,18.5531005859375,0.0320519991219044,18.5792999267578,0.0508570000529289,19,11,11,11,11,11,11,115000,-0.0576636008918285,-0.0195199996232986,17.3036003112793,0.00508000003173947,17.3759002685547,0.00771099980920553,17.3061008453369,0.00490000005811453,17.3777008056641,0.0243420004844666,17.3143997192383,0.0355090014636517,17.298900604248,0.055672999471426,20,14,13,13,14,14,14,115000,0.0187046006321907,-0.0361725017428398,16.1662998199463,0.00293099996633828,16.2362003326416,0.00241800001822412,16.1721992492676,0.0020469999872148,16.2194995880127,0.00543799996376038,16.1735992431641,0.00746299978345633,16.1686000823975,0.0112990001216531,29,16,14,14,17,17,17,115000,0.0125000001862645,-0.0099662197753787,15.6454000473022,0.00411099987104535,15.729700088501,0.00180099997669458,15.6590003967285,0.00292599992826581,15.7180004119873,0.00529399979859591,15.6565999984741,0.00704899989068508,15.6403999328613,0.0104099996387959,15,6,5,8,8,8,8,115000,-0.00805885996669531,0.0140153998509049,15.4148998260498,0.00249000010080636,15.5201997756958,0.00341399991884828,15.4258003234863,0.00309400004334748,15.5552997589111,0.0103550003841519,15.4671001434326,0.0141749996691942,15.4422998428345,0.0215969998389483,22,14,12,13,16,16,16,115000,0.0329897999763489,0.0237914007157087,0.25204802,0.42148948,STAR,0.0038149133,0.9945663,0.0016186822,0,2.03710552601515,11190,-999,-999,-999,-999,-999,-999
hamilton,305.0371666667,70.7927666667,192753054668158526,305.46706065,0.016610000282526,70.63151239,0.0197400003671646,104.101103344153,18.4643000811012,6.045613967821E-05,0.742222424732413,111042189000.271,3060171101241007899,13720798989292,305.4670134,70.631454,0.8976,0.8082,0.1691,0000,0,BUUU,0,17.910999,0.156,0.92019999,0,16.655001,0.111,1,17.438999,0.12899999,0,16.099001,0.083999999,1,15.052,0.052999999,1,17.403999,-999,0.9508,0,16.125999,0.126,1,17.075001,0.162,0,15.625,0.094999999,1,14.661,0.064999998,1,13.297,-999,0.8969,0,11.777,-999,32,12.966,-999,32,12.088,-999,32,11.542,-999,32,9.9090004,-999,0.95389998,0.001,8.875,-999,32,9.9379997,-999,32,8.835,-999,32,8.2819996,-999,32,23.1940994262695,0.136674001812935,22.8134994506836,0.453180998563766,22.8281993865967,0.248161002993584,23.5764007568359,2.12104988098145,22.4018993377686,1.12757003307343,21.2360992431641,0.603838980197906,35,6,6,6,6,6,6,16416,0.515236973762512,-0.0211379006505013,22.1879997253418,0.139667004346848,21.989200592041,0.233640998601913,21.806999206543,0.120205998420715,21.6758995056152,0.783432006835938,21.875,1.47072005271912,21.7219009399414,1.9817099571228,40,12,12,10,12,12,12,115256,-0.428487002849579,0.0294291004538536,20.4736003875732,0.0323849990963936,20.6851997375488,0.0533270016312599,20.6312999725342,0.0701740011572838,20.6403007507324,0.331407994031906,20.7140007019043,0.555532991886139,21.2205009460449,1.41630005836487,55,18,18,17,18,18,18,115000,0.0564888007938862,0.025475300848484,19.7203998565674,0.0305840000510216,19.9213008880615,0.0766599997878075,19.7773990631104,0.0451570004224777,20.0942001342773,0.252281993627548,20.0321998596191,0.370626986026764,20.4491004943848,0.867178022861481,30,8,7,6,8,8,8,115000,-0.355717986822128,-0.0688396021723747,19.2821998596191,0.0481389984488487,19.5142993927002,0.0829520002007484,19.3386001586914,0.157247006893158,19.2987995147705,0.296667993068695,19.0172996520996,0.354636013507843,18.7147998809814,0.429396986961365,42,12,12,12,12,12,12,115000,0.117337003350258,-0.00128941994626075,0.24215902,0.42148948,STAR,0.0031347733,0.99660385,0.00026141354,0,3.05363567874594,2240,-999,-999,-999,-999,-999,-999
hamilton,305.0371666667,70.7927666667,192753055500028301,305.55012567,0.0447200015187263,70.63123303,0.0623699985444546,104.115376773873,18.4403073067945,0.00036106222373658,0.0771185798396962,19292075.764829,3060171101241005134,13720799262563,305.5494271,70.6309561,0.2762,0.25420001,0.054499999,0000,0,AAUU,0,16.493999,0.052999999,0.88810003,0,15.735,0.059,1,16.548,0.071000002,1,15.43,0.055,1,14.652,0.045000002,1,15.813,0.077,0.92199999,0,15.203,0.104,1,16.098,0.12800001,1,15.063,0.108,1,14.526,0.11,1,12.966,-999,0.86320001,0,11.266,-999,32,12.538,-999,32,11.586,-999,32,11.242,-999,32,10.025,-999,0.97640002,0,9.1309996,0.308,1,10.439,0.41299999,1,8.8070002,0.23100001,17,8.0539999,0.207,17,22.011100769043,0.0690660029649735,21.756799697876,0.117831997573376,21.6608009338379,0.0758839994668961,21.6816997528076,0.380127996206284,21.8743991851807,0.70517897605896,22.9542999267578,2.94254994392395,16,12,12,11,12,12,12,115000,-0.0842408984899521,-0.100466996431351,21.1613006591797,0.0744410008192062,20.9039993286133,0.0824910029768944,20.8502006530762,0.125556007027626,21.0275001525879,0.452237010002136,21.1931991577148,0.822709977626801,22.6483001708984,5.00846004486084,20,11,11,11,11,11,11,115000,-0.178613007068634,-0.207632005214691,20.6504001617432,0.0374299995601177,20.2961006164551,0.0417959988117218,20.2103996276855,0.0355940014123917,20.2947006225586,0.172868996858597,20.4171009063721,0.299373000860214,20.8572006225586,0.710536003112793,26,16,16,14,16,16,16,16892216,-0.043877799063921,-0.0300284996628761,20.5452995300293,0.0515770018100739,19.9468994140625,0.0902789980173111,19.8374004364014,0.0911929979920387,19.906099319458,0.207836002111435,19.959400177002,0.340404987335205,19.7686996459961,0.447373002767563,15,9,9,9,9,9,9,16892216,0.160276994109154,-0.0855981037020683,20.1688003540039,0.119808003306389,19.8957996368408,0.0598190017044544,19.6350994110107,0.104593999683857,19.7749004364014,0.443208009004593,20.8467998504639,1.85048997402191,-999,-999,20,8,8,7,8,8,8,118840,-0.374260008335114,0.475885987281799,0.24914362,0.42148948,GALAXY,0.91905487,6.101556E-05,0.080884136,0,3.57049303893261,888,0.302353531122208,0.0805323244657588,0.24863246,0,3.5783504820219,116
hamilton,305.0371666667,70.7927666667,192713042799018751,304.27982365,0.0139499995857477,70.59843221,0.0186400003731251,103.866202599697,18.7911412330468,0.000109370211356741,0.148926684176754,339522022640.848,3060171101241009492,13720636403793,304.2800125,70.5985218,0.39089999,0.36289999,0.079400003,hH00,0,ABUU,0,17.046,0.064000003,0.82849997,0,16.683001,0.229,1,17.393999,0.24699999,1,16.631001,0.27700001,1,16.068001,0.271,1,17.393999,0.271,0.91600001,0,16.724001,0.537,1,16.75,-999,32,15.859,-999,32,15.625,-999,32,13.727,-999,0.93279999,0,13.273,-999,32,14.468,-999,32,13.581,-999,32,13.041,-999,32,10.147,-999,1.00999999,0,9.3760004,-999,32,10.769,-999,32,9.3149996,-999,32,8.6059999,-999,32,22.7252006530762,0.174659997224808,23.1214008331299,0.450482994318008,22.5948009490967,0.396611988544464,22.9874992370605,1.18666005134583,23.3281002044678,2.53984999656677,-999,-999,19,5,5,5,5,5,5,20536,0.0306604001671076,-0.672169983386993,21.0352993011475,0.0593420006334782,21.2175006866455,0.0993420034646988,21.5146007537842,0.281174004077911,21.3817005157471,0.470286011695862,22.7222995758057,2.49349999427795,-999,-999,20,12,12,11,12,12,12,115000,0.140064999461174,-0.104235000908375,20.0189990997314,0.0218299999833107,20.1732006072998,0.0317460000514984,20.1196002960205,0.0328529998660088,20.1693992614746,0.221673995256424,20.2817993164063,0.384521991014481,20.9022998809814,1.0890200138092,29,12,12,12,12,12,12,115000,-0.0317883007228374,-0.0554543994367123,19.5452995300293,0.0242509990930557,19.6070995330811,0.0394110009074211,19.4894008636475,0.0439699999988079,19.486400604248,0.16184900701046,19.4561996459961,0.24584199488163,19.4505996704102,0.389288991689682,15,7,7,7,7,7,7,115000,-0.0119858998805285,-0.0343125984072685,19.3304996490479,0.0467070005834103,19.6558990478516,0.0669139996170998,19.6177997589111,0.185064002871513,19.7567005157471,0.338072001934052,19.7282009124756,0.508603990077972,19.9337005615234,0.975235998630524,22,4,4,4,4,4,4,115000,-0.0897250026464462,0,0.2111568,0.35752842,STAR,0.004471299,0.99480295,0.00072575716,1,5.51914254512622,335,-999,-999,-999,-999,-999,-999
hamilton,305.0371666667,70.7927666667,192713044189606058,304.41896774,0.0385500006377697,70.59609207,0.0506800003349781,103.887708450429,18.7495772079871,0.000186283962581871,0.0221520049259457,149934847.632613,3060171101241009636,13720638305275,304.4195267,70.5961068,0.1371,0.13169999,0.024800001,dHDH,0,AAAB,0,15.381,0.030999999,1.53299999,0,13.871,0.0089999996,0,14.897,0.011,0,12.906,0.0070000002,1,10.981,0.0060000001,1,14.953,0.041000001,1.08800006,0,13.485,0.013,0,14.595,0.017999999,0,12.588,0.0080000004,1,10.892,0.0060000001,1,11.929,0.086000003,1.01100004,0,10.501,0.171,0,12.052,0.23899999,0,10.503,0.12899999,1,9.7060003,0.103,1,9.7200003,0.32699999,0.97170001,0,8.6079998,0.28,17,10.032,0.41,1,8.0869999,0.184,17,6.6859999,0.097999997,17,21.9731006622314,0.0627449974417686,21.005500793457,0.0817089974880219,21.0977001190186,0.099091000854969,21.1411991119385,0.388603001832962,20.8647994995117,0.446209013462067,20.8847007751465,0.660287022590637,19,9,9,9,9,9,9,16892216,-0.0405974984169006,-0.0377856008708477,20.9430999755859,0.0614770017564297,20.0193996429443,0.0657249987125397,20.1333999633789,0.0680190026760101,20.0839996337891,0.301088988780975,20.4402008056641,0.654265999794006,-999,-999,20,10,10,9,10,10,10,16892216,0.227522999048233,0.0532109998166561,20.5711002349854,0.0893609970808029,19.2658004760742,0.06283800303936,19.4838008880615,0.0455269999802113,19.380500793457,0.0822760015726089,19.2287006378174,0.110927999019623,19.4174995422363,0.208077996969223,29,10,10,6,10,10,10,16892216,0.0485890991985798,-0.0878276973962784,20.353099822998,0.0940399989485741,18.9689998626709,0.0536630004644394,19.255500793457,0.0465199984610081,19.0447006225586,0.0964239984750748,18.7777004241943,0.11659500002861,18.7915000915527,0.187771007418633,15,7,7,6,7,7,7,16892216,0.0557520985603333,-0.0485092997550964,19.9416007995605,0.0854969993233681,18.9946994781494,0.150877997279167,19.050500869751,0.0682580024003983,19.1725006103516,0.264802008867264,19.445499420166,0.532212972640991,-999,-999,22,11,11,8,11,11,11,16892216,0.703613996505737,-1.60372996330261,0.23277953,0.35752842,GALAXY,0.97615594,0.018656634,0.0051874407,1,8.53696469662349,498,0.298872470855713,0.0514624430879339,0.29827482,1,9.20224882613494,1174
hamilton,305.0371666667,70.7927666667,192713044451296015,304.44512722,0.00274999998509884,70.59601271,0.00270999991334975,103.89209473009,18.741942749543,8.97726730569607E-06,0.0119332080963192,6825226391215.17,3060171101241009990,13720638269727,304.4451434,70.5960199,0.1021,0.1038,0.0141,ddHH,0,AAUC,0,14.434,0.025,1.30299997,0,13.877,0.068999998,0,14.697,0.079999998,0,13.204,0.046999998,1,11.227,0.013,1,14.471,0.033,1.03499997,0,13.695,0.059,0,14.689,0.077,0,12.925,0.035,1,11.122,0.012,1,13.346,-999,0.95069998,0,11.732,0.28200001,0,13.446,0.449,0,11.411,0.15700001,1,10.207,0.085000001,1,10.207,0.52499998,0.94499999,0.001,8.552,-999,32,9.7659998,-999,32,8.5679998,0.294,17,7.4770002,0.207,17,18.9270000457764,0.00932299997657537,19.0116004943848,0.00712799979373813,18.9529991149902,0.00846500042825937,18.9775009155273,0.0614680014550686,18.8777008056641,0.0864719972014427,18.8484992980957,0.133277997374535,19,7,7,7,7,7,7,115000,0.0286871995776892,-0.0218272991478443,17.6658992767334,0.00574100017547607,17.7520999908447,0.0104660000652075,17.6713008880615,0.0102420002222061,17.7810001373291,0.0328689999878407,17.7098007202148,0.0477549992501736,17.7833003997803,0.0809210017323494,20,13,11,13,13,13,13,115000,-0.0220657996833324,-0.04808109998703,17.0678997039795,0.00375099992379546,17.1501998901367,0.00575899984687567,17.0639991760254,0.00327400001697242,17.1151008605957,0.0135859996080399,17.0512008666992,0.0194160006940365,17.0372009277344,0.0299490001052618,29,17,18,17,18,18,18,115000,-0.00328731001354754,-0.0284352004528046,16.7856998443604,0.00535500003024936,16.8647994995117,0.0105389999225736,16.7877998352051,0.00840900000184774,16.8309001922607,0.0142949996516109,16.7968997955322,0.0210009999573231,16.8432006835938,0.0344350002706051,15,3,3,3,3,3,3,115000,0.0152046997100115,-0.0374269001185894,16.5898990631104,0.00875500030815601,16.7987995147705,0.0253940001130104,16.6665000915527,0.0278130006045103,16.8087005615234,0.031156999990344,16.8187999725342,0.047324001789093,17.0445995330811,0.0904420018196106,22,9,9,8,9,9,9,115000,0.0232513006776571,0.00116742996033281,0.23277953,0.35752842,STAR,0.009150212,0.9842614,0.0065884073,0,3.86568664622868,11140,-999,-999,-999,-999,-999,-999
hamilton,305.0371666667,70.7927666667,192713046242045123,304.62417461,0.00685000000521541,70.59527437,0.00679000001400709,103.922019617652,18.6896382547917,2.94469089279375E-05,0.00632701572986509,5533374439885.04,3060171101241006288,13720641403093,304.6241825,70.5953037,0.068300001,0.075900003,0.0041999999,0000,0,AAAU,0,11.255,0.022,0.95069998,0,11.203,0.0060000001,1,11.865,0.0060000001,1,11.189,0.0060000001,1,11.092,0.0060000001,1,11.352,0.02,1.02999997,0,11.29,0.0070000002,1,12.079,0.0070000002,1,11.283,0.0070000002,1,11.161,0.0089999996,1,11.308,0.059,0.98989999,0,11.26,0.108,1,12.667,0.133,1,11.655,0.117,1,11.676,0.197,1,10.156,-999,1.023,0,9.7250004,-999,32,10.73,-999,32,9.6750002,-999,32,8.9809999,-999,32,15.0917997360229,0.00474900007247925,15.1340999603271,0.000907999987248331,15.0867004394531,0.0014280000468716,15.1391000747681,0.00209899991750717,15.0872001647949,0.00222999998368323,15.0673999786377,0.00262499996460974,19,5,3,4,5,5,5,115000,0.0114995995536447,0.0197136998176575,14.0052995681763,0.00147500005550683,14.0583000183105,0.00134199997410178,13.9982004165649,0.00215799990110099,14.0740995407104,0.0013399999588728,14,0.00153300003148615,13.9713001251221,0.00199900008738041,20,7,7,11,11,11,11,115000,-0.00838259980082512,-0.0307068005204201,13.6574001312256,0.157445996999741,13.6618003845215,0.0705379992723465,13.6009998321533,0.0957830026745796,-999,-999,-999,-999,-999,-999,29,2,2,2,0,0,0,16892216,-999,-999,13.3227996826172,0.00217600003816187,13.3768997192383,0.00205800007097423,13.3184995651245,0.00258899992331862,13.3741998672485,0.00123499997425824,13.309100151062,0.00135100004263222,13.2805004119873,0.0016619999660179,15,6,7,8,11,11,11,115000,-0.0101891998201609,0.0288695003837347,13.203800201416,0.00557099981233478,13.2559995651245,0.00546800019219518,13.1989002227783,0.00304100010544062,13.31369972229,0.00200999993830919,13.2228002548218,0.00232800003141165,13.1708002090454,0.00306000001728535,22,10,12,10,13,13,13,115000,0.0395645014941692,0.00487447995692492,0.23997313,0.38571787,STAR,0.0024273132,0.9957567,0.0018158918,1,21.5875977894074,319,-999,-999,-999,-999,-999,-999
