sightline,center_ra_deg,center_dec_deg,objID,raMean,raMeanErr,decMean,decMeanErr,l,b,distance_Deg,sqrErr_Arcsec,BayesFactor,cntr,HtmID,ra,dec,sigra,sigdec,sigradec,cc_flags,ext_flg,ph_qual,moon_lev,w1mpro,w1sigmpro,w1rchi2,w1sat,w1mag,w1sigm,w1flg,w1mag_1,w1sigm_1,w1flg_1,w1mag_4,w1sigm_4,w1flg_4,w1mag_7,w1sigm_7,w1flg_7,w2mpro,w2sigmpro,w2rchi2,w2sat,w2mag,w2sigm,w2flg,w2mag_1,w2sigm_1,w2flg_1,w2mag_4,w2sigm_4,w2flg_4,w2mag_7,w2sigm_7,w2flg_7,w3mpro,w3sigmpro,w3rchi2,w3sat,w3mag,w3sigm,w3flg,w3mag_1,w3sigm_1,w3flg_1,w3mag_4,w3sigm_4,w3flg_4,w3mag_7,w3sigm_7,w3flg_7,w4mpro,w4sigmpro,w4rchi2,w4sat,w4mag,w4sigm,w4flg,w4mag_1,w4sigm_1,w4flg_1,w4mag_4,w4sigm_4,w4flg_4,w4mag_7,w4sigm_7,w4flg_7,gFPSFMag,gFPSFMagErr,gFKronMag,gFKronMagErr,gFApMag,gFApMagErr,gFmeanMagR5,gFmeanMagR5Err,gFmeanMagR6,gFmeanMagR6Err,gFmeanMagR7,gFmeanMagR7Err,gnTotal,gnIncPSFFlux,gnIncKronFlux,gnIncApFlux,gnIncR5,gnIncR6,gnIncR7,gFlags,gE1,gE2,rFPSFMag,rFPSFMagErr,rFKronMag,rFKronMagErr,rFApMag,rFApMagErr,rFmeanMagR5,rFmeanMagR5Err,rFmeanMagR6,rFmeanMagR6Err,rFmeanMagR7,rFmeanMagR7Err,rnTotal,rnIncPSFFlux,rnIncKronFlux,rnIncApFlux,rnIncR5,rnIncR6,rnIncR7,rFlags,rE1,rE2,iFPSFMag,iFPSFMagErr,iFKronMag,iFKronMagErr,iFApMag,iFApMagErr,iFmeanMagR5,iFmeanMagR5Err,iFmeanMagR6,iFmeanMagR6Err,iFmeanMagR7,iFmeanMagR7Err,inTotal,inIncPSFFlux,inIncKronFlux,inIncApFlux,inIncR5,inIncR6,inIncR7,iFlags,iE1,iE2,zFPSFMag,zFPSFMagErr,zFKronMag,zFKronMagErr,zFApMag,zFApMagErr,zFmeanMagR5,zFmeanMagR5Err,zFmeanMagR6,zFmeanMagR6Err,zFmeanMagR7,zFmeanMagR7Err,znTotal,znIncPSFFlux,znIncKronFlux,znIncApFlux,znIncR5,znIncR6,znIncR7,zFlags,zE1,zE2,yFPSFMag,yFPSFMagErr,yFKronMag,yFKronMagErr,yFApMag,yFApMagErr,yFmeanMagR5,yFmeanMagR5Err,yFmeanMagR6,yFmeanMagR6Err,yFmeanMagR7,yFmeanMagR7Err,ynTotal,ynIncPSFFlux,ynIncKronFlux,ynIncApFlux,ynIncR5,ynIncR6,ynIncR7,yFlags,yE1,yE2,EBV_Planck,EBV_PS1,class,prob_Galaxy,prob_Star,prob_QSO,extrapolation_Class,cellDistance_Class,cellID_Class,z_phot,z_photErr,z_phot0,extrapolation_Photoz,cellDistance_Photoz,cellID_Photoz
isha,71.411,70.3073888889,192170707427715718,70.7428825,0.0596799999475479,70.14579228,0.0430600009858608,140.30497217755,15.5561609698005,0.000138366519746983,0.0950700988673659,242719542821.582,711169601241033928,17006545967677,70.7431924,70.1458821,0.27379999,0.29010001,-0.066399999,0000,0,AABB,0,15.546,0.052999999,1.10500002,0,15.181,0.088,0,15.96,0.102,0,14.968,0.090000004,1,14.581,0.105,1,15.071,0.101,1.13,0,14.796,0.186,0,15.693,0.226,0,14.676,0.198,1,14.507,0.28099999,1,11.875,0.222,0.70109999,0,11.909,0.51999998,0,12.522,-999,32,12.075,0.45300001,1,11.01,-999,32,8.6630001,0.31600001,0.98949999,0,8.1689997,-999,32,9.092,-999,32,8.3929996,-999,32,7.6830001,-999,32,20.94700050354,0.0182130001485348,19.5249004364014,0.0264079999178648,19.7968006134033,0.0298880003392696,19.718599319458,0.0915450006723404,19.2730007171631,0.0942799970507622,19.3166007995605,0.155202999711037,36,9,9,10,10,10,10,16892216,0.0648600980639458,-0.0344135016202927,20.2891998291016,0.0701019987463951,18.8071994781494,0.0485230013728142,19.1378002166748,0.0139880003407598,19.6515998840332,0.0938640013337135,19.4395999908447,0.119860999286175,20.8484001159668,0.686353981494904,32,6,8,4,16,16,16,16892216,0.0388306006789207,-0.00937546044588089,20.5044002532959,0.185138002038002,18.4060001373291,0.0326419994235039,19.1163997650146,0.145223006606102,19.442699432373,0.0796319991350174,19.4631004333496,0.124131999909878,-999,-999,53,7,7,7,16,16,16,16892216,0.113275997340679,-0.024269200861454,20.1037006378174,0.0394759997725487,18.2084007263184,0.037151001393795,18.9491004943848,0.0353199988603592,19.1107006072998,0.0807349979877472,18.7381992340088,0.0877470001578331,18.588399887085,0.120809003710747,44,10,13,11,15,15,15,16892216,0.0575265996158123,-0.00346603989601135,19.3740005493164,0.0911160036921501,18.4002990722656,0.0631040036678314,18.4437999725342,0.110831998288631,18.7907009124756,0.180778995156288,18.4696006774902,0.210554003715515,18.3509998321533,0.300397992134094,30,11,10,10,15,15,15,16892216,0.105534002184868,-0.0101549001410604,0.15927903,0.2668021,GALAXY,0.9975904,0.00013355957,0.002276079,0,2.39436342320405,1524,0.204147674143314,0.0237086855944878,0.19516185,1,4.00384492337117,1775
isha,71.411,70.3073888889,192170707650066115,70.76500663,0.00328999990597367,70.14613066,0.00310000008903444,140.309553221619,15.5622517272824,0.000282726111966281,0.265581814419443,45568377605.4737,711169601241034872,17006546093997,70.7644157,70.1463298,0.4824,0.48859999,-0.1213,0000,0,ABUU,0,16.173,0.082999997,0.83829999,0,15.684,0.086000003,1,16.458,0.097999997,1,15.143,0.066,1,13.399,0.023,1,15.951,0.23,0.9296,0,15.555,0.329,1,16.448,0.40000001,1,15.146,0.26800001,1,13.451,0.093000002,1,12.585,-999,1.028,0,12.035,-999,32,13.228,-999,32,12.209,-999,32,11.101,-999,32,9.2790003,-999,1.04999995,0,8.5290003,-999,32,9.54,-999,32,8.4689999,-999,32,7.7550001,-999,32,18.2155990600586,0.0051060002297163,18.2761993408203,0.00918500032275915,18.2257995605469,0.00750799989327788,18.3521995544434,0.0247220005840063,18.3194999694824,0.0361290015280247,18.3437004089355,0.0579539984464645,36,12,12,12,21,21,21,115000,-0.0144790997728705,0.0227528996765614,17.6930999755859,0.0078090000897646,17.7840003967285,0.0135920001193881,17.7082996368408,0.00783099979162216,17.7614994049072,0.0193969998508692,17.7255001068115,0.028651999309659,17.7283992767334,0.0453910008072853,32,8,8,8,15,15,15,115000,0.014763000421226,0.0238927993923426,17.468900680542,0.00329799996688962,17.5662002563477,0.00822400022298098,17.4815998077393,0.00550699979066849,17.6760005950928,0.0152700003236532,17.6303005218506,0.0221319999545813,17.6133995056152,0.0342490002512932,53,7,8,8,11,11,11,115000,-0.0311967004090548,0.0189353004097939,17.3829002380371,0.0044840001501143,17.4846992492676,0.0113899996504188,17.391300201416,0.00525900023058057,17.4676990509033,0.0206790007650852,17.4195995330811,0.0299449991434813,17.4286994934082,0.0474379993975163,44,13,10,12,18,18,18,115000,0.0122234001755714,-0.0199727993458509,17.3008995056152,0.0167929995805025,17.4559993743896,0.0240889992564917,17.324800491333,0.0189839992672205,17.6446990966797,0.0630510002374649,17.6280994415283,0.0964870005846024,17.6313991546631,0.155156999826431,30,13,10,9,20,20,20,115000,-0.0663340985774994,-0.00175536004826427,0.15927903,0.2668021,STAR,0.0006124575,0.99911934,0.0002682555,0,1.84819651671953,8387,-999,-999,-999,-999,-999,-999
isha,71.411,70.3073888889,192170707816416087,70.78164365,0.00392000004649162,70.14610636,0.00404000002890825,140.313223240464,15.5666593635333,6.55461826105505E-06,0.0121711587610335,6833046550803.37,711169601241033533,17006546102162,70.7816307,70.1461015,0.1085,0.1039,-0.0253,0000,0,AABU,0,13.163,0.027000001,1.96300006,0,13.129,0.013,1,13.78,0.014,1,13.159,0.016000001,1,12.932,0.021,1,13.177,0.033,1.222,0,13.184,0.050999999,1,13.943,0.055,1,13.261,0.064999998,1,13.052,0.088,1,12.141,0.28,0.9655,0,11.573,-999,32,12.883,-999,32,11.847,-999,32,11.266,-999,32,9.3039999,-999,0.99910003,0,8.3719997,-999,32,9.3809996,-999,32,8.309,-999,32,7.5939999,-999,32,15.3488998413086,0.00286799995228648,15.3826999664307,0.00248100003227592,15.3347997665405,0.00177800003439188,15.4700002670288,0.00273699988611043,15.4074001312256,0.00313999992795289,15.3808002471924,0.00410499982535839,36,11,9,10,22,22,22,115000,-0.0209292005747557,0.0177159998565912,14.8401002883911,0.00261999992653728,14.8840999603271,0.00335499993525445,14.8332004547119,0.0010789999505505,14.894700050354,0.00196300004608929,14.8428001403809,0.00235299998894334,14.8194999694824,0.00318700005300343,32,4,5,5,6,6,6,115000,0.0109350997954607,0.00624859984964132,14.6386003494263,0.00349400006234646,14.6870002746582,0.00240000011399388,14.6344003677368,0.0016499999910593,14.8421001434326,0.00189800001680851,14.7911996841431,0.00227200007066131,14.7686996459961,0.00305399997159839,53,10,9,9,23,23,23,115000,-0.0231007002294064,0.0278184991329908,14.5620002746582,0.00191600003745407,14.6234998703003,0.00177700002677739,14.559100151062,0.00131800002418458,14.6695003509521,0.0024590000975877,14.6163997650146,0.00299599999561906,14.5953998565674,0.00413900008425117,44,12,10,13,20,20,20,115000,0.00574538996443152,-0.0120956003665924,14.4820003509521,0.00372499995864928,14.5283002853394,0.00450999988242984,14.4771003723145,0.00276999990455806,14.3084001541138,0.00354700000025332,14.2320995330811,0.00446100020781159,14.1997995376587,0.00633399980142713,30,10,7,7,17,17,17,115000,-0.0254347007721663,-0.0124578000977635,0.1662562,0.2668021,STAR,0.00052321295,0.99935836,0.00011847385,0,1.78632304993669,11165,-999,-999,-999,-999,-999,-999
isha,71.411,70.3073888889,192170708221648592,70.82217544,0.00448000011965632,70.14819638,0.00480999983847141,140.320412236612,15.5787375112109,7.8254652781854E-06,0.0260236434832255,3220251715039.15,711169601241033665,17006545901099,70.8221862,70.1482033,0.1516,0.15279999,-0.037999999,0000,0,AAUU,0,14.292,0.032000002,1.13399994,0,14.297,0.041999999,1,14.909,0.041999999,0,14.466,0.061000001,1,14.543,0.108,1,14.441,0.064000003,1.08099997,0,14.401,0.094999999,1,15.177,0.104,0,14.451,0.118,1,14.263,0.164,1,12.12,-999,0.9562,0,12.219,-999,32,13.47,-999,32,12.444,-999,32,11.78,-999,32,8.9049997,-999,1.04999995,0,10.537,-999,32,9.224,-999,32,8.0439997,-999,32,7.4369998,-999,32,17.5573997497559,0.00641300017014146,17.610200881958,0.00704499986022711,17.5576000213623,0.00728499982506037,17.6056995391846,0.0110029997304082,17.5319995880127,0.014635999687016,17.50830078125,0.0215819999575615,36,9,9,9,10,10,10,115000,0.0133424997329712,0.0254874993115664,16.7068004608154,0.00470700021833181,16.7831001281738,0.00277699995785952,16.7094993591309,0.00471899984404445,16.9312992095947,0.00902799982577562,16.8770999908447,0.0126759996637702,16.8754997253418,0.019633999094367,32,8,8,8,19,19,19,115000,-0.00833771005272865,-0.0196800008416176,16.3537998199463,0.0022809999063611,16.4139003753662,0.00291800010018051,16.3507995605469,0.00247700000181794,16.5531997680664,0.006976000033319,16.4705009460449,0.00943499989807606,16.4491996765137,0.0142310000956059,53,8,8,10,9,9,9,115000,-0.0427158996462822,0.0320836007595062,16.172700881958,0.00334300007671118,16.2483997344971,0.00400099996477365,16.1770992279053,0.00375199993140996,16.2731990814209,0.00690999999642372,16.2164993286133,0.00930299982428551,16.2112998962402,0.0139739997684956,44,8,8,9,16,16,16,115000,-0.030630199238658,-0.0163193996995687,16.0520000457764,0.00808900035917759,16.1088008880615,0.00949000008404255,16.044900894165,0.00782200042158365,16.1707992553711,0.0175720006227493,16.0844993591309,0.0246709994971752,16.0615997314453,0.0380889996886253,30,11,11,10,13,13,13,115000,-0.018443999812007,-0.00166982994414866,0.1662562,0.2668021,STAR,0.0018524108,0.99797755,0.00016994828,0,3.94866826369188,10929,-999,-999,-999,-999,-999,-999
isha,71.411,70.3073888889,192170709204189432,70.92037957,0.0888200029730797,70.14891214,0.0888200029730797,140.341335743252,15.6053169084334,0.000208004114694116,0.229149814053518,109246394441.434,711169601241034183,17006553304065,70.9208437,70.1487764,0.42390001,0.44679999,-0.12909999,0000,0,ABUU,0,16.041,0.075999998,1.02600002,0,16.174,0.235,1,16.747999,0.22400001,1,16.346001,0.34599999,1,15.897,0.37799999,1,15.835,0.19499999,1.403,0,15.273,0.233,1,16.239,0.301,1,14.818,0.183,1,14.053,0.148,1,12.162,-999,1.02199996,0,12.395,-999,32,13.593,-999,32,12.712,-999,32,11.953,-999,32,9.1969995,-999,1.01499999,0,8.6049995,-999,32,9.6059999,-999,32,8.5740004,-999,32,7.901,-999,32,23.6595001220703,0.253441005945206,23.3335990905762,0.917915999889374,24.1676998138428,1.50567996501923,20.9209995269775,0.517952978610992,20.2553005218506,0.439521014690399,21.2194004058838,1.71021997928619,36,8,7,8,1,1,1,16416,-0.505791008472443,-0.00772200990468264,23.7397994995117,0.684993982315063,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32,4,4,3,0,0,0,16416,-999,-999,22.0042991638184,0.121005997061729,21.8848991394043,0.187254995107651,21.8190994262695,0.169804006814957,-999,-999,-999,-999,-999,-999,53,9,9,9,0,0,0,114720,-999,-999,21.0209999084473,0.106545001268387,21.0251998901367,0.131642997264862,21.275899887085,0.169061005115509,22.2320003509521,1.51557004451752,22.7462005615234,3.81793999671936,-999,-999,44,13,13,11,5,5,5,16892216,-0.0382587984204292,0.084339402616024,20.2376003265381,0.171226993203163,19.9901008605957,0.0875630006194115,19.7430992126465,0.180751994252205,-999,-999,-999,-999,19.7073993682861,0.426530003547668,30,6,6,6,1,1,1,114720,1.31745994091034,0.239537999033928,0.17164542,0.2668021,GALAXY,0.96602905,0.017132053,0.016838897,1,21.3909059479322,611,0.706021010875702,0.246399739781954,0.81620896,1,20.3429622080098,1045
isha,71.411,70.3073888889,192170709463919259,70.94643303,0.00571999978274107,70.14874882,0.00905000045895576,140.347167719698,15.6121542864067,0.000148508525371578,0.15018917933229,218766867512.994,711169601241033973,17006553332429,70.9462142,70.1488774,0.3468,0.3691,-0.0867,0000,0,ABUU,0,15.719,0.064000003,0.95060003,0,15.47,0.13500001,1,16.216,0.152,1,15.304,0.147,1,14.545,0.122,1,15.76,0.18000001,0.82870001,0,14.848,0.191,1,15.936,0.27900001,1,14.412,0.153,1,13.892,0.15800001,1,12.276,-999,0.833,0,11.651,-999,32,13.067,-999,32,12.346,0.428,1,11.802,0.43200001,1,8.8190002,-999,0.96399999,0,8.0950003,-999,32,9.1800003,-999,32,8.1759996,-999,32,7.8439999,-999,32,22.5932998657227,0.132259994745255,22.5016002655029,0.260690003633499,22.2959003448486,0.234787002205849,19.2054996490479,0.0941929966211319,19.2695999145508,0.155353993177414,19.7479991912842,0.384032011032104,36,9,9,9,4,4,4,114724,-0.0683498978614807,0.00901713036000729,21.3654003143311,0.0898739993572235,21.4151992797852,0.103381000459194,21.4913997650146,0.14648599922657,19.2313003540039,0.0819839984178543,19.1935005187988,0.120945997536182,19.264799118042,0.203612998127937,32,12,12,12,4,4,4,115000,-0.00631438987329602,0.0372216999530792,19.5611000061035,0.0194400008767843,19.737699508667,0.0225980002433062,19.5718994140625,0.0268539991229773,19.7320995330811,0.128703996539116,19.6499004364014,0.185493007302284,19.4895000457764,0.243660002946854,53,15,15,12,5,5,5,115000,-0.0108279995620251,-0.0254776999354362,18.7134990692139,0.013154000043869,18.8703002929688,0.0199459996074438,18.7289009094238,0.0198379997164011,22.2334003448486,0.522367000579834,22.1601009368896,0.740936994552612,21.9071998596191,0.914252996444702,44,14,13,13,3,3,3,115000,0.0426357015967369,0.0251937992870808,18.2915992736816,0.0365439988672733,18.2980995178223,0.11573900282383,18.0862007141113,0.0778829976916313,19.596399307251,0.323260992765427,19.9169006347656,0.641945004463196,-999,-999,30,8,7,6,4,4,4,115000,-0.102641001343727,0.010890300385654,0.17106041,0.2668021,STAR,0.027038164,0.965813,0.00714888,0,2.6285500413711,132,-999,-999,-999,-999,-999,-999
isha,71.411,70.3073888889,192170710057377269,71.00581563,0.0246500000357628,70.14709774,0.0295700002461672,140.361492958279,15.6269547741522,3.9953185343187E-05,0.0691855780780735,1059094016725.26,711169601241033844,17006554183648,71.0059195,70.1471165,0.24079999,0.2481,-0.046100002,0000,0,AAUU,0,15.267,0.046,1.14600003,0,14.883,0.072999999,1,15.712,0.088,1,14.599,0.07,1,14.141,0.075999998,1,15.126,0.101,1.00399995,0,14.788,0.125,1,15.712,0.156,1,14.456,0.11,1,13.777,0.097000003,1,12.444,-999,1.12800002,0,12.042,-999,32,13.237,-999,32,12.349,-999,32,11.804,-999,32,9.29,-999,1.03100002,0,8.6409998,-999,32,9.6420002,-999,32,8.6079998,-999,32,7.5479999,-999,32,22.9034004211426,0.087117001414299,22.5638008117676,0.357735991477966,22.323299407959,0.186670005321503,-999,-999,-999,-999,-999,-999,36,6,6,6,0,0,0,114720,-999,-999,21.4414005279541,0.0654940009117126,21.2472991943359,0.141081005334854,21.2807006835938,0.142050996422768,20.0538997650146,0.144852995872498,19.9568004608154,0.206796005368233,20.5405006408691,0.565436005592346,32,8,7,7,4,4,4,115000,0.27531298995018,-0.0230448991060257,20.6800994873047,0.0388000011444092,20.0062999725342,0.0715259984135628,20.1375007629395,0.0470380000770092,20.6523990631104,0.287292987108231,20.2208995819092,0.302181005477905,20.0485000610352,0.412230014801025,53,12,12,10,7,7,7,16892216,0.0821745023131371,0.0606826990842819,20.2485008239746,0.0390189997851849,19.5807991027832,0.0648230016231537,19.675500869751,0.0229439996182919,20.4860000610352,0.316962003707886,20.0163993835449,0.313856989145279,19.4536991119385,0.303292006254196,44,12,14,10,1,1,1,16892216,0.0459770001471043,0.0996169000864029,19.9071998596191,0.0907829999923706,19.2952003479004,0.150677993893623,19.3519992828369,0.0877309963107109,18.7945995330811,0.124458998441696,18.7035007476807,0.178926005959511,18.7068004608154,0.285187005996704,30,13,13,12,1,1,1,115000,-0.118261002004147,0.990435004234314,0.17106041,0.2668021,GALAXY,0.98853624,0.0076408926,0.0038228421,0,1.46172994352031,824,0.466362074017525,0.0420007334317212,0.46732888,0,2.1939813343519,4049
isha,71.411,70.3073888889,192170710680818619,71.06811281,0.0395199991762638,70.14821585,0.0365400016307831,140.374183365998,15.6442601662821,7.31648452387403E-05,2.03791268113937,41048983388.9005,711169601241035005,17006553561037,71.0682206,70.1481525,1.3029,1.3566999,-0.3432,0000,0,BUUU,0,17.351,0.212,0.99739999,0,16.389,0.185,1,17.288,0.236,1,15.715,0.125,1,14.782,0.088,1,16.959,-999,0.99610001,0,15.821,-999,32,16.695,-999,32,15.999,0.50599998,1,15.02,0.338,1,12.853,-999,0.95469999,0,12.139,-999,32,13.337,-999,32,12.453,-999,32,11.908,-999,32,9.1300001,-999,0.83679998,0,8.165,-999,32,9.3070002,-999,32,8.5690002,0.53899997,1,7.7659998,0.48300001,1,23.6368999481201,0.370032995939255,22.8339004516602,0.292342990636826,22.8850002288818,0.0908389985561371,-999,-999,-999,-999,-999,-999,36,4,3,3,0,0,0,16416,-999,-999,22.9221992492676,0.348464012145996,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32,3,3,3,1,1,1,16416,-8.05494022369385,2.70329999923706,21.2266006469727,0.0489009991288185,21.3717994689941,0.0869809985160828,21.4146995544434,0.0995109975337982,20.6429004669189,0.268359005451202,21.3328990936279,0.780806005001068,22.6075000762939,3.92816996574402,53,13,13,12,4,4,4,115000,0.040268499404192,-0.2362419962883,20.0352993011475,0.0384120009839535,20.2194004058838,0.092789001762867,20.0991992950439,0.0552610009908676,-999,-999,-999,-999,-999,-999,44,11,11,9,0,0,0,115000,-999,-999,19.3187999725342,0.0419810004532337,19.8320007324219,0.159759998321533,19.8918991088867,0.0543650016188622,19.5153007507324,0.352977007627487,19.4815998077393,0.535014986991882,19.3840999603271,0.782737970352173,30,8,8,6,2,2,2,115000,-0.193909004330635,0.166592001914978,0.17102124,0.23232698,GALAXY,0.95653987,0.030078024,0.013382127,1,19.2775064503707,462,0.606329798698425,0.0430376426167704,0.60885596,1,18.2950524960125,743
isha,71.411,70.3073888889,192170710783446412,71.07842915,0.00490000005811453,70.14638245,0.00626000016927719,140.377930179697,15.6458781773405,0.000261579365912381,0.613707727072417,67321460691.4006,711169601241034471,17006553560054,71.0790184,70.146214,0.68620002,0.74790001,-0.1847,0000,0,BBUU,0,16.622999,0.12,0.88739997,0,15.977,-999,32,16.558001,-999,32,15.841,-999,32,15.251,-999,32,16.469999,0.32600001,0.99779999,0,15.863,-999,32,16.409,-999,32,15.712,-999,32,14.852,-999,32,12.619,-999,0.98180002,0,12.135,-999,32,13.324,-999,32,12.45,-999,32,11.902,-999,32,9.2279997,-999,0.86769998,0,8.2220001,-999,32,9.448,-999,32,7.9130001,-999,32,7.2220001,-999,32,20.002799987793,0.0135850002989173,20.0981998443604,0.0305729992687702,20.0424003601074,0.0290510002523661,19.4715995788574,0.0914150029420853,19.4386005401611,0.137896999716759,19.6229991912842,0.26113098859787,36,10,10,9,3,3,3,115000,-0.0687936022877693,0.033898301422596,19.1161003112793,0.0125160003080964,19.2714004516602,0.0420049987733364,19.1861000061035,0.0356470011174679,19.0079002380371,0.0629390031099319,18.9409008026123,0.0919699966907501,18.9167995452881,0.14350900053978,32,9,9,8,2,2,2,115000,0.0710000023245811,0.0780000016093254,18.7378997802734,0.00620299996808171,18.8239994049072,0.022732000797987,18.7308006286621,0.0213430002331734,19.2220993041992,0.0878840014338493,19.0345001220703,0.115206003189087,19.1679992675781,0.208019003272057,53,13,12,13,2,2,2,115000,-0.0488888993859291,0.00148147996515036,18.533899307251,0.00729200011119246,18.5757007598877,0.0256489999592304,18.4862003326416,0.0113679999485612,19.9974994659424,0.0741899982094765,20.0580997467041,0.120950996875763,19.9207000732422,0.17127700150013,44,13,12,9,2,2,2,115000,0.0114566003903747,0.0327331982553005,18.4461994171143,0.0282080005854368,18.7001991271973,0.0609109997749329,18.5161991119385,0.0972239971160889,18.2154006958008,0.131865993142128,18.2684993743896,0.215802997350693,18.7700996398926,0.538859009742737,30,10,10,7,3,3,3,115000,-0.0900864005088806,-0.0641710981726646,0.17102124,0.23232698,STAR,0.0029374778,0.9930687,0.003993936,0,1.75621211533476,4799,-999,-999,-999,-999,-999,-999
isha,71.411,70.3073888889,192170710905029390,71.09035016,0.285360008478165,70.14878773,0.522560000419617,140.378568191386,15.6505469163867,0.000111151885498345,0.73002620083526,104451497516.126,711169601241034424,17006553591717,71.0904203,70.1488963,0.59560001,0.63770002,-0.1574,0000,0,BBBB,0,16.59,0.117,0.81559998,0,16.739,0.46900001,1,17.284,0.43799999,1,15.941,-999,32,15.788,0.40799999,1,16.42,0.31600001,0.85659999,0,16.153,0.47299999,1,16.93,0.51700002,1,15.978,0.484,1,14.749,0.25799999,1,12.058,0.26100001,1.01800001,0,11.834,-999,32,13.076,-999,32,12.239,-999,32,11.796,-999,32,8.6289997,0.28799999,0.98360002,0,7.875,-999,32,8.9809999,-999,32,7.927,-999,32,7.6880002,-999,32,23.577600479126,0.174285992980003,24.1016998291016,2.46122002601624,-999,-999,-999,-999,-999,-999,-999,-999,36,3,3,2,0,0,0,16416,-999,-999,22.3871002197266,0.174917995929718,22.5860004425049,0.381251990795136,23.3654003143311,0.545165002346039,21.3162002563477,0.297390013933182,21.5851993560791,0.640429019927979,20.5407009124756,0.409983992576599,32,4,4,4,2,2,2,16416,-1.18147003650665,2.08696007728577,21.5725002288818,0.0960749983787537,21.260799407959,0.180142998695374,21.4216995239258,0.158490002155304,21.1303997039795,0.441572993993759,20.2929000854492,0.319595009088516,19.8969993591309,0.353496998548508,53,8,8,7,1,1,1,16892216,-0.0251256003975868,-0.0623116008937359,21.1488990783691,0.0901769995689392,20.761100769043,0.176747992634773,20.6732006072998,0.085206001996994,-999,-999,-999,-999,-999,-999,44,8,8,6,0,0,0,115768,-999,-999,20.3390007019043,0.233393996953964,20.1294002532959,0.107547000050545,19.9566993713379,0.198924005031586,20.1581001281738,0.419308990240097,20.8071994781494,1.19365000724792,22.3341007232666,7.8020601272583,30,7,7,7,3,3,3,114720,0.047274399548769,0.293146014213562,0.17102124,0.23232698,GALAXY,0.98767287,0.0001879916,0.012139127,1,15.3544694323768,1950,0.591103106737137,0.0902562920837563,0.5900236,1,16.8415290628227,883
