sightline,center_ra_deg,center_dec_deg,objID,raMean,raMeanErr,decMean,decMeanErr,l,b,distance_Deg,sqrErr_Arcsec,BayesFactor,cntr,HtmID,ra,dec,sigra,sigdec,sigradec,cc_flags,ext_flg,ph_qual,moon_lev,w1mpro,w1sigmpro,w1rchi2,w1sat,w1mag,w1sigm,w1flg,w1mag_1,w1sigm_1,w1flg_1,w1mag_4,w1sigm_4,w1flg_4,w1mag_7,w1sigm_7,w1flg_7,w2mpro,w2sigmpro,w2rchi2,w2sat,w2mag,w2sigm,w2flg,w2mag_1,w2sigm_1,w2flg_1,w2mag_4,w2sigm_4,w2flg_4,w2mag_7,w2sigm_7,w2flg_7,w3mpro,w3sigmpro,w3rchi2,w3sat,w3mag,w3sigm,w3flg,w3mag_1,w3sigm_1,w3flg_1,w3mag_4,w3sigm_4,w3flg_4,w3mag_7,w3sigm_7,w3flg_7,w4mpro,w4sigmpro,w4rchi2,w4sat,w4mag,w4sigm,w4flg,w4mag_1,w4sigm_1,w4flg_1,w4mag_4,w4sigm_4,w4flg_4,w4mag_7,w4sigm_7,w4flg_7,gFPSFMag,gFPSFMagErr,gFKronMag,gFKronMagErr,gFApMag,gFApMagErr,gFmeanMagR5,gFmeanMagR5Err,gFmeanMagR6,gFmeanMagR6Err,gFmeanMagR7,gFmeanMagR7Err,gnTotal,gnIncPSFFlux,gnIncKronFlux,gnIncApFlux,gnIncR5,gnIncR6,gnIncR7,gFlags,gE1,gE2,rFPSFMag,rFPSFMagErr,rFKronMag,rFKronMagErr,rFApMag,rFApMagErr,rFmeanMagR5,rFmeanMagR5Err,rFmeanMagR6,rFmeanMagR6Err,rFmeanMagR7,rFmeanMagR7Err,rnTotal,rnIncPSFFlux,rnIncKronFlux,rnIncApFlux,rnIncR5,rnIncR6,rnIncR7,rFlags,rE1,rE2,iFPSFMag,iFPSFMagErr,iFKronMag,iFKronMagErr,iFApMag,iFApMagErr,iFmeanMagR5,iFmeanMagR5Err,iFmeanMagR6,iFmeanMagR6Err,iFmeanMagR7,iFmeanMagR7Err,inTotal,inIncPSFFlux,inIncKronFlux,inIncApFlux,inIncR5,inIncR6,inIncR7,iFlags,iE1,iE2,zFPSFMag,zFPSFMagErr,zFKronMag,zFKronMagErr,zFApMag,zFApMagErr,zFmeanMagR5,zFmeanMagR5Err,zFmeanMagR6,zFmeanMagR6Err,zFmeanMagR7,zFmeanMagR7Err,znTotal,znIncPSFFlux,znIncKronFlux,znIncApFlux,znIncR5,znIncR6,znIncR7,zFlags,zE1,zE2,yFPSFMag,yFPSFMagErr,yFKronMag,yFKronMagErr,yFApMag,yFApMagErr,yFmeanMagR5,yFmeanMagR5Err,yFmeanMagR6,yFmeanMagR6Err,yFmeanMagR7,yFmeanMagR7Err,ynTotal,ynIncPSFFlux,ynIncKronFlux,ynIncApFlux,ynIncR5,ynIncR6,ynIncR7,yFlags,yE1,yE2,EBV_Planck,EBV_PS1,class,prob_Galaxy,prob_Star,prob_QSO,extrapolation_Class,cellDistance_Class,cellID_Class,z_phot,z_photErr,z_phot0,extrapolation_Photoz,cellDistance_Photoz,cellID_Photoz
phineas,177.7813333333,71.6956388889,193771769907559655,176.99068791,0.0782499983906746,71.48239759,0.0333600006997585,129.958088138618,44.7698281060955,5.99364707741633E-05,0.00823626124905761,611896979175.881,1755171101241034704,15704202481823,176.9907871,71.4823466,0.074600004,0.077100001,-0.017100001,0000,0,AABU,0,11.528,0.022,2.26699996,0,11.545,0.0060000001,0,12.188,0.0060000001,0,11.621,0.0060000001,1,11.576,0.0070000002,1,11.586,0.021,1.21200001,0,11.592,0.0089999996,0,12.356,0.0099999998,0,11.679,0.011,1,11.624,0.015,1,11.731,0.145,0.90210003,0,11.855,0.32699999,0,13.226,0.384,0,12.311,0.37400001,1,11.645,-999,32,9.2159996,-999,1.01499999,0,8.2959995,-999,32,9.4809999,-999,32,8.8719997,0.51800001,1,8.2419996,0.54100001,17,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,0,0,0,114788,-999,-999,-999,-999,13.5607995986938,0.0039169997908175,-999,-999,-999,-999,-999,-999,-999,-999,14,0,5,0,0,0,0,16484,-999,-999,-999,-999,13.7978000640869,0.0523670017719269,-999,-999,-999,-999,-999,-999,-999,-999,24,0,8,0,0,0,0,16484,-999,-999,12.0187997817993,0.00108600000385195,12.0097999572754,0.00108600000385195,12.0013999938965,0.00108600000385195,-999,-999,-999,-999,-999,-999,22,1,1,1,0,0,0,114788,-999,-999,12.089599609375,0.00136800005566329,12.1497001647949,0.00278099998831749,12.0795001983643,0.0018870000494644,12.2089004516602,0.00111499999184161,12.1225004196167,0.00119199999608099,12.069299697876,0.00140499998815358,16,6,7,9,10,10,10,115064,-0.0042184698395431,0.00399644998833537,0.020466903,0.045117695,STAR,0.06540751,0.8549517,0.0796408,1,27.7767869067364,8,-999,-999,-999,-999,-999,-999
phineas,177.7813333333,71.6956388889,193771770637219570,177.06378419,0.0742100030183792,71.48234168,0.0742100030183792,129.927385146003,44.7778210257671,0.000119828415260621,0.472960706107024,147780335290.081,1755171101241035354,15704202043165,177.0638168,71.4822223,0.62739998,0.65359998,0.1956,0000,0,AUUU,0,16.944,0.105,0.78969997,0,16.591999,0.17299999,1,17.361,0.198,1,16.174999,0.149,1,15.366,0.121,1,17.035999,-999,0.95889998,0,16.215,-999,32,16.958,-999,32,16.271999,0.354,1,15.055,0.191,1,12.469,-999,1.10899997,0,12.72,0.53899997,1,13.288,-999,32,12.867,0.456,1,11.849,-999,32,8.927,-999,1.06099999,0.0049999999,8.6269999,-999,32,9.757,-999,32,8.4309998,-999,32,7.5669999,-999,32,23.1793994903564,0.196867004036903,22.8477001190186,0.215276002883911,22.2164993286133,0.268077999353409,22.4491004943848,0.65406197309494,22.6578006744385,1.22414994239807,-999,-999,18,7,7,7,7,7,7,114720,-0.329768985509872,-0.243669003248215,22.2374992370605,0.1718740016222,22.625,0.16975300014019,22.1725006103516,0.22868900001049,22.3020992279053,0.834288001060486,22.7577991485596,1.9464099407196,-999,-999,14,8,8,7,8,8,8,115000,0.257510989904404,-0.191701993346214,21.7098999023438,0.0877799987792969,21.7152004241943,0.170322000980377,21.5520000457764,0.184376001358032,21.8481998443604,0.690340995788574,24.6870002746582,14.6169996261597,-999,-999,24,16,16,16,16,16,16,115000,0.128573998808861,-0.207259997725487,21.3675994873047,0.101760998368263,21.2992000579834,0.186177000403404,21.3048992156982,0.203154996037483,21.3230991363525,0.902942001819611,21.0506000518799,1.10299003124237,21.6581993103027,3.088210105896,22,13,13,12,13,13,13,115000,-0.0344377011060715,0.0398236997425556,20.9095993041992,0.236541002988815,20.9979000091553,0.23411600291729,21.112699508667,0.645021021366119,21.914400100708,3.00505995750427,-999,-999,-999,-999,16,8,8,8,8,8,8,114720,-0.248162999749184,0.657290995121002,0.020275349,0.053999573,GALAXY,0.9674509,0.00030667798,0.032242473,1,5.13459075563033,1064,0.72203141450882,0.112430589666064,0.7424663,1,8.48860400847425,435
phineas,177.7813333333,71.6956388889,193771771027738111,177.10273574,0.00677999993786216,71.48111321,0.00786000024527311,129.911590103154,44.7831932207636,3.28179006095612E-05,0.0128048180435932,3853024896575.61,1755171101241034745,15704201934392,177.1027777,71.4811432,0.1032,0.108,0.0119,hh00,0,AAUU,0,13.751,0.025,0.99150002,0,13.462,0.0099999998,0,14.21,0.011,0,13.069,0.0089999996,1,10.816,0.0060000001,1,13.828,0.035,1.03900003,0,13.517,0.026000001,0,14.401,0.032000002,0,12.98,0.018999999,1,10.587,0.0070000002,1,12.516,-999,1.005,0,12.115,-999,32,13.413,-999,32,12.592,0.33899999,1,10.513,0.079000004,1,9.5,-999,1.10699999,0,8.9530001,-999,32,9.9659996,-999,32,8.8950005,-999,32,8.1859999,-999,32,15.7642002105713,0.00535900006070733,15.7962999343872,0.00542300008237362,15.7468996047974,0.00321400002576411,15.8284997940063,0.00295899994671345,15.7733001708984,0.00321900006383657,15.749400138855,0.0039079999551177,36,8,9,9,10,10,10,115000,-0.0114876003935933,0.00421214010566473,15.3298997879028,0.00273699988611043,15.3737001419067,0.00279100006446242,15.3149003982544,0.00145900005009025,15.379599571228,0.00243299989961088,15.3390998840332,0.00286399992182851,15.3247995376587,0.00377300009131432,26,6,7,7,9,9,9,115000,-0.0256508998572826,-0.0204435996711254,15.1756000518799,0.00146599998697639,15.2276000976563,0.00375099992379546,15.1754999160767,0.00283999997191131,15.2372999191284,0.00233400007709861,15.190899848938,0.00282899988815188,15.1714000701904,0.00384699995629489,50,6,7,6,9,9,9,115000,-0.0311072003096342,-0.0343701988458633,15.1295003890991,0.00356499990448356,15.2009000778198,0.00243999995291233,15.1305999755859,0.00254300003871322,15.194899559021,0.00393899995833635,15.1450996398926,0.00514800008386374,15.1232004165649,0.00745500018820167,40,9,9,10,13,13,13,115000,-0.00280195008963346,-0.0212357994168997,15.1125001907349,0.00411200011149049,15.1499996185303,0.00479000015184283,15.0938997268677,0.00197699991986156,15.2033996582031,0.00782600045204163,15.1211004257202,0.0105330003425479,15.0728998184204,0.015451000072062,34,15,15,14,16,16,16,115000,-0.0113608995452523,-0.00596245005726814,0.020275349,0.053999573,STAR,8.455879E-05,0.99988234,3.308639E-05,0,4.01671604499455,10868,-999,-999,-999,-999,-999,-999
phineas,177.7813333333,71.6956388889,193771773878529514,177.3877788,0.0169600006192923,71.48228125,0.0197199992835522,129.790941991152,44.8126558086914,2.85824991406781E-05,0.0877329450581068,913086199539.813,1755171101241035000,15704189849238,177.3877404,71.4822554,0.27590001,0.28220001,0.0854,0000,0,ABCU,0,15.931,0.050999999,0.72960001,0,15.6,0.061999999,1,16.355,0.07,0,15.335,0.061000001,1,14.66,0.054000001,1,15.723,0.116,0.82950002,0,15.442,0.13500001,1,16.291,0.15899999,0,15.242,0.133,1,14.7,0.134,1,13.123,0.51999998,1.01300001,0,12.194,-999,32,13.44,-999,32,12.617,-999,32,12.223,-999,32,8.849,-999,1.01499999,0,8.4189997,-999,32,9.4989996,-999,32,8.4029999,-999,32,7.5609999,-999,32,21.8218002319336,0.249786004424095,21.4340000152588,0.349106997251511,21.5331001281738,0.152253001928329,21.5090999603271,0.274758994579315,20.8432998657227,0.232968002557755,20.5025997161865,0.268312990665436,18,6,5,4,6,6,6,16892216,0.130511999130249,0.149187996983528,20.5939998626709,0.049966000020504,20.0835990905762,0.0925420001149178,20.1392002105713,0.0595650002360344,20.1371002197266,0.128518000245094,19.864200592041,0.155325993895531,19.7175006866455,0.214870005846024,12,7,7,7,7,7,7,16892216,0.0249725002795458,0.0205655992031097,20.1200008392334,0.0263139996677637,19.5233001708984,0.0406000018119812,19.6453990936279,0.0202050004154444,19.7148990631104,0.121870003640652,19.5244998931885,0.153781995177269,19.4291000366211,0.209031000733376,26,18,18,18,18,18,18,16892216,0.0121542997658253,0.0539250001311302,19.8684997558594,0.0330730006098747,19.3539009094238,0.0452480018138886,19.3904991149902,0.0348800010979176,19.3999004364014,0.150515004992485,19.3125,0.216746002435684,19.2362003326416,0.321823000907898,18,10,10,9,10,10,10,16892216,0.0343823991715908,0.0251256003975868,19.6112995147705,0.0645620003342628,19.0328006744385,0.0589869990944862,19.0851001739502,0.0866789966821671,19.1615009307861,0.229744002223015,18.6917991638184,0.233373999595642,18.3736000061035,0.278261989355087,18,12,11,11,12,12,12,16892216,-0.030460599809885,0.0407764986157417,0.020584967,0.053999573,GALAXY,0.9938397,0.00021794968,0.005942351,0,1.20399254142277,2517,0.377134397625923,0.0316113122329029,0.36186162,0,1.34096467612775,3548
phineas,177.7813333333,71.6956388889,193771775913777816,177.59142496,0.0175000000745058,71.48091648,0.016550000756979,129.70558146286,44.8354541180677,0.000168780657421395,0.614723138782262,102514768260.466,1755171101241035533,15704188658055,177.5910509,71.4807966,0.72970003,0.74879998,0.23720001,0000,0,BUUU,0,17.174,0.119,0.78549999,0,17.183001,0.264,1,17.73,0.245,0,17.507999,0.44600001,1,16.594999,-999,32,17.052999,-999,1.028,0,16.663,-999,32,17.349001,-999,32,16.476999,-999,32,15.928,-999,32,13.248,-999,1.04900002,0,12.488,-999,32,13.877,-999,32,12.407,-999,32,12.024,0.315,1,9.0380001,-999,0.90939999,0,8.4659996,-999,32,9.5410004,-999,32,8.243,-999,32,8.0670004,0.435,17,22.395299911499,0.100478999316692,22.3092002868652,0.252869009971619,22.3929996490479,0.28498899936676,22.2576999664307,0.515794992446899,22.3540992736816,0.874202013015747,22.0736999511719,1.06985998153687,18,10,10,9,10,10,10,115000,0.0790397003293037,0.0456140004098415,21.0632991790771,0.0564740002155304,21.2036991119385,0.0662529990077019,21.0445003509521,0.0741780027747154,21.1567001342773,0.314833998680115,21.0946006774902,0.466338992118835,21.2947998046875,0.88798201084137,12,10,10,10,10,10,10,115000,-0.0804859027266502,-0.0330296009778976,19.9521007537842,0.0242650005966425,20.0412006378174,0.0365540012717247,19.9260997772217,0.0383119992911816,20.1558990478516,0.188661992549896,20.0340995788574,0.263687998056412,20.3850994110107,0.57498699426651,26,14,14,13,14,14,14,115000,0.00967406015843153,-0.0759041979908943,19.4557991027832,0.0230870004743338,19.4941005706787,0.0408249981701374,19.408899307251,0.0392760001122952,19.4727001190186,0.13476100564003,19.5020999908447,0.215717002749443,19.5942993164063,0.374303013086319,18,12,12,12,12,12,12,115000,0,0.0228713005781174,19.1625003814697,0.0505569986999035,19.3059997558594,0.0599519982933998,19.1061992645264,0.0541340000927448,19.2199993133545,0.255212992429733,19.327600479126,0.438239008188248,19.8213005065918,1.09386003017426,18,12,12,10,12,12,12,115000,0.0901670977473259,-0.0146164996549487,0.019178044,0.053999573,STAR,0.0041553183,0.995518,0.00032670365,0,2.42409863714153,5092,-999,-999,-999,-999,-999,-999
phineas,177.7813333333,71.6956388889,193771776447777715,177.64460546,0.0120400004088879,71.48078181,0.014750000089407,129.683157376663,44.8411545075766,9.36952760075082E-06,0.169084346907654,501551714599.27,1755171101241035165,15704188373007,177.644632,71.4807859,0.391,0.3917,0.121,0000,0,ABUU,0,16.434,0.067000002,0.89179999,0,15.988,0.123,1,16.834,0.152,1,15.456,0.094999999,1,13.968,0.041000001,1,16.6,0.237,0.96789998,0,15.892,0.221,1,16.893,0.296,1,15.226,0.14300001,1,13.767,0.061999999,1,12.712,-999,0.95609999,0,12.21,-999,32,13.513,-999,32,12.304,-999,32,11.806,-999,32,9.0290003,-999,1.01199996,0,9.0200005,-999,32,9.8339996,-999,32,8.8669996,-999,32,8.1529999,-999,32,20.9272003173828,0.0443329997360706,20.6648998260498,0.0593580007553101,20.5202007293701,0.0351460017263889,20.6551990509033,0.110301002860069,20.5715007781982,0.156567007303238,20.4846000671387,0.227107003331184,18,10,10,8,10,10,10,16892216,-0.0210100002586842,-0.0553135983645916,20.2800006866455,0.0406740009784698,20.0060005187988,0.0275449994951487,19.9171009063721,0.0222330000251532,19.9680995941162,0.0959350019693375,19.9330005645752,0.143368005752563,20.2299995422363,0.297282993793488,12,8,7,8,8,8,8,16892216,-0.0614781007170677,-0.0562459006905556,19.8146991729736,0.0365820005536079,19.523099899292,0.0271879993379116,19.4687004089355,0.0188769996166229,19.6418991088867,0.116350002586842,19.7747001647949,0.205441996455193,20.0429000854492,0.417474001646042,26,13,14,12,14,14,14,16892216,-0.0749270990490913,-0.0705195963382721,19.6261005401611,0.0430260002613068,19.2735996246338,0.03201499953866,19.1783008575439,0.0222759991884232,19.3264999389648,0.11310700327158,19.2735004425049,0.168188005685806,19.3234004974365,0.281740993261337,18,9,9,7,9,9,9,16892216,-0.0896492972970009,-0.0752262026071548,19.4463996887207,0.063621997833252,19.1865005493164,0.128459006547928,18.9608001708984,0.0861639976501465,19.2886009216309,0.279202997684479,19.2266006469727,0.410533010959625,19.0709991455078,0.565753996372223,18,12,12,12,12,12,12,115000,0.00148641003761441,-0.102860003709793,0.019178044,0.053999573,GALAXY,0.9925795,0.006024302,0.0013962477,0,2.45271944886976,1554,0.172225549817085,0.0207770343035227,0.17525832,0,2.73905838618031,1315
phineas,177.7813333333,71.6956388889,193771776518417724,177.65175432,0.089149996638298,71.4808199,0.089149996638298,129.680116005712,44.8418663313521,0.000211011290023609,0.303997816352099,108347065396.231,1755171101241035288,15704188343814,177.6524029,71.4808656,0.50959998,0.5187,0.1679,0000,0,ACUU,0,16.753,0.086000003,0.89060003,0,16.055,0.133,1,16.955999,0.171,1,15.338,0.086999997,1,14.175,0.050000001,1,17.077999,0.37099999,0.98000002,0,16.215,0.347,1,17.306,0.50099999,1,15.314,0.182,1,14.023,0.092,1,12.976,-999,0.9436,0,12.371,-999,32,13.622,-999,32,12.679,-999,32,12.103,-999,32,9.0270004,-999,0.95139998,0,8.7060003,-999,32,9.684,-999,32,8.7379999,-999,32,11.17,-999,32,23.0004005432129,0.495550006628037,21.8868007659912,0.289810985326767,21.8276996612549,0.0206489991396666,22.2441005706787,0.481047987937927,21.8568000793457,0.526773989200592,21.1742992401123,0.447896003723145,18,4,4,3,4,4,4,16416,0.456445008516312,0.120043002068996,22.5825996398926,0.145137995481491,22.2660007476807,0.257676005363464,22.3668994903564,0.264768987894058,22.5116996765137,0.904338002204895,22.6422996520996,1.58226001262665,21.5419998168945,0.926167011260986,12,8,8,8,8,8,8,114720,0.0750351026654243,0.122019998729229,21.6753005981445,0.102692000567913,21.3871002197266,0.152792006731033,21.4722003936768,0.191962003707886,21.448600769043,0.46552100777626,22.2467002868652,1.51803994178772,24.17919921875,14.1606998443604,26,10,10,9,10,10,10,115000,-0.0395299009978771,-0.0451388992369175,21.4139003753662,0.131096005439758,21.230899810791,0.217674002051353,21.0307006835938,0.20576000213623,21.9773998260498,1.4538300037384,-999,-999,-999,-999,18,12,11,10,12,12,12,115000,-0.131821006536484,-0.058076698333025,20.5659008026123,0.129409000277519,21.0506000518799,0.346132010221481,20.7129001617432,0.238830000162125,20.8211002349854,1.16431999206543,21.141300201416,2.39274001121521,21.076000213623,3.53147006034851,18,13,13,13,13,13,13,114720,0.263574004173279,0.309266000986099,0.019178044,0.053999573,GALAXY,0.98287094,0.00031445568,0.016814603,1,7.62986934642514,2250,0.798016935586929,0.114785009253258,0.7608649,1,9.57253774436276,1033
phineas,177.7813333333,71.6956388889,193771778705727760,177.87054636,0.00870000012218952,71.48080726,0.00773000018671155,129.587483803157,44.8646030738728,0.000318049044642242,0.0765986630207638,213415510.687625,1800171101241026598,15704227219343,177.8706083,71.4811247,0.26030001,0.264,0.076399997,0000,0,ABUU,0,15.794,0.046999998,0.85399997,0,15.624,0.07,0,16.285999,0.072999999,0,15.449,0.075000003,1,13.814,0.028000001,1,15.952,0.149,1.00999999,0,15.739,0.29800001,0,16.468,0.31099999,0,15.717,0.347,1,14.022,0.121,1,12.866,-999,0.91479999,0,12.336,-999,32,14.67,-999,32,12.65,-999,32,12.102,-999,32,9.3149996,-999,1.02600002,0,8.6099997,-999,32,9.677,-999,32,8.4639997,-999,32,7.7160001,-999,32,21.2823009490967,0.0460489988327026,21.2374000549316,0.1049600020051,21.3743000030518,0.139208003878593,21.2849006652832,0.197114005684853,21.1546001434326,0.26782101392746,21.3134002685547,0.489574998617172,18,13,13,11,13,13,13,115000,-0.102053001523018,-0.0463944002985954,20.089599609375,0.0171360000967979,20.2205009460449,0.0390940010547638,20.1686992645264,0.0200360007584095,20.1574001312256,0.125443994998932,20.0942993164063,0.185102999210358,20.1375999450684,0.307801008224487,12,10,10,9,10,10,10,115000,-0.0747013986110687,-0.034943800419569,18.9524002075195,0.0115440003573895,19.0398998260498,0.0179910007864237,19.025899887085,0.0137970000505447,19.136100769043,0.0720499977469444,19.0207004547119,0.100331999361515,19.1254997253418,0.173958003520966,26,16,15,15,16,16,16,115000,-0.104765996336937,0.104964002966881,18.4433002471924,0.00728200003504753,18.5408992767334,0.0185049995779991,18.4876003265381,0.0126710003241897,18.4979991912842,0.0683230012655258,18.511999130249,0.107027001678944,18.6348991394043,0.191993996500969,18,13,13,12,13,13,13,115000,-0.0477887988090515,-0.00226793996989727,18.2019004821777,0.0125609999522567,18.3012008666992,0.0482459999620914,18.1721000671387,0.0310469996184111,18.3103008270264,0.108728997409344,18.2248001098633,0.155904993414879,18.0706996917725,0.215231001377106,18,11,11,10,11,11,11,115000,-0.00877101998776197,0.0138272996991873,0.021423427,0.12667654,STAR,0.00030529418,0.99966323,3.1421914E-05,0,2.39663630176688,7636,-999,-999,-999,-999,-999,-999
phineas,177.7813333333,71.6956388889,193771779985809056,177.9983803,0.00100000004749745,71.4818562,0.00100000004749745,129.532794039314,44.8767426664016,0.000270306983599207,0.250366105442095,51287479974.9559,1800171101241026772,15704227805699,177.9984136,71.4821263,0.4698,0.47760001,0.1388,0000,0,ABBU,0,16.68,0.082000002,0.89850003,0,16.125999,0.15700001,1,16.938999,0.18799999,1,15.8,0.147,1,15.208,0.141,1,16.334,0.193,1.01199996,0,15.579,0.163,1,16.576,0.21799999,1,15.177,0.13600001,1,14.566,0.12899999,1,12.736,0.34400001,0.90390003,0,12.48,-999,32,13.532,-999,32,13.03,-999,32,12.483,-999,32,9.4829998,-999,0.96350002,0,8.9429998,-999,32,9.9560003,-999,32,8.8839998,-999,32,11.456,-999,32,23.6765003204346,0.380389988422394,-999,-999,22.6091003417969,0.237322002649307,23.6445999145508,1.92789995670319,-999,-999,-999,-999,18,7,7,5,7,7,7,16416,0.429421991109848,0.682313978672028,23.663200378418,0.497898012399673,-999,-999,24.7224006652832,2.64719009399414,25.1602993011475,11.1056995391846,24.0734996795654,6.35063982009888,-999,-999,12,5,5,4,5,5,5,16416,0.0700327977538109,0.222357004880905,22.6513004302979,0.270862996578217,23.7304992675781,1.31149005889893,23.0601005554199,0.659062027931213,24.5261001586914,9.2183198928833,23.7346000671387,6.79226016998291,-999,-999,26,8,8,8,8,8,8,16416,0.542415022850037,0.233404994010925,21.6893997192383,0.142189994454384,21.6695995330811,0.355895012617111,21.4846992492676,0.282081007957459,21.6725006103516,1.05150997638702,21.8348999023438,1.91817998886108,-999,-999,18,11,11,11,11,11,11,114720,-0.0856112018227577,0.295545995235443,20.6996002197266,0.0829479992389679,21.0839004516602,0.302855998277664,20.8647003173828,0.267188996076584,20.6296997070313,0.900608003139496,20.6336994171143,1.41364002227783,20.8917999267578,2.87406992912292,18,9,9,9,9,9,9,114720,0.441630005836487,0.298494011163712,0.022368181,0.12667654,GALAXY,0.94317365,0.014535062,0.042291336,1,16.7040869916777,764,0.947318315505981,0.905319280683113,0.98007864,1,16.5442420773536,1185
phineas,177.7813333333,71.6956388889,193771780369408340,178.03692799,0.00614000018686056,71.48130989,0.00761999981477857,129.516682756785,44.8811988082072,7.5366149347854E-06,0.0104789905962032,7839827429458.97,1800171101241026322,15704228125674,178.0369511,71.4813116,0.093999997,0.097599998,0.0026,0000,0,AAUU,0,13.37,0.025,1.35500002,0,13.363,0.013,0,14.001,0.013,0,13.427,0.016000001,0,13.402,0.024,1,13.388,0.028999999,1.02999997,0,13.376,0.02,0,14.147,0.023,0,13.432,0.024,0,13.307,0.035,1,12.546,-999,0.95300001,0,11.95,-999,32,13.272,-999,32,12.26,-999,32,12.282,-999,32,9.6470003,-999,0.91149998,0,9.0010004,-999,32,10.007,-999,32,8.96,-999,32,8.276,-999,32,15.8470001220703,0.00338099990040064,15.9047002792358,0.0025919999461621,15.8570003509521,0.00222099991515279,15.9309997558594,0.00325000006705523,15.8805999755859,0.00359799992293119,15.8613004684448,0.00448099989444017,18,12,12,11,14,14,14,115000,-0.0299373995512724,0.00407209014520049,15.3080997467041,0.00399699993431568,15.3676996231079,0.00401399983093143,15.3145999908447,0.00303200003691018,15.3617000579834,0.0024830000475049,15.3086996078491,0.00292599992826581,15.2908000946045,0.00393099989742041,12,5,5,6,7,7,7,115000,0.00322711002081633,-0.0108914999291301,15.085599899292,0.00268999999389052,15.145899772644,0.00429400010034442,15.0721998214722,0.00480000022798777,15.2108001708984,0.00245300005190074,15.1552000045776,0.00301499990746379,15.1368999481201,0.00419799983501434,26,10,9,12,14,14,14,115000,0.0242650005966425,-0.00662526022642851,14.9812002182007,0.00328899989835918,15.0413999557495,0.00203200010582805,14.9875001907349,0.00214700005017221,15.0537004470825,0.00357599998824298,14.9980001449585,0.00468399981036782,14.9682998657227,0.00682900007814169,18,9,9,12,12,12,12,115000,-0.0372520983219147,-0.0299951992928982,14.9216995239258,0.00284600001759827,15.0082998275757,0.00514200003817678,14.930100440979,0.00404200004413724,15.0931997299194,0.00678500020876527,15.0116996765137,0.00900700036436319,14.9638004302979,0.0130580002442002,18,11,11,12,14,14,14,115000,-0.0235783997923136,0.00208044005557895,0.022368181,0.12667654,STAR,0.0013861869,0.99859065,2.314359E-05,0,1.56773953283728,11021,-999,-999,-999,-999,-999,-999
