sightline,center_ra_deg,center_dec_deg,objID,raMean,raMeanErr,decMean,decMeanErr,l,b,distance_Deg,sqrErr_Arcsec,BayesFactor,cntr,HtmID,ra,dec,sigra,sigdec,sigradec,cc_flags,ext_flg,ph_qual,moon_lev,w1mpro,w1sigmpro,w1rchi2,w1sat,w1mag,w1sigm,w1flg,w1mag_1,w1sigm_1,w1flg_1,w1mag_4,w1sigm_4,w1flg_4,w1mag_7,w1sigm_7,w1flg_7,w2mpro,w2sigmpro,w2rchi2,w2sat,w2mag,w2sigm,w2flg,w2mag_1,w2sigm_1,w2flg_1,w2mag_4,w2sigm_4,w2flg_4,w2mag_7,w2sigm_7,w2flg_7,w3mpro,w3sigmpro,w3rchi2,w3sat,w3mag,w3sigm,w3flg,w3mag_1,w3sigm_1,w3flg_1,w3mag_4,w3sigm_4,w3flg_4,w3mag_7,w3sigm_7,w3flg_7,w4mpro,w4sigmpro,w4rchi2,w4sat,w4mag,w4sigm,w4flg,w4mag_1,w4sigm_1,w4flg_1,w4mag_4,w4sigm_4,w4flg_4,w4mag_7,w4sigm_7,w4flg_7,gFPSFMag,gFPSFMagErr,gFKronMag,gFKronMagErr,gFApMag,gFApMagErr,gFmeanMagR5,gFmeanMagR5Err,gFmeanMagR6,gFmeanMagR6Err,gFmeanMagR7,gFmeanMagR7Err,gnTotal,gnIncPSFFlux,gnIncKronFlux,gnIncApFlux,gnIncR5,gnIncR6,gnIncR7,gFlags,gE1,gE2,rFPSFMag,rFPSFMagErr,rFKronMag,rFKronMagErr,rFApMag,rFApMagErr,rFmeanMagR5,rFmeanMagR5Err,rFmeanMagR6,rFmeanMagR6Err,rFmeanMagR7,rFmeanMagR7Err,rnTotal,rnIncPSFFlux,rnIncKronFlux,rnIncApFlux,rnIncR5,rnIncR6,rnIncR7,rFlags,rE1,rE2,iFPSFMag,iFPSFMagErr,iFKronMag,iFKronMagErr,iFApMag,iFApMagErr,iFmeanMagR5,iFmeanMagR5Err,iFmeanMagR6,iFmeanMagR6Err,iFmeanMagR7,iFmeanMagR7Err,inTotal,inIncPSFFlux,inIncKronFlux,inIncApFlux,inIncR5,inIncR6,inIncR7,iFlags,iE1,iE2,zFPSFMag,zFPSFMagErr,zFKronMag,zFKronMagErr,zFApMag,zFApMagErr,zFmeanMagR5,zFmeanMagR5Err,zFmeanMagR6,zFmeanMagR6Err,zFmeanMagR7,zFmeanMagR7Err,znTotal,znIncPSFFlux,znIncKronFlux,znIncApFlux,znIncR5,znIncR6,znIncR7,zFlags,zE1,zE2,yFPSFMag,yFPSFMagErr,yFKronMag,yFKronMagErr,yFApMag,yFApMagErr,yFmeanMagR5,yFmeanMagR5Err,yFmeanMagR6,yFmeanMagR6Err,yFmeanMagR7,yFmeanMagR7Err,ynTotal,ynIncPSFFlux,ynIncKronFlux,ynIncApFlux,ynIncR5,ynIncR6,ynIncR7,yFlags,yE1,yE2,EBV_Planck,EBV_PS1,class,prob_Galaxy,prob_Star,prob_QSO,extrapolation_Class,cellDistance_Class,cellID_Class,z_phot,z_photErr,z_phot0,extrapolation_Photoz,cellDistance_Photoz,cellID_Photoz
whitney,134.7205,73.4908333333,195931338848379593,133.88445992,0.0267999991774559,73.28241052,0.033160001039505,140.369949900302,34.656933224195,5.71502277126579E-05,0.107019191836634,652424677086.562,1362172601241039165,15925765504587,133.8845177,73.2824652,0.28850001,0.31459999,0.079599999,0000,0,ABCU,0,15.714,0.054000001,1.00699997,0,15.499,0.111,0,16.186001,0.119,0,15.506,0.142,0,14.958,0.142,1,15.66,0.13600001,0.91030002,0,15.713,0.32499999,0,16.424999,0.336,0,15.321,-999,32,14.853,-999,32,12.891,0.54000002,0.88050002,0,12.292,0.48100001,0,12.975,-999,32,12.511,0.44499999,0,11.757,-999,32,9.0209999,-999,1.01800001,0,8.5889997,-999,32,9.6009998,-999,32,8.5229998,-999,32,7.8099999,-999,32,22.9321994781494,0.179280996322632,22.8225994110107,0.226328998804092,22.6303997039795,0.276679992675781,22.7660007476807,0.796694993972778,22.3386993408203,0.840546011924744,23.8195991516113,5.23495006561279,15,11,11,10,11,11,11,118840,0.0818687975406647,0.141001999378204,21.4986991882324,0.0732659995555878,21.2453002929688,0.121463999152184,21.2710990905762,0.165619999170303,21.2264995574951,0.262219995260239,20.9754009246826,0.316978007555008,20.9470996856689,0.468796014785767,12,7,7,7,7,7,7,115000,-0.0929327979683876,0.0402306988835335,20.2581005096436,0.020856000483036,19.9076995849609,0.0390649996697903,19.8034992218018,0.0200539994984865,19.9899997711182,0.16873000562191,19.9001998901367,0.242811992764473,19.9183006286621,0.388496994972229,33,14,15,13,15,15,15,16892216,-0.00461828988045454,0.103298999369144,20.0837993621826,0.0597810000181198,19.5848007202148,0.0595920011401176,19.5515995025635,0.0342070013284683,19.5034999847412,0.140374004840851,19.3889999389648,0.196904003620148,19.1863994598389,0.260659009218216,13,11,11,10,11,11,11,16892216,-0.000815660983789712,0.118066996335983,19.6791000366211,0.09808199852705,19.4181995391846,0.255531996488571,19.5825004577637,0.1528480052948,19.1972007751465,0.327854007482529,18.9838008880615,0.419524013996124,18.8351001739502,0.5779749751091,17,15,15,12,15,15,15,16892216,-0.0199528001248837,0.147107005119324,0.05634215,0.0257167,GALAXY,0.9940369,0.002517692,0.0034453883,0,0.996967270095533,3114,0.588751882314682,0.057980594263447,0.59646815,0,0.936934383794075,3702
whitney,134.7205,73.4908333333,195931339081629931,133.90805227,0.0019000000320375,73.2826116,0.00529999984428287,140.366630759249,34.6631495052807,6.5930592480686E-05,0.0949344023992677,666191604528.559,1362172601241039169,15925765524436,133.9081867,73.282665,0.27939999,0.2974,0.060800001,0000,0,ABUU,0,15.677,0.052000001,0.79220003,0,15.394,0.090000004,1,16.125999,0.1,1,15.196,0.093999997,1,14.681,0.097000003,1,16.01,0.178,1.08700001,0,15.768,0.354,1,16.562,0.39199999,1,15.657,0.38299999,1,15.268,0.44600001,1,12.948,-999,0.83929998,0,12.426,-999,32,13.615,-999,32,12.734,-999,32,11.891,-999,32,9.1289997,-999,1,0,8.3739996,-999,32,9.3870001,-999,32,8.3109999,-999,32,7.598,-999,32,18.0487003326416,0.00364600005559623,18.1368999481201,0.0158939994871616,18.0561008453369,0.0147820003330708,18.1977996826172,0.0144210001453757,18.1068992614746,0.0188239999115467,18.1007995605469,0.028141999617219,15,8,7,8,8,8,8,115000,0.125927999615669,-0.0759714022278786,17.4862995147705,0.00643600011244416,17.5513000488281,0.00513300020247698,17.4951992034912,0.00564600015059114,17.5573997497559,0.0102120004594326,17.5062007904053,0.0141369998455048,17.5025005340576,0.0215399991720915,12,6,6,6,8,8,8,115000,-0.00359971006400883,-0.018358500674367,17.2453002929688,0.00281299999915063,17.3115997314453,0.00380300008691847,17.2429008483887,0.00271099992096424,17.323299407959,0.014139000326395,17.266300201416,0.0203360002487898,17.2544002532959,0.0317180007696152,33,24,24,23,25,25,25,115000,0.0158877000212669,-0.00318782008253038,17.1529006958008,0.00367200002074242,17.2187995910645,0.00810800027102232,17.1478004455566,0.00453800009563565,17.2098999023438,0.018588000908494,17.1448001861572,0.026443999260664,17.0951995849609,0.0396730005741119,13,10,9,10,10,10,10,115000,-0.00343335000798106,0.0253768991678953,17.1128997802734,0.00871099997311831,17.2290992736816,0.0179730001837015,17.0962009429932,0.00857300031930208,17.222900390625,0.0545019991695881,17.1187992095947,0.0763669982552528,17.0990009307861,0.118065997958183,17,14,12,12,14,14,14,115000,-0.0301712993532419,-0.030434800311923,0.05634215,0.0257167,STAR,0.0002694474,0.9996737,5.6828972E-05,0,1.11885850412174,9292,-999,-999,-999,-999,-999,-999
whitney,134.7205,73.4908333333,195931341046198628,134.10461597,0.00491000013425946,73.28159734,0.00526000000536442,140.341871809586,34.7159106597494,3.70242509574425E-05,0.00926517619273194,3520933011670.26,1362172601241038952,15925767863080,134.1045698,73.2816319,0.090599999,0.092500001,-0.0103,0000,0,AACU,0,12.862,0.024,1.85699999,0,12.851,0.0099999998,0,13.484,0.011,0,12.938,0.012,1,12.892,0.017000001,1,12.89,0.028000001,1.23599994,0,12.893,0.02,0,13.651,0.022,0,12.986,0.024,1,12.9,0.035999998,1,12.819,0.48699999,1.08800006,0,11.945,0.30599999,0,13.442,0.40599999,0,12.136,0.271,1,11.743,0.301,1,8.9300003,-999,0.98500001,0,8.757,-999,32,9.6929998,-999,32,8.6990004,-999,32,7.9910002,-999,32,14.5093002319336,0.00250499998219311,14.5606002807617,0.0035969999153167,14.4982995986938,0.00169599999208003,14.6243000030518,0.00157299998681992,14.5283002853394,0.00156899995636195,14.4902000427246,0.0016890000551939,15,4,4,4,6,6,6,115000,0.0397196002304554,-0.0407816991209984,14.2007999420166,0.00119400001130998,14.233699798584,0.00141400005668402,14.1817998886108,0.00189399998635054,14.3691997528076,0.00131800002418458,14.3214998245239,0.00140399998053908,14.298999786377,0.00163499999325722,12,5,6,7,8,8,8,115000,0.00202168989926577,0.0113949999213219,14.0851001739502,0.00115599995478988,14.1268997192383,0.00146099994890392,14.0783996582031,0.000834000005852431,14.1595001220703,0.00132599996868521,14.0964002609253,0.00150799995753914,14.0713996887207,0.00194099999498576,33,15,13,15,21,21,21,115000,-0.00230010994710028,-0.00262870010919869,14.088399887085,0.00445700017735362,14.1339998245239,0.00160800002049655,14.0649995803833,0.00219999998807907,14.1274995803833,0.00177099998109043,14.0780000686646,0.00203300011344254,14.055700302124,0.00264400010928512,13,6,6,7,7,7,7,115000,0.0204355008900166,-0.00804019998759031,14.0666999816895,0.00529599981382489,14.1333999633789,0.0022960000205785,14.0642004013062,0.00337000004947186,14.1732997894287,0.00373500003479421,14.0755996704102,0.0045690000988543,14.0214996337891,0.00622300012037158,17,7,6,5,8,8,8,115000,-0.0019230799516663,-0.00405983021482825,0.039288398,0,STAR,0.00023678274,0.9997532,1.002332E-05,0,1.40219284933802,11167,-999,-999,-999,-999,-999,-999
whitney,134.7205,73.4908333333,195931342064969090,134.20655988,0.00100000004749745,73.2821065,0.00100000004749745,140.327769694286,34.7428536388372,0.000186091859978916,1.08602144715992,63724143706.435,1362172601241039863,15925767505364,134.2063623,73.2819293,0.91680002,1.0082,0.2449,0000,0,BCUU,0,17.323,0.17,0.88010001,0,16.864,0.259,1,17.573,0.28200001,1,16.704,0.28299999,1,16.200001,0.29499999,1,16.813999,0.36500001,0.95160002,0,16.455999,-999,32,16.976999,-999,32,16.511999,-999,32,15.961,-999,32,12.967,-999,1.07500005,0,12.563,-999,32,13.747,-999,32,12.866,-999,32,12.315,-999,32,9.3830004,-999,1.18599999,0,8.5530005,-999,32,11.012,-999,32,8.4110003,-999,32,7.5869999,-999,32,23.3486995697021,0.131257995963097,22.2176990509033,0.420816987752914,21.8528003692627,0.0801929980516434,22.2696990966797,0.459627002477646,21.7660007476807,0.453137010335922,20.9899005889893,0.354983001947403,15,2,2,2,2,2,2,16416,0.19505800306797,0.282763004302979,22.8866996765137,0.0467000007629395,22.7780990600586,2.87363004684448,23.5450992584229,1.31272995471954,23.8374996185303,1.93754005432129,22.8012008666992,1.18114995956421,21.2028007507324,0.439390987157822,12,2,2,2,2,2,2,16416,-2.69794011116028,-6.8741397857666,22.4416999816895,0.151482000946999,21.7735996246338,0.292176008224487,22.3862991333008,0.577462017536163,22.3229007720947,1.07161998748779,21.868200302124,1.10382997989655,21.2164993286133,0.967341005802155,33,10,10,10,10,10,10,16416,0.53125,0.640052020549774,21.6993007659912,0.144275993108749,21.4073009490967,0.162635996937752,21.2859001159668,0.155751004815102,21.6636009216309,1.09774005413055,22.1564998626709,2.71073007583618,21.2593002319336,1.85565996170044,13,6,6,6,6,6,6,114720,-0.089103102684021,-0.471516013145447,21.7773990631104,1.58281004428864,22.698600769043,11.1045999526978,-999,-999,21.0408000946045,1.44450998306274,20.4375,1.30305004119873,19.4547996520996,0.841548025608063,17,4,4,3,4,4,4,16416,-0.153845995664597,0.577048003673553,0.036011975,0,GALAXY,0.99821883,4.3140735E-05,0.0017379881,1,8.77499432014,1964,0.817076623439789,0.0935878694349712,0.8052695,1,11.7336771501406,2673
whitney,134.7205,73.4908333333,195931342868487507,134.28695473,0.0872099995613098,73.2807094,0.127680003643036,140.318626899056,34.7647715825354,0.00021777382975414,1.02974849933118,61311055252.9042,1362172601241039832,15925767520843,134.2863823,73.2805669,0.89359999,0.97299999,0.1927,0000,0,BUUU,0,17.233,0.149,1.05299997,0,17.516001,0.43399999,0,17.931,0.36199999,0,16.985001,-999,32,16.959999,-999,32,16.92,-999,0.97079998,0,16.120001,-999,32,17.145,-999,32,15.936,-999,32,15.39,-999,32,12.713,-999,0.96020001,0,12.112,-999,32,13.332,-999,32,12.701,-999,32,14.488,-999,32,9.2440004,-999,0.96969998,0,8.3479996,-999,32,9.4840002,-999,32,8.1049995,-999,32,7.283,-999,32,22.2968006134033,0.0991510003805161,22.021900177002,0.127023994922638,21.9778995513916,0.223493993282318,22.0751991271973,0.411976993083954,21.6627998352051,0.440795987844467,21.8584995269775,0.843237996101379,15,10,10,10,10,10,10,115000,-0.175007998943329,0.00730855017900467,21.6308994293213,0.108433999121189,21.315299987793,0.144819006323814,21.4316005706787,0.180234998464584,21.4001998901367,0.317122995853424,21.1630001068115,0.3957200050354,20.7935009002686,0.440320998430252,12,7,7,7,7,7,7,115000,-0.318810999393463,-0.0753073021769524,21.2763004302979,0.0575810000300407,20.8390998840332,0.0708770006895065,20.7406005859375,0.058959998190403,20.9209995269775,0.306322008371353,20.9197006225586,0.478807002305985,21.4232006072998,1.21889996528625,33,30,29,27,30,30,30,16892216,-0.31878799200058,-0.0870342999696732,21.0694999694824,0.101773001253605,20.5447006225586,0.0872329995036125,20.5342998504639,0.0890259966254234,20.5224990844727,0.348890990018845,20.4423999786377,0.507333993911743,20.8889999389648,1.22435998916626,13,11,11,11,11,11,11,115000,-0.163937002420425,0.0802208036184311,20.6697998046875,0.181649997830391,20.4253005981445,0.488236010074615,20.8784999847412,0.627268016338348,20.5976009368896,1.00090003013611,21.0944004058838,2.44179010391235,-999,-999,17,9,9,8,9,9,9,16416,3.2216100692749,-0.588753998279572,0.036011975,0,GALAXY,0.9934083,0.00024951328,0.0063421666,0,4.05198927372464,745,0.647156834602356,0.136113399841161,0.6644173,1,4.87105964101606,112
whitney,134.7205,73.4908333333,195931347208788633,134.72116197,0.0403500013053417,73.28160986,0.044429998844862,140.259040932822,34.879709358366,5.42905477745672E-05,0.249118866914108,316356633863.637,1362172601241037842,15925798978113,134.7212801,73.2816522,0.4506,0.47979999,0.095899999,0000,0,ABUU,0,16.344,0.079000004,0.98699999,0,16.249001,0.146,0,16.863001,0.146,0,16.208,0.177,1,15.802,0.20200001,1,16.495001,0.296,0.85680002,0,16.187,0.315,0,16.906,0.32800001,0,16.153999,0.36500001,1,15.389,0.301,1,12.967,-999,0.92659998,0,12.462,-999,32,13.648,-999,32,12.774,-999,32,12.224,-999,32,8.8450003,-999,0.995,0,8.4969997,-999,32,9.4420004,-999,32,8.4239998,-999,32,7.9689999,-999,32,22.7681999206543,0.450785011053085,22.2663993835449,2.2926299571991,21.9895992279053,0.743492007255554,23.172399520874,1.27570998668671,23.4769992828369,2.64409995079041,23.0741004943848,2.88478994369507,30,3,2,3,3,3,3,16416,0.332415014505386,-0.0786869004368782,22.3903999328613,0.119342997670174,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26,11,11,11,11,11,11,114720,-0.281192004680634,0.621973991394043,21.1961002349854,0.067062996327877,20.9874992370605,0.125808000564575,20.9225006103516,0.0819649994373322,21.0478992462158,0.329113006591797,20.9622993469238,0.473082989454269,21.1508007049561,0.896373987197876,68,16,16,13,16,16,16,115000,-0.657530009746552,0.543590009212494,20.5753993988037,0.0625239983201027,20.650899887085,0.121017001569271,20.6249008178711,0.143274992704391,20.6760997772217,0.418000012636185,21.1380004882813,1.00117003917694,21.0055999755859,1.39646995067596,32,9,9,9,9,9,9,115000,-0.296330004930496,-0.474976986646652,20.2653999328613,0.136610999703407,20.3115997314453,0.260636001825333,20.5093002319336,0.290192991495132,19.8332004547119,0.495741993188858,19.56369972229,0.59927099943161,19.281099319458,0.719720005989075,36,13,13,12,13,13,13,115000,-0.337668001651764,0.180806994438171,0.04161356,0,GALAXY,0.960397,0.010346142,0.029256785,1,6.95870357244804,314,0.826065570116043,0.0472496587494575,0.84138983,1,8.54548142275328,890
whitney,134.7205,73.4908333333,195931348203747700,134.82021838,0.00187000003643334,73.28073554,0.00264000007882714,140.246494456159,34.9062967270299,2.74010492870278E-05,0.0340243291874799,2167648693413.51,1362172601241037581,15925803435660,134.8202953,73.2807517,0.1679,0.178,0.0086000003,0000,0,AAUU,0,14.883,0.034000002,0.8937,0,14.835,0.034000002,0,15.482,0.035,0,14.892,0.044,0,14.915,0.072999999,0,14.841,0.068000004,0.89120001,0,14.747,0.085000001,0,15.543,0.093999997,0,14.771,0.104,0,14.847,0.183,0,12.973,-999,0.99070001,0,12.405,-999,32,13.633,-999,32,12.716,-999,32,12.169,-999,32,9.3039999,-999,1.00800002,0,8.4849997,-999,32,9.5,-999,32,8.4219999,-999,32,7.7119999,-999,32,17.4162998199463,0.00672100018709898,17.4976997375488,0.00888600014150143,17.417200088501,0.00632800022140145,17.513500213623,0.00842699967324734,17.4638004302979,0.0106840003281832,17.465799331665,0.0152470003813505,30,9,7,8,9,9,9,115000,-0.0326123982667923,0.000228859003982507,16.7884006500244,0.00469700014218688,16.8500995635986,0.00453000003471971,16.7935009002686,0.00438199983909726,16.9293994903564,0.00699200015515089,16.8736000061035,0.00935399997979403,16.8495998382568,0.0138069996610284,26,11,10,11,12,12,12,115000,-0.0170153994113207,-0.00574844982475042,16.5625991821289,0.003658999921754,16.6156005859375,0.00448099989444017,16.5506000518799,0.00176100002136081,16.6485004425049,0.00671599991619587,16.5753002166748,0.008992999792099,16.5293998718262,0.0130829997360706,68,16,14,17,20,20,20,115000,-0.0255459994077683,-0.00344142992980778,16.4825000762939,0.0029899999499321,16.5485000610352,0.00593400001525879,16.4748992919922,0.0028409999795258,16.5431003570557,0.0100889997556806,16.4771995544434,0.0139680001884699,16.4505996704102,0.0211379993706942,32,10,12,10,13,13,13,115000,0.0293764993548393,-0.00819345004856586,16.4066009521484,0.0128859998658299,16.5415000915527,0.0168510004878044,16.4101009368896,0.0105760004371405,16.5597991943359,0.0311370007693768,16.463399887085,0.0439929999411106,16.4113998413086,0.0665979981422424,36,11,11,11,12,12,12,115000,-0.0278407000005245,-0.015786599367857,0.041416988,0,STAR,0.00027377973,0.99963903,8.728323E-05,0,1.08017238268213,10333,-999,-999,-999,-999,-999,-999
whitney,134.7205,73.4908333333,195931350231307546,135.02300504,0.00418000016361475,73.28062347,0.00973000004887581,140.218732537766,34.9600123391318,3.22930597166167E-05,0.0130873460608506,3879555274516.95,1362172601241037529,15925805800269,135.0230914,73.2806441,0.1063,0.1098,-0.018300001,00PP,0,AAUU,0,13.534,0.026000001,1.24399996,0,13.525,0.013,0,14.155,0.013,0,13.586,0.015,1,13.487,0.021,1,13.589,0.035,0.88450003,0,13.558,0.039000001,0,14.325,0.043000001,0,13.652,0.050000001,1,13.657,0.082999997,1,12.818,-999,1.05499995,0,12.063,-999,32,13.307,-999,32,12.573,-999,32,12.083,-999,32,9.3079996,-999,1.11199999,0,8.7290001,-999,32,9.7390003,-999,32,8.665,-999,32,7.9549999,-999,32,16.5918006896973,0.00248100003227592,16.6368007659912,0.00411699991673231,16.5895004272461,0.00200799992308021,16.746000289917,0.00547099998220801,16.6828994750977,0.0066019999794662,16.6667003631592,0.00913400016725063,15,6,5,6,7,7,7,115000,-0.0160208996385336,-0.065447099506855,15.8023996353149,0.00582499988377094,15.8543996810913,0.00333400000818074,15.8058996200562,0.00530799990519881,15.9589004516602,0.00337100005708635,15.9109001159668,0.00407900009304285,15.8899002075195,0.00558800017461181,14,8,5,6,8,8,8,115000,-0.0135800000280142,-0.000787246972322464,15.4996995925903,0.00264899991452694,15.5431003570557,0.0021569998934865,15.4885997772217,0.0017750000115484,15.557900428772,0.00323599996045232,15.4997997283936,0.00419900007545948,15.4800996780396,0.00609300006181002,35,18,15,17,20,20,20,115000,-0.00189853005576879,-0.00327331991866231,15.3645000457764,0.00157299998681992,15.4243001937866,0.00433999998494983,15.3590002059937,0.00316300010308623,15.4242000579834,0.00419300002977252,15.3769998550415,0.00544199999421835,15.3625001907349,0.00786899961531162,19,10,11,11,13,13,13,115000,0.00554411020129919,-0.0199587997049093,15.2617998123169,0.00401399983093143,15.2806997299194,0.0102479998022318,15.253399848938,0.00852099992334843,15.4106998443604,0.0110809998586774,15.2917995452881,0.014813999645412,15.2180004119873,0.0216010008007288,19,10,13,12,13,13,13,115000,-0.0152313001453877,-0.020728399977088,0.036794372,0.08807534,STAR,0.002195072,0.9974389,0.00036600287,0,1.00719241220912,10874,-999,-999,-999,-999,-999,-999
whitney,134.7205,73.4908333333,195931350863327155,135.0862894,0.00484000006690621,73.28028529,0.0089699998497963,140.210355824097,34.9768781597649,3.64667240467794E-05,0.148905237316892,539308636215.587,1362172601241037803,15925805229497,135.0861672,73.2802756,0.35260001,0.37220001,0.039000001,00PP,0,ABUU,0,16.039,0.064000003,0.89920002,0,16.193001,0.206,0,16.715,0.193,0,16.610001,0.38100001,0,16.091999,-999,32,15.757,0.154,0.75840002,0,15.615,0.25400001,0,16.41,0.28799999,0,15.684,0.32499999,0,15.04,-999,32,12.347,-999,0.96200001,0,11.486,-999,32,12.762,-999,32,11.752,-999,32,11.175,-999,32,9.224,-999,1.00100005,0,8.0780001,-999,32,9.0869999,-999,32,8.0150003,-999,32,7.303,-999,32,21.6546001434326,0.0665699988603592,21.6630001068115,0.100020997226238,21.1993007659912,0.150157004594803,21.692699432373,0.374980986118317,21.6919002532959,0.563265979290009,22.2987995147705,1.54374003410339,15,9,8,8,9,9,9,115000,-0.0165461003780365,0.115327000617981,20.5098991394043,0.0211009997874498,20.6613006591797,0.042833998799324,20.6693992614746,0.109861999750137,20.8101997375488,0.217326000332832,21.2586002349854,0.512979984283447,-999,-999,14,8,8,8,8,8,8,115000,-0.0123677998781204,-0.0476787984371185,18.9869995117188,0.00936899986118078,19.1734008789063,0.0262439996004105,19.0573997497559,0.0216930005699396,19.138599395752,0.0588679984211922,19.1487998962402,0.0919039994478226,19.2003993988037,0.153910994529724,35,16,16,14,16,16,16,115000,-0.0306492000818253,-0.00497625023126602,18.2819004058838,0.0123549997806549,18.4244003295898,0.0166909992694855,18.2940006256104,0.0140100000426173,18.3962993621826,0.0513130016624928,18.338399887085,0.0748559981584549,18.3090000152588,0.116076998412609,19,12,12,12,12,12,12,115000,0.0192597005516291,0.0183569006621838,17.9437007904053,0.0129399998113513,18.0202007293701,0.0726350024342537,17.9596996307373,0.0356459990143776,18.0485000610352,0.109504997730255,17.9687004089355,0.158254995942116,17.9738006591797,0.254200994968414,19,13,12,11,13,13,13,115000,0.0870893970131874,0.024457199499011,0.039171748,0.08807534,STAR,9.696406E-05,0.99978334,0.00011960111,0,3.27330637889497,940,-999,-999,-999,-999,-999,-999
whitney,134.7205,73.4908333333,195931352036368467,135.20353461,0.00497000012546778,73.28138418,0.00865999981760979,140.192835589254,35.0074208305092,7.98877701336921E-05,0.253819033857611,284835940440.396,1362172601241037914,15925804248634,135.203328,73.2813308,0.45789999,0.4862,0.080799997,0000,0,ABUU,0,16.349001,0.079999998,0.86309999,0,15.726,0.12,1,16.702999,0.168,1,14.922,0.072999999,1,14.406,0.075000003,1,16.218,0.233,0.95429999,0,15.628,0.28799999,1,16.742001,0.433,1,14.812,0.164,1,14.274,0.16500001,1,12.816,-999,0.89340001,0,11.916,-999,32,13.266,-999,32,12.004,-999,32,11.386,-999,32,9.1759996,-999,1.01600003,0,8.3249998,-999,32,9.5220003,-999,32,8.2060003,-999,32,7.8049998,-999,32,21.0895004272461,0.0346579998731613,21.0569000244141,0.105765998363495,21.0394992828369,0.102401003241539,21.1595993041992,0.18945600092411,21.2985992431641,0.331506997346878,21.4999008178711,0.628507971763611,15,9,9,8,10,10,10,115000,-0.128860995173454,-0.0859071016311646,19.896900177002,0.0277609992772341,19.9841003417969,0.029882000759244,19.9269008636475,0.0228579994291067,19.9626998901367,0.0862680003046989,19.8309001922607,0.116861000657082,19.592399597168,0.147758007049561,14,6,6,5,6,6,6,115000,0.00321887992322445,0.0284334998577833,19.0641994476318,0.0122090000659227,19.1473999023438,0.0289259999990463,19.0459995269775,0.025365000590682,19.1587009429932,0.0566949993371964,19.119499206543,0.0848260000348091,19.1077995300293,0.132448002696037,35,17,17,15,18,18,18,115000,-0.032405398786068,0.0169638991355896,18.638599395752,0.0103979995474219,18.7383995056152,0.0169939994812012,18.6464996337891,0.0132349999621511,18.6830005645752,0.0647389963269234,18.6226005554199,0.0944420024752617,18.6030006408691,0.146810993552208,19,12,13,12,13,13,13,115000,0.0272307004779577,0.00408997992053628,18.5081996917725,0.0391630008816719,18.5555000305176,0.0724779963493347,18.448299407959,0.0769610032439232,18.5352001190186,0.182273998856544,18.244499206543,0.21602800488472,17.8617992401123,0.240164995193481,19,14,14,12,14,14,14,16892216,0.0125344004482031,-0.00731175020337105,0.03649872,0.08807534,STAR,0.0024797102,0.99716896,0.0003513936,0,1.97606529642197,7936,-999,-999,-999,-999,-999,-999
