sightline,center_ra_deg,center_dec_deg,objID,raMean,raMeanErr,decMean,decMeanErr,l,b,distance_Deg,sqrErr_Arcsec,BayesFactor,cntr,HtmID,ra,dec,sigra,sigdec,sigradec,cc_flags,ext_flg,ph_qual,moon_lev,w1mpro,w1sigmpro,w1rchi2,w1sat,w1mag,w1sigm,w1flg,w1mag_1,w1sigm_1,w1flg_1,w1mag_4,w1sigm_4,w1flg_4,w1mag_7,w1sigm_7,w1flg_7,w2mpro,w2sigmpro,w2rchi2,w2sat,w2mag,w2sigm,w2flg,w2mag_1,w2sigm_1,w2flg_1,w2mag_4,w2sigm_4,w2flg_4,w2mag_7,w2sigm_7,w2flg_7,w3mpro,w3sigmpro,w3rchi2,w3sat,w3mag,w3sigm,w3flg,w3mag_1,w3sigm_1,w3flg_1,w3mag_4,w3sigm_4,w3flg_4,w3mag_7,w3sigm_7,w3flg_7,w4mpro,w4sigmpro,w4rchi2,w4sat,w4mag,w4sigm,w4flg,w4mag_1,w4sigm_1,w4flg_1,w4mag_4,w4sigm_4,w4flg_4,w4mag_7,w4sigm_7,w4flg_7,gFPSFMag,gFPSFMagErr,gFKronMag,gFKronMagErr,gFApMag,gFApMagErr,gFmeanMagR5,gFmeanMagR5Err,gFmeanMagR6,gFmeanMagR6Err,gFmeanMagR7,gFmeanMagR7Err,gnTotal,gnIncPSFFlux,gnIncKronFlux,gnIncApFlux,gnIncR5,gnIncR6,gnIncR7,gFlags,gE1,gE2,rFPSFMag,rFPSFMagErr,rFKronMag,rFKronMagErr,rFApMag,rFApMagErr,rFmeanMagR5,rFmeanMagR5Err,rFmeanMagR6,rFmeanMagR6Err,rFmeanMagR7,rFmeanMagR7Err,rnTotal,rnIncPSFFlux,rnIncKronFlux,rnIncApFlux,rnIncR5,rnIncR6,rnIncR7,rFlags,rE1,rE2,iFPSFMag,iFPSFMagErr,iFKronMag,iFKronMagErr,iFApMag,iFApMagErr,iFmeanMagR5,iFmeanMagR5Err,iFmeanMagR6,iFmeanMagR6Err,iFmeanMagR7,iFmeanMagR7Err,inTotal,inIncPSFFlux,inIncKronFlux,inIncApFlux,inIncR5,inIncR6,inIncR7,iFlags,iE1,iE2,zFPSFMag,zFPSFMagErr,zFKronMag,zFKronMagErr,zFApMag,zFApMagErr,zFmeanMagR5,zFmeanMagR5Err,zFmeanMagR6,zFmeanMagR6Err,zFmeanMagR7,zFmeanMagR7Err,znTotal,znIncPSFFlux,znIncKronFlux,znIncApFlux,znIncR5,znIncR6,znIncR7,zFlags,zE1,zE2,yFPSFMag,yFPSFMagErr,yFKronMag,yFKronMagErr,yFApMag,yFApMagErr,yFmeanMagR5,yFmeanMagR5Err,yFmeanMagR6,yFmeanMagR6Err,yFmeanMagR7,yFmeanMagR7Err,ynTotal,ynIncPSFFlux,ynIncKronFlux,ynIncApFlux,ynIncR5,ynIncR6,ynIncR7,yFlags,yE1,yE2,EBV_Planck,EBV_PS1,class,prob_Galaxy,prob_Star,prob_QSO,extrapolation_Class,cellDistance_Class,cellID_Class,z_phot,z_photErr,z_phot0,extrapolation_Photoz,cellDistance_Photoz,cellID_Photoz
zach,310.199525,72.8823272222,195273108508238299,310.8507501,0.0130899995565414,72.7313742,0.0198299996554852,106.919583519648,18.1456267232051,4.73564424744826E-05,0.0565905764778737,1163083406544.15,3113172601241025594,13718268159269,310.8508147,72.7314175,0.2375,0.2263,0.056699999,0h00,0,AABU,0,16.372999,0.044,0.954,0,15.983,0.113,1,16.728001,0.126,0,15.684,0.108,1,14.832,0.082000002,1,16.191999,0.097999997,0.9666,0,15.956,0.29899999,1,16.790001,0.345,0,15.717,0.28799999,1,14.794,0.204,1,13.123,0.27200001,1.07599998,0,12.361,0.23899999,1,14.163,0.42199999,0,12,0.12899999,1,10.938,0.081,1,9.5080004,-999,1.05200005,0.001,8.8850002,0.24699999,17,10.474,0.42899999,17,8.335,0.152,17,7.368,0.113,17,22.6061000823975,0.150536999106407,22.0962009429932,0.243909001350403,21.9689998626709,0.271622002124786,22.0289993286133,0.462774991989136,21.8071994781494,0.590215027332306,20.6984996795654,0.339462995529175,67,8,8,7,8,8,8,16892216,-0.0732835009694099,0.12219800055027,21.6270008087158,0.07065100222826,21.6816997528076,0.201638996601105,21.8565006256104,0.279069989919662,21.3894004821777,0.43732100725174,20.9647998809814,0.459897011518478,20.9249000549316,0.703249990940094,80,11,11,9,11,11,11,115000,-0.0533053018152714,-0.0659151971340179,20.0659999847412,0.0282799992710352,20.1480007171631,0.0278140008449554,20.0209007263184,0.0362630002200603,19.9752998352051,0.131586998701096,19.8038997650146,0.175740003585815,19.7945003509521,0.27895799279213,94,12,11,11,12,12,12,115000,-0.0100295003503561,-0.0495574995875359,19.3190002441406,0.0226029995828867,19.4603996276855,0.0450400002300739,19.2353992462158,0.0497040003538132,19.3125,0.156214997172356,18.9953002929688,0.182383000850677,19.0305004119873,0.301212996244431,68,11,11,10,11,11,11,115000,-0.0251618009060621,0.0311526991426945,18.9692001342773,0.0377600006759167,19.0188999176025,0.0580249987542629,18.8707008361816,0.0555050000548363,19.0589008331299,0.26850700378418,18.8759994506836,0.353915005922318,19.2040996551514,0.761063992977142,69,15,15,13,15,15,15,115000,-0.170571997761726,0.0103300996124744,0.39219493,0.5973586,STAR,0.0070326887,0.9906867,0.0022805706,0,3.07640723414696,2681,-999,-999,-999,-999,-999,-999
zach,310.199525,72.8823272222,195273109219957237,310.92192226,0.0116699999198318,72.73036602,0.00553000019863248,106.931215966302,18.1275930086906,3.78092069766138E-05,0.0350092249200242,1865451775841.09,3113172601241025413,13718268364088,310.9218007,72.7303773,0.1866,0.1786,0.041700002,00O0,0,AABU,0,15.946,0.035999998,0.94169998,0,15.443,0.086999997,1,16.323999,0.111,1,14.81,0.061999999,1,14.353,0.067000002,1,15.974,0.081,0.88940001,0,15.371,0.12800001,1,16.370001,0.171,1,14.863,0.096000001,1,14.44,0.108,1,12.386,0.132,1.06500006,0,11.08,-999,32,12.269,-999,32,11.386,-999,32,10.839,-999,32,9.9460001,-999,1.05200005,0.001,8.0939999,-999,32,9.1680002,-999,32,8.0799999,-999,32,7.5040002,-999,32,19.9398002624512,0.0212149992585182,20.0806007385254,0.0435439981520176,19.9734001159668,0.0297400001436472,20.0671005249023,0.0696030035614967,20.132999420166,0.113697998225689,20.2437000274658,0.200358003377914,35,12,12,11,12,12,12,115000,-0.0189258996397257,0.0172927007079124,18.8726005554199,0.00801599957048893,18.9500999450684,0.0151180000975728,18.8740005493164,0.0134819997474551,18.9496002197266,0.045549001544714,18.9556999206543,0.0702340006828308,19.0552005767822,0.121827997267246,40,9,9,8,9,9,9,115000,-0.0266939997673035,-0.0109513998031616,18.3020000457764,0.00593899982050061,18.4011993408203,0.0112659996375442,18.3167991638184,0.0116170002147555,18.388500213623,0.0349120013415813,18.3591995239258,0.0523959994316101,18.3929004669189,0.0857300013303757,44,16,16,14,16,16,16,115000,0.00601366022601724,0.00958107970654964,18.0529003143311,0.0178190004080534,18.2266998291016,0.0505409985780716,18.0860004425049,0.0319080017507076,18.1756992340088,0.0474639981985092,18.1616992950439,0.0718239992856979,18.2492008209229,0.121748998761177,36,9,9,9,9,9,9,115000,-0.00795795954763889,-0.0058558601886034,17.8206996917725,0.0216240007430315,18.0056991577148,0.0374660007655621,17.8476009368896,0.0247269999235868,18.029899597168,0.0947370007634163,18.0030994415283,0.143703997135162,18.0125999450684,0.230957001447678,35,13,13,11,13,13,13,115000,-0.0240984000265598,-0.0129891997203231,0.39576823,0.5973586,STAR,0.006803546,0.9882449,0.004951635,0,3.18636114503854,4980,-999,-999,-999,-999,-999,-999
zach,310.199525,72.8823272222,195273110064427096,311.00674735,0.0237700007855892,72.73020718,0.0343700014054775,106.946012800884,18.1067031745192,7.7403743666781E-05,0.166985609759056,403857786903.195,3113172601241025945,13718268290801,311.0069162,72.7301482,0.41859999,0.38769999,0.098999999,00O0,0,ABBU,0,17.179001,0.071999997,0.88059998,0,15.938,0.092,1,16.974001,0.133,1,14.602,0.035,1,12.819,0.012,1,17.68,0.34599999,0.93339998,0,16.495001,0.43900001,1,16.746,-999,32,14.851,0.117,1,12.999,0.035,1,12.436,0.13600001,0.99089998,0,10.828,-999,32,12.023,-999,32,11.131,-999,32,10.586,-999,32,9.6029997,-999,1.01300001,0,7.8889999,-999,32,8.8979998,-999,32,7.8260002,-999,32,7.1160002,-999,32,23.6016006469727,0.0801090002059937,25.3199005126953,3.20461010932922,22.9831008911133,0.22146800160408,23.7847995758057,2.01765990257263,-999,-999,-999,-999,35,3,3,3,3,3,3,16416,-0.269266992807388,0.0466222986578941,22.4435997009277,0.205770000815392,22.6702995300293,0.485193014144897,22.4859008789063,0.760680973529816,22.4901008605957,1.12855994701386,22.7507991790771,2.23811006546021,-999,-999,40,10,10,10,10,10,10,114720,0.330563992261887,0.236368998885155,20.8278007507324,0.0356950014829636,20.9916000366211,0.0549300014972687,20.8747005462646,0.0697100013494492,21.0195999145508,0.358976989984512,21.0048007965088,0.551530003547668,21.1606006622314,1.00909996032715,44,13,13,11,13,13,13,115000,0.00995268020778894,-0.0221896003931761,20.0070991516113,0.0495640002191067,20.3402996063232,0.119456000626087,20.3339996337891,0.144877001643181,20.2334003448486,0.340200006961823,20.4755001068115,0.665615022182465,22.0319995880127,4.42858982086182,36,11,11,10,11,11,11,115000,-0.0598291009664536,-0.0816935002803802,19.5804996490479,0.0632639974355698,19.6868000030518,0.16032400727272,19.5536994934082,0.13816699385643,19.7838001251221,0.517566025257111,19.2611999511719,0.497406989336014,18.87380027771,0.553385972976685,35,14,14,13,14,14,14,115000,0.56939297914505,0.0828766003251076,0.37743124,0.5747136,STAR,0.0011571628,0.9973399,0.0015029387,1,6.97686514691079,36,-999,-999,-999,-999,-999,-999
zach,310.199525,72.8823272222,195153096112139515,309.61112827,0.00433999998494983,72.63230145,0.00230999989435077,106.617348902352,18.3978360089456,6.50770945826942E-05,0.01429362021711,872802431700.519,3113172601241028892,13719052289167,309.6113075,72.6322644,0.1149,0.1145,0.019300001,0000,0,AAUU,0,14.681,0.027000001,0.97000003,0,14.563,0.028000001,1,15.227,0.028999999,0,14.57,0.035,1,14.22,0.041999999,1,14.621,0.037,1.00699997,0,14.52,0.090000004,1,15.31,0.097999997,0,14.547,0.11,1,14.255,0.139,1,13.542,-999,0.99040002,0,11.082,-999,32,12.286,-999,32,11.391,-999,32,10.851,-999,32,10.115,-999,1.03299999,0,8.2069998,-999,32,9.2139997,-999,32,8.1459999,-999,32,7.4359999,-999,32,19.1016998291016,0.00803100038319826,19.1762008666992,0.0143839996308088,19.1075992584229,0.0111710000783205,19.1800003051758,0.0401809997856617,19.1240005493164,0.0576240010559559,19.1128005981445,0.0888769999146461,16,12,12,12,12,12,12,115000,-0.0175800994038582,0.00227507995441556,17.9641990661621,0.00418299995362759,18.0079002380371,0.00647700019180775,17.9619007110596,0.00565900001674891,18.058500289917,0.0254730004817247,17.9923992156982,0.0368559993803501,17.9291000366211,0.0553390011191368,19,13,13,12,13,13,13,115000,0.0121991001069546,0.00453417003154755,17.3295001983643,0.00666199997067451,17.3773994445801,0.00845300033688545,17.3400001525879,0.00761200021952391,17.4081993103027,0.0170140005648136,17.338399887085,0.024235000833869,17.3066997528076,0.0369580015540123,24,11,10,10,12,12,12,115000,0.00137363001704216,0.00569073995575309,16.986499786377,0.00440899981185794,17.0823001861572,0.00590799981728196,16.9967994689941,0.00606600008904934,17.0918998718262,0.0189939998090267,17.00119972229,0.0261560007929802,16.9057998657227,0.0368819981813431,16,14,10,11,14,14,14,115000,-0.0134730003774166,-0.0052359402179718,16.7784996032715,0.00565799977630377,16.8348999023438,0.00846599973738194,16.763599395752,0.00873900018632412,16.8470993041992,0.0339550003409386,16.7275009155273,0.0463230013847351,16.6277008056641,0.0661880001425743,16,14,13,13,14,14,14,115000,-0.0181488003581762,0.00214486010372639,0.43831113,0.72157496,STAR,0.13861486,0.7957664,0.065618716,0,3.6522311775835,7094,-999,-999,-999,-999,-999,-999
zach,310.199525,72.8823272222,195153096871709375,309.68743635,0.00471000000834465,72.6322729,0.00732999993488193,106.630450968535,18.3787502743102,1.78538397359404E-05,0.0226126097774095,3434461785305.93,3113172601241029028,13719051586657,309.6874882,72.6322818,0.14740001,0.1436,0.029999999,0000,0,AABC,0,15.267,0.030999999,1.01900005,0,15.172,0.041999999,1,15.813,0.041999999,1,15.17,0.052999999,1,14.945,0.07,1,15.347,0.057,0.9375,0,15.135,0.114,1,15.916,0.124,1,15.075,0.12899999,1,14.814,0.167,1,13.333,0.322,1.00699997,0,11.905,-999,32,13.106,-999,32,12.23,-999,32,11.728,-999,32,10.018,0.42899999,1.06599998,0,8.7309999,-999,32,9.7379999,-999,32,8.6689997,-999,32,7.9580002,-999,32,22.6242008209229,0.0398380011320114,22.9750995635986,0.332614988088608,23.8505001068115,1.00501000881195,23.349100112915,1.62066996097565,23.6993007659912,3.43998003005981,-999,-999,16,7,7,7,7,7,7,114724,-0.186651006340981,0.102317996323109,20.8673992156982,0.0576030015945435,20.840799331665,0.0836170017719269,20.7395992279053,0.10530100017786,20.8729991912842,0.34094500541687,20.7103996276855,0.460334002971649,20.627799987793,0.682671010494232,19,11,11,9,11,11,11,115000,-0.0481538996100426,-0.44378998875618,19.1669998168945,0.00788499973714352,19.2546005249023,0.0255999993532896,19.1723003387451,0.0223379991948605,19.2805995941162,0.0767569988965988,19.2311000823975,0.111305996775627,19.3297004699707,0.192301005125046,24,13,13,12,13,13,13,115000,0.00576585996896029,-0.0240662004798651,18.341100692749,0.0100349998101592,18.425199508667,0.0317800007760525,18.3068008422852,0.0324410013854504,18.3675994873047,0.0610489994287491,18.1161994934082,0.0747319981455803,17.7325992584229,0.0830570012331009,16,9,7,9,10,10,10,115000,0.0160339009016752,0.0554956011474133,17.9256000518799,0.0134319998323917,18.0578994750977,0.0352110005915165,17.9095001220703,0.0347869992256165,18.0198993682861,0.102767996490002,17.9570007324219,0.150367006659508,17.8889007568359,0.22070899605751,16,10,10,9,10,10,10,115000,-0.0116978995501995,-0.0521389991044998,0.44641784,0.72157496,STAR,0.00036337087,0.99865794,0.0009787086,0,2.60969434363882,546,-999,-999,-999,-999,-999,-999
zach,310.199525,72.8823272222,195153097646299692,309.7644294,0.0031999999191612,72.63243649,0.00307999993674457,106.643863137321,18.3596138192845,9.26344162103754E-06,0.0166980569915652,4928922596229.02,3113172601241028904,13719049605758,309.7644255,72.6324273,0.1236,0.1238,0.024499999,0000,0,AAUU,0,14.78,0.028000001,0.986,0,14.814,0.048,0,15.403,0.046999998,0,15.017,0.072999999,0,15.179,0.139,1,14.904,0.044,0.96679997,0,14.819,0.086999997,0,15.555,0.092,0,14.945,0.115,0,14.836,0.17200001,1,13.898,-999,1.03299999,0,12.871,-999,32,14.054,-999,32,13.194,-999,32,12.646,-999,32,10.193,-999,1.051,0,9.2440004,-999,32,10.252,-999,32,9.1829996,-999,32,8.4720001,-999,32,18.8966007232666,0.00915199983865023,18.9547996520996,0.0124159995466471,18.88330078125,0.0110299997031689,18.9608993530273,0.0306809991598129,18.9468994140625,0.0451980009675026,18.9578990936279,0.070542998611927,16,13,13,11,13,13,13,115000,-0.0203929003328085,0.0239476002752781,17.7950000762939,0.00546099990606308,17.8913993835449,0.008135000243783,17.8124008178711,0.00502099981531501,17.9244003295898,0.0205620005726814,17.8827991485596,0.0289769992232323,17.8477001190186,0.0422799997031689,19,14,14,12,16,16,16,115000,-0.0171664003282785,-0.00569575000554323,17.1984004974365,0.00797799974679947,17.2791996002197,0.00685699982568622,17.2301998138428,0.00701399985700846,17.3234004974365,0.0149609996005893,17.2749004364014,0.0213450007140636,17.2682991027832,0.0325030013918877,24,17,18,16,18,18,18,115000,-0.00553504982963204,-0.00234820996411145,16.9178009033203,0.00285800010897219,16.9951992034912,0.0133509999141097,16.9144992828369,0.00680099986493587,17.0401992797852,0.0174909997731447,16.9342994689941,0.0241519995033741,16.8477001190186,0.0344219990074635,16,10,7,9,10,10,10,115000,-0.0296468008309603,-0.00687461998313665,16.7322998046875,0.00679000001400709,16.8568000793457,0.0187389999628067,16.7360992431641,0.011651000007987,16.8551006317139,0.0361859984695911,16.8117008209229,0.0536310002207756,16.8551998138428,0.0879369974136353,16,10,11,9,11,11,11,115000,-0.0225422997027636,-0.000313086988171563,0.44641784,0.72157496,STAR,0.12610088,0.84547997,0.028419217,0,2.12429831878623,10770,-999,-999,-999,-999,-999,-999
zach,310.199525,72.8823272222,195153100718389931,310.07168574,0.00451999995857477,72.63262479,0.00431000022217631,106.697205643773,18.283144668874,9.9700290341764E-05,0.0151846843855606,80581195012.5558,3113172601241026969,13719064660731,310.0720169,72.6326118,0.1191,0.1179,0.018100001,0000,0,AAAB,0,14.88,0.028000001,0.92540002,0,14.802,0.039999999,1,15.446,0.041000001,0,14.847,0.052999999,1,14.524,0.064999998,1,14.947,0.041000001,0.93739998,0,14.96,0.088,1,15.683,0.090999998,0,15.111,0.121,1,14.796,0.15000001,1,12.012,0.090000004,0.95990002,0,11.109,-999,32,12.307,-999,32,11.417,-999,32,10.87,-999,32,9.0129995,0.15800001,1.00600004,0.001,8.2209997,-999,32,9.3249998,-999,32,8.0670004,-999,32,7.349,-999,32,21.4950008392334,0.0412020012736321,21.6308994293213,0.120981998741627,21.3817005157471,0.133870005607605,21.5464992523193,0.31139200925827,21.4782009124756,0.456164985895157,21.4423999786377,0.699887990951538,16,9,9,9,9,9,9,115000,-0.0212082006037235,-0.0295630004256964,19.7231998443604,0.01343800034374,19.8008003234863,0.0244500003755093,19.7240009307861,0.0186759997159243,19.7360000610352,0.0986530035734177,19.6595993041992,0.142871007323265,19.493200302124,0.19522799551487,19,13,13,10,13,13,13,115000,0.00751702999696136,0.0606060996651649,18.5093994140625,0.00924300029873848,18.6119995117188,0.0196649990975857,18.5077991485596,0.0118370000272989,18.6623992919922,0.0499450005590916,18.6366004943848,0.0753659978508949,18.6811008453369,0.124399997293949,24,13,13,10,13,13,13,115000,0.0191837009042501,0.0396840013563633,17.9647006988525,0.00808999966830015,18.0058002471924,0.0190159995108843,17.9193000793457,0.00754099991172552,18.051399230957,0.0425370000302792,17.9811000823975,0.0617379993200302,17.9715995788574,0.0968739986419678,16,15,13,13,15,15,15,115000,0.0127461003139615,0.00996971037238836,17.6210994720459,0.0151169998571277,17.69580078125,0.0208180006593466,17.5790996551514,0.0187400002032518,17.6923007965088,0.0733330026268959,17.5902004241943,0.103729002177715,17.5319995880127,0.152829006314278,16,12,12,12,12,12,12,115000,-0.0244132000952959,0.0224338006228209,0.47599778,0.8191311,STAR,0.0082100285,0.9813307,0.010459318,0,2.10317431954155,5592,-999,-999,-999,-999,-999,-999
zach,310.199525,72.8823272222,195153102904039253,310.29034355,0.00280999997630715,72.63207272,0.00378999998793006,106.734787588687,18.2284944619809,1.01758561639149E-05,0.012273151481313,6564182476481.92,3113172601241026930,13719059539902,310.2903752,72.6320765,0.1071,0.106,0.0186,0000,0,AAAA,0,14.644,0.026000001,1.02499998,0,14.587,0.022,0,15.229,0.022,0,14.627,0.028000001,1,14.397,0.037,1,14.704,0.037,0.96259999,0,14.769,0.078000002,0,15.489,0.082000002,0,14.961,0.11,1,15.075,0.20299999,1,11.316,0.050999999,1.11399996,0,11.527,0.083999999,0,13.199,0.133,0,11.28,0.050000001,1,10.294,0.034000002,1,8.5229998,0.098999999,1.15100002,0,8.8430004,0.35600001,1,9.5979996,-999,32,8.4289999,0.257,17,7.3959999,0.191,17,19.9794998168945,0.0161010008305311,20.0478000640869,0.0314039997756481,19.9274005889893,0.0374899990856647,20.0436000823975,0.0754579976201057,19.9253997802734,0.103866003453732,19.7870998382568,0.144821003079414,16,13,13,13,13,13,13,115000,-0.00161522999405861,0.0331548005342484,18.4818992614746,0.00738900015130639,18.5538997650146,0.0105699999257922,18.4712009429932,0.00940399989485741,18.5858001708984,0.0363209992647171,18.532600402832,0.0532889999449253,18.5128002166748,0.0821790024638176,19,14,14,13,15,15,15,115000,0.0160045009106398,0.00131802004761994,17.6408004760742,0.0031379999127239,17.7199993133545,0.00675200019031763,17.6518001556396,0.00530300009995699,17.7548007965088,0.0213259998708963,17.6830005645752,0.0302659999579191,17.6438999176025,0.0456390008330345,24,18,18,19,19,19,19,115000,0.00212562992237508,0.00908891018480062,17.2334003448486,0.00518999993801117,17.3467998504639,0.0168089997023344,17.2546005249023,0.0084610003978014,17.3866996765137,0.0223559997975826,17.3099994659424,0.0315990000963211,17.2984008789063,0.0494390018284321,16,12,11,10,12,12,12,115000,-0.00745176989585161,0.022842800244689,16.9874000549316,0.0102949999272823,17.135799407959,0.0134429996833205,17.0035991668701,0.00818500015884638,17.1149997711182,0.0442899987101555,17.0548992156982,0.0649600028991699,17.0627002716064,0.104147002100945,16,15,14,13,15,15,15,115000,-0.0110344998538494,0.0187931004911661,0.4848121,0.78809285,STAR,0.041617457,0.93993926,0.018443378,0,2.69426204089519,6326,-999,-999,-999,-999,-999,-999
zach,310.199525,72.8823272222,195153106376499455,310.63766705,0.00638000015169382,72.63219163,0.00598999997600913,106.795736318307,18.1424933340512,3.51361137627635E-05,0.00438670899998355,3131384552019.66,3113172601241026809,13719003973946,310.6376292,72.6322249,0.061799999,0.063299999,0.0065000001,0000,5,AAAA,0,12.265,0.022,17.0799999,0,12.198,0.0060000001,0,12.976,0.0070000002,0,12.081,0.0060000001,1,11.924,0.0070000002,1,12.215,0.021,4.50600004,0,12.075,0.0089999996,0,12.949,0.011,0,11.98,0.0099999998,1,11.795,0.013,1,8.8620005,0.017000001,3.06999993,0,8.7539997,0.029999999,0,10.239,0.039000001,0,8.993,0.028000001,0,8.7679996,0.037999999,1,7.1020002,0.041000001,1.15900004,0,6.9759998,0.064000003,1,8.1140003,0.071000002,1,7.0819998,0.074000001,1,6.9720001,0.12899999,17,19.6417007446289,0.0417159982025623,17.8456993103027,0.0283449999988079,18.6140995025635,0.0424479991197586,18.8313999176025,0.025747999548912,18.36669921875,0.0250480007380247,18.0289001464844,0.0280639994889498,16,13,9,12,13,13,13,16892216,0.0684242025017738,0.0638962015509605,18.3882999420166,0.0671750009059906,16.5326995849609,0.00809200014919043,17.6429996490479,0.0304429996758699,17.5995006561279,0.0159559994935989,17.1364994049072,0.0159799996763468,16.7924003601074,0.0181029997766018,19,10,11,12,14,14,14,16892216,0.0873491987586021,0.0498176999390125,17.7623996734619,0.0432949997484684,15.7878999710083,0.00968800019472837,16.8871994018555,0.0447910018265247,16.8120002746582,0.00956599973142147,16.3775005340576,0.00970400031656027,16.0550994873047,0.011200999841094,24,14,12,14,15,15,15,16892216,0.0591933988034725,0.0622770003974438,17.3033008575439,0.0735699981451035,15.4270000457764,0.0123490002006292,16.3211002349854,0.0435829982161522,16.4101009368896,0.0102709997445345,15.9685001373291,0.0103460000827909,15.6342000961304,0.0118680000305176,16,11,11,10,13,13,13,16892216,0.081554502248764,0.0966313034296036,17.074800491333,0.0315370000898838,15.105299949646,0.0186100006103516,16.225700378418,0.0155039997771382,16.0104007720947,0.0166800003498793,15.5691995620728,0.0170569997280836,15.2305002212524,0.0196630004793406,16,11,12,8,14,14,14,16892216,0.0598466992378235,0.0631320998072624,0.42459688,0.78809285,GALAXY,0.9718174,0.026606325,0.001576294,0,1.15238173710597,10955,0.065301563590765,0.0102518877705756,0.06440002,0,1.17233083183567,10501
zach,310.199525,72.8823272222,195273096152998901,309.61507498,0.013430000282824,72.73179492,0.0174800008535385,106.705869044848,18.4511955597171,3.19841533940212E-05,0.0416698706633196,1741684277193.29,3113172601241029881,13719022710020,309.6149674,72.7317967,0.2031,0.19419999,0.043900002,hh00,0,AABU,0,16.065001,0.037999999,0.91070002,0,15.765,-999,32,16.990999,0.537,0,16.125999,-999,32,15.229,-999,32,16.348,0.109,0.92979997,0,15.743,0.19499999,0,16.599001,0.229,0,15.429,0.175,1,14.089,0.083999999,1,12.417,0.13600001,0.98220003,0,11.434,-999,32,12.623,-999,32,11.744,-999,32,11.199,-999,32,9.6400003,-999,1.05499995,0,8.9040003,-999,32,10.045,-999,32,8.5380001,-999,32,7.7249999,-999,32,22.5340003967285,0.126578003168106,23.7828006744385,1.07217001914978,25.00830078125,2.83604001998901,-999,-999,-999,-999,-999,-999,16,8,7,7,8,8,8,115000,-0.633104026317596,0.484434008598328,20.8377990722656,0.0329449996352196,21.1053009033203,0.0761900022625923,21.1000995635986,0.277808994054794,21.0249004364014,0.354952991008759,21.8150005340576,1.14206004142761,-999,-999,19,9,9,9,9,9,9,115000,0.010330899618566,-0.0634825974702835,19.663200378418,0.0164979994297028,19.8076000213623,0.0351900011301041,19.7450008392334,0.0285199992358685,19.8250007629395,0.143650993704796,19.959400177002,0.253551989793777,20.5002002716064,0.66586297750473,24,15,15,14,15,15,15,115000,0.0583066008985043,-0.0571166984736919,19.0655994415283,0.0263710003346205,19.1595001220703,0.0361789986491203,19.025899887085,0.0463810004293919,19.2141990661621,0.11514899879694,19.0771007537842,0.156487002968788,19.1826000213623,0.269876003265381,16,9,7,7,9,9,9,115000,-0.130721002817154,0.0460482984781265,18.718599319458,0.0307090003043413,18.9192008972168,0.0589139983057976,18.8495998382568,0.066100999712944,18.7476997375488,0.220037996768951,18.8743000030518,0.385928004980087,19.614200592041,1.2216500043869,16,13,13,11,13,13,13,115000,0.0142997000366449,-0.0232702996581793,0.46591154,0.82120925,STAR,0.00081809773,0.99788827,0.0012936047,1,5.72546149181239,74,-999,-999,-999,-999,-999,-999
