nickname,local_frb_id,verdi_frb_id,identifier_relation,local_host_redshift,current_draft_redshift,prior_draft_redshift,comparison_status,host_identifier,redshift_uncertainty,paper_uncertainty_note,measurement_kind,current_source_rows,prior_source_rows,bibliographic_source,source_release,source_received_date,archive_sha256,current_member_sha256,prior_member_sha256,authority_status,blocking_reasons
zach,20220207C,20220207C,exact identifier,0.043,,,absent_from_archive,,,<0.4% paper-wide bound; no row-level uncertainty,not stated at row level,,,"Verdi et al., Probing Host Galaxy Environments with a New Sample of Localized FRBs Detected with the DSA-110 (unpublished draft archive received 2026-07-22)",unpublished draft; no version identifier,2026-07-22,c1e14983531711aa47f214f0c010cdba550f4bf26b1ac132da96280d748a7346,ea094a20d5cac53d79fde24e696c5c4aca967d82067e3dc7f23c8a6cdb640e90,dde8d78ce5dd67a34f769b72a6aa37c047db8df26d6ed3a2abd64b07f25dcf52,insufficient,missing_host_identifier;missing_row_redshift_uncertainty;unpublished_source_without_release_identifier;measurement_kind_not_row_specific;absent_from_current_draft
whitney,20220310F,20220310F,exact identifier,0.479,,,absent_from_archive,,,<0.4% paper-wide bound; no row-level uncertainty,not stated at row level,,,"Verdi et al., Probing Host Galaxy Environments with a New Sample of Localized FRBs Detected with the DSA-110 (unpublished draft archive received 2026-07-22)",unpublished draft; no version identifier,2026-07-22,c1e14983531711aa47f214f0c010cdba550f4bf26b1ac132da96280d748a7346,ea094a20d5cac53d79fde24e696c5c4aca967d82067e3dc7f23c8a6cdb640e90,dde8d78ce5dd67a34f769b72a6aa37c047db8df26d6ed3a2abd64b07f25dcf52,insufficient,missing_host_identifier;missing_row_redshift_uncertainty;unpublished_source_without_release_identifier;measurement_kind_not_row_specific;absent_from_current_draft
oran,20220506D,20220506D,exact identifier,0.3005,0.3005,0.3005,matches_current_draft,,,<0.4% paper-wide bound; no row-level uncertainty,not stated at row level; host spectroscopy described at sample level,verdi2025.tex:474:table:scatter_props,test.tex:312:table:scatter_props,"Verdi et al., Probing Host Galaxy Environments with a New Sample of Localized FRBs Detected with the DSA-110 (unpublished draft archive received 2026-07-22)",unpublished draft; no version identifier,2026-07-22,c1e14983531711aa47f214f0c010cdba550f4bf26b1ac132da96280d748a7346,ea094a20d5cac53d79fde24e696c5c4aca967d82067e3dc7f23c8a6cdb640e90,dde8d78ce5dd67a34f769b72a6aa37c047db8df26d6ed3a2abd64b07f25dcf52,insufficient,missing_host_identifier;missing_row_redshift_uncertainty;unpublished_source_without_release_identifier;measurement_kind_not_row_specific
isha,20221113A,20221113A,exact identifier,0.2505,0.2505,0.2505,matches_current_draft,,,<0.4% paper-wide bound; no row-level uncertainty,not stated at row level; host spectroscopy described at sample level,verdi2025.tex:390:table:burst_props,test.tex:231:table:burst_props,"Verdi et al., Probing Host Galaxy Environments with a New Sample of Localized FRBs Detected with the DSA-110 (unpublished draft archive received 2026-07-22)",unpublished draft; no version identifier,2026-07-22,c1e14983531711aa47f214f0c010cdba550f4bf26b1ac132da96280d748a7346,ea094a20d5cac53d79fde24e696c5c4aca967d82067e3dc7f23c8a6cdb640e90,dde8d78ce5dd67a34f769b72a6aa37c047db8df26d6ed3a2abd64b07f25dcf52,insufficient,missing_host_identifier;missing_row_redshift_uncertainty;unpublished_source_without_release_identifier;measurement_kind_not_row_specific
wilhelm,20221203A,20221203A,exact identifier,0.51,,0.5100,current_draft_missing_prior_draft_matches,,,<0.4% paper-wide bound; no row-level uncertainty,not stated at row level,verdi2025.tex:394:table:burst_props;verdi2025.tex:484:table:scatter_props,test.tex:235:table:burst_props;test.tex:322:table:scatter_props,"Verdi et al., Probing Host Galaxy Environments with a New Sample of Localized FRBs Detected with the DSA-110 (unpublished draft archive received 2026-07-22)",unpublished draft; no version identifier,2026-07-22,c1e14983531711aa47f214f0c010cdba550f4bf26b1ac132da96280d748a7346,ea094a20d5cac53d79fde24e696c5c4aca967d82067e3dc7f23c8a6cdb640e90,dde8d78ce5dd67a34f769b72a6aa37c047db8df26d6ed3a2abd64b07f25dcf52,insufficient,missing_host_identifier;missing_row_redshift_uncertainty;unpublished_source_without_release_identifier;measurement_kind_not_row_specific;current_draft_redshift_missing;current_prior_draft_conflict
phineas,20230307A,20230307A,exact identifier,0.271,0.2710,0.2710,matches_current_draft,,,<0.4% paper-wide bound; no row-level uncertainty,not stated at row level; host spectroscopy described at sample level,verdi2025.tex:408:table:burst_props,test.tex:249:table:burst_props,"Verdi et al., Probing Host Galaxy Environments with a New Sample of Localized FRBs Detected with the DSA-110 (unpublished draft archive received 2026-07-22)",unpublished draft; no version identifier,2026-07-22,c1e14983531711aa47f214f0c010cdba550f4bf26b1ac132da96280d748a7346,ea094a20d5cac53d79fde24e696c5c4aca967d82067e3dc7f23c8a6cdb640e90,dde8d78ce5dd67a34f769b72a6aa37c047db8df26d6ed3a2abd64b07f25dcf52,insufficient,missing_host_identifier;missing_row_redshift_uncertainty;unpublished_source_without_release_identifier;measurement_kind_not_row_specific
freya,20230325A,20230325C,same localization coordinates in current draft,,,,no_redshift_in_local_or_drafts,,,<0.4% paper-wide bound; no row-level uncertainty,not stated at row level,verdi2025.tex:410:table:burst_props,test.tex:251:table:burst_props,"Verdi et al., Probing Host Galaxy Environments with a New Sample of Localized FRBs Detected with the DSA-110 (unpublished draft archive received 2026-07-22)",unpublished draft; no version identifier,2026-07-22,c1e14983531711aa47f214f0c010cdba550f4bf26b1ac132da96280d748a7346,ea094a20d5cac53d79fde24e696c5c4aca967d82067e3dc7f23c8a6cdb640e90,dde8d78ce5dd67a34f769b72a6aa37c047db8df26d6ed3a2abd64b07f25dcf52,insufficient,missing_host_identifier;missing_row_redshift_uncertainty;unpublished_source_without_release_identifier;measurement_kind_not_row_specific;frb_identifier_alias_not_adjudicated;current_draft_redshift_missing
johndoeII,20230814B,20230814B,exact identifier,,0.5535,,local_missing_current_draft_has_value,,,<0.4% paper-wide bound; no row-level uncertainty,not stated at row level; host spectroscopy described at sample level,verdi2025.tex:424:table:burst_props,,"Verdi et al., Probing Host Galaxy Environments with a New Sample of Localized FRBs Detected with the DSA-110 (unpublished draft archive received 2026-07-22)",unpublished draft; no version identifier,2026-07-22,c1e14983531711aa47f214f0c010cdba550f4bf26b1ac132da96280d748a7346,ea094a20d5cac53d79fde24e696c5c4aca967d82067e3dc7f23c8a6cdb640e90,dde8d78ce5dd67a34f769b72a6aa37c047db8df26d6ed3a2abd64b07f25dcf52,insufficient,missing_host_identifier;missing_row_redshift_uncertainty;unpublished_source_without_release_identifier;measurement_kind_not_row_specific;local_redshift_missing
hamilton,20230913A,20230913G,same localization coordinates in current draft,0.3024,0.3024,,matches_current_draft,,,<0.4% paper-wide bound; no row-level uncertainty,spectroscopic; Keck-I/LRIS emission lines in appendix,verdi2025.tex:426:table:burst_props,test.tex:265:table:burst_props,"Verdi et al., Probing Host Galaxy Environments with a New Sample of Localized FRBs Detected with the DSA-110 (unpublished draft archive received 2026-07-22)",unpublished draft; no version identifier,2026-07-22,c1e14983531711aa47f214f0c010cdba550f4bf26b1ac132da96280d748a7346,ea094a20d5cac53d79fde24e696c5c4aca967d82067e3dc7f23c8a6cdb640e90,dde8d78ce5dd67a34f769b72a6aa37c047db8df26d6ed3a2abd64b07f25dcf52,insufficient,missing_host_identifier;missing_row_redshift_uncertainty;unpublished_source_without_release_identifier;frb_identifier_alias_not_adjudicated;current_prior_draft_conflict
mahi,20240122A,20240122E,same localization coordinates in current draft,,,,no_redshift_in_local_or_drafts,,,<0.4% paper-wide bound; no row-level uncertainty,not stated at row level,verdi2025.tex:444:table:burst_props,test.tex:283:table:burst_props,"Verdi et al., Probing Host Galaxy Environments with a New Sample of Localized FRBs Detected with the DSA-110 (unpublished draft archive received 2026-07-22)",unpublished draft; no version identifier,2026-07-22,c1e14983531711aa47f214f0c010cdba550f4bf26b1ac132da96280d748a7346,ea094a20d5cac53d79fde24e696c5c4aca967d82067e3dc7f23c8a6cdb640e90,dde8d78ce5dd67a34f769b72a6aa37c047db8df26d6ed3a2abd64b07f25dcf52,insufficient,missing_host_identifier;missing_row_redshift_uncertainty;unpublished_source_without_release_identifier;measurement_kind_not_row_specific;frb_identifier_alias_not_adjudicated;current_draft_redshift_missing
