burst,ra_deg,dec_deg,l_deg,b_deg,dm_mw_pc_cm3,sm_kpc_m203,d_eff_kpc,theta_g_1ghz_mas,scintime_1ghz_s,nu_t_ghz,tau_1ghz_us,sbw_1ghz_mhz,tau_chime_us,sbw_chime_khz,tau_dsa_us,sbw_dsa_khz
casey,169.983542,70.676222,133.33265377243626,44.558313829674034,34.46044553967627,0.00011671201835250019,1.0864918742961158,0.573772048489171,1949.898821028928,7.765339164400657,0.09455087653999529,1.9525967473025374,0.893706746679481,206.57753191697745,0.02117823351937165,8717.42838314289
chromatica,312.619125,73.9,108.23494559185704,18.39668230006568,70.94381115100775,0.0002480428631739284,2.355350065980251,0.8555689425795253,806.5713919993984,12.721823352547291,0.5525913527126939,0.3340981234691652,5.223162789687872,35.34634883505731,0.1237736670117969,1491.5913735431498
freya,88.188,74.200472,139.45645630129283,22.171682166078902,60.38733229287838,0.00030872761308361996,1.6906326209480191,1.003107585377702,846.2889588921645,12.466404214953467,0.5019406433221437,0.3678118846178199,4.744405930281196,38.91314038039245,0.11242853103158047,1642.10749969454
hamilton,305.037167,70.792767,104.1744043507744,18.667620983617777,70.19755446203656,0.00022674447646221357,2.4031142201122617,0.8091209405086517,842.8113744411834,12.398026907524882,0.5060913755748763,0.36479525812287644,4.783639172252867,38.59399242682668,0.11335824400877931,1628.6396776956096
isha,71.411,70.307389,140.318268526147,15.833716122600944,83.43730648553111,0.0014082520204141801,1.9069784273564006,2.46980844309919,316.106263724022,22.067228909096233,3.5976880992626517,0.05131621443905505,34.00579925242088,5.429066160633043,0.8058378883861438,229.1028216063874
johndoeii,335.97475,73.025906,112.56349622940061,13.19712964180337,96.63760639116558,0.0010179891543086604,2.5682987311062937,1.9763451664992295,326.82356552940206,21.48001537785163,3.3656037691271283,0.05485486309473675,31.812109048470546,5.803442132846414,0.753853852704381,244.90122763754857
mahi,39.7665,71.017861,131.52727050343952,9.964473735872183,94.78441023534904,0.0017342256632567456,2.2183541682606975,2.76231875341264,257.52115368208575,24.83028668347057,5.420806363541244,0.03405761460661957,51.23814180073296,3.6031699725683177,1.2141939581259227,152.05127051657743
oran,318.044833,72.827278,108.35441000726829,16.513444477941615,78.1358177025742,0.00032371502287293166,2.507271858504892,0.9971427369917466,663.4880416086554,14.234631058712191,0.8166265833110827,0.22607607658085538,7.71885691312666,23.91801481287144,0.18291431145191983,1009.3236145446556
phineas,177.781333,71.695639,129.5266583148093,44.652282149493566,34.44065171350122,0.00011516342671974616,1.102981567578177,0.5688032824043703,1948.3362059329258,7.763133733055319,0.09470260176569739,1.9494684469531698,0.8951408725470935,206.24656928162526,0.021212218103949663,8703.461989777621
whitney,134.7205,73.490833,140.0243715684689,34.79801379333275,41.17792097192478,0.00014203449314292293,1.2464353748967658,0.6413294362161815,1604.9474747972295,8.665642649398782,0.1395622830000159,1.3228483370867294,1.3191602073233566,139.95247352192456,0.03126023499761747,5905.897188574223
wilhelm,315.129542,72.037561,107.13494027367996,16.691479388793745,77.35355139330474,0.0003013763591491591,2.5213030246712096,0.9547576431522928,691.010138731974,13.902692740012787,0.7528715285373464,0.24522076740672027,7.1162361371880465,25.94345246946096,0.16863396326850164,1094.7956770288565
zach,310.199525,72.882327,106.93849714668453,18.38959203080831,70.99768356562369,0.00024207514448999377,2.379711988620618,0.8423076739555613,814.1546359274978,12.651174860776502,0.5423453393735799,0.3404099207339704,5.126316186220787,36.01411369880866,0.12147868603352364,1519.7705870447953
