nickname,band,fluence_jy_ms_hz,stat_err_jy_ms_hz,window_status,window_sensitivity_frac,calibration_status,noise_status,review_status,input_path,input_sha256,calibration_paths,calibration_sha256,thresholds_sigma,pad_factors
casey,CHIME,14826032737.497114,34074830.766824387,candidate,0.0092592101,pending_review,pending_validation,pending,/Users/jakobfaber/Data/Faber2026/chimefrb/CHIME_bursts/casey_chime_I_491_2085_32000b_cntr_bpc.npy,79e9cba92716263d7644cafafe4d35a3ea646f18509be094033b67c6fc4440c4,energetics/studies/burst-energies/chime_sefd.csv,170f6bea53024825ac3ed58d1844d34fc69d8a51ad51be059ba681185ce3204a,"2.5,3.0,3.5","0.25,0.5,1.0"
casey,DSA,6648050754.1962166,177145400.36824477,candidate,0.0486669,pending_review,pending_validation,pending,/Users/jakobfaber/Data/Faber2026/dsa110/DSA_bursts/casey_dsa_I_491_211_2500b_cntr_bpc.npy,5ec04b0d83f66b67209e1539a37e5b917c294784ac85ae6572116fbd319bc4df,/Users/jakobfaber/Documents/DSA110_beam_1.h5;energetics/studies/burst-energies/dsa_sefd.csv;energetics/studies/burst-energies/dsa_pointing.csv,f77c98424ddf732e15830b2f2a7972ddd7baba707f7660cedda76b5b4332e277,"2.5,3.0,3.5","0.25,0.5,1.0"
chromatica,CHIME,5994964099.3171034,42362922.23348143,candidate,0.019194712,pending_review,pending_validation,pending,/Users/jakobfaber/Data/Faber2026/chimefrb/CHIME_bursts/chromatica_chime_I_272_6382_32000b_cntr_bpc.npy,609a8751415323f3191ea2f45b07d6598c5336247f523eda887668f26b29b2b5,energetics/studies/burst-energies/chime_sefd.csv,170f6bea53024825ac3ed58d1844d34fc69d8a51ad51be059ba681185ce3204a,"2.5,3.0,3.5","0.25,0.5,1.0"
chromatica,DSA,7067181843.4602804,245227116.1469256,candidate,0.079676556,pending_review,pending_validation,pending,/Users/jakobfaber/Data/Faber2026/dsa110/DSA_bursts/chromatica_dsa_I_272_368_2500b_cntr_bpc.npy,93658a33b0facbc3f753480ea48d216b572cc2e0f8b7adaf7f61b92fdd7fe533,/Users/jakobfaber/Documents/DSA110_beam_1.h5;energetics/studies/burst-energies/dsa_sefd.csv;energetics/studies/burst-energies/dsa_pointing.csv,f77c98424ddf732e15830b2f2a7972ddd7baba707f7660cedda76b5b4332e277,"2.5,3.0,3.5","0.25,0.5,1.0"
freya,CHIME,6864220284.4152508,36429546.584057242,candidate,0.038369518,pending_review,pending_validation,pending,/Users/jakobfaber/Data/Faber2026/chimefrb/CHIME_bursts/freya_chime_I_912_4067_32000b_cntr_bpc.npy,55561c3d9daad2023f876d62e7579ecea987b214022882a6930fe8c242d59f80,energetics/studies/burst-energies/chime_sefd.csv,170f6bea53024825ac3ed58d1844d34fc69d8a51ad51be059ba681185ce3204a,"2.5,3.0,3.5","0.25,0.5,1.0"
freya,DSA,26867921913.176697,310438647.69988084,candidate,0.0074466712,pending_review,pending_validation,pending,/Users/jakobfaber/Data/Faber2026/dsa110/DSA_bursts/freya_dsa_I_912_4_2500b_cntr_bpc.npy,f01a33531fffd14ac86c9ae1e824b7487df5929b7a4ed735df9e496d41cae705,/Users/jakobfaber/Documents/DSA110_beam_1.h5;energetics/studies/burst-energies/dsa_sefd.csv;energetics/studies/burst-energies/dsa_pointing.csv,f77c98424ddf732e15830b2f2a7972ddd7baba707f7660cedda76b5b4332e277,"2.5,3.0,3.5","0.25,0.5,1.0"
hamilton,CHIME,2995678284.6218572,31067221.712924335,candidate,0.0095023783,pending_review,pending_validation,pending,/Users/jakobfaber/Data/Faber2026/chimefrb/CHIME_bursts/hamilton_chime_I_518_8007_32000b_cntr_bpc.npy,86be9081500950735bd3f5d5cdd3370f101c260501f56001bb9cc9ce439652cb,energetics/studies/burst-energies/chime_sefd.csv,170f6bea53024825ac3ed58d1844d34fc69d8a51ad51be059ba681185ce3204a,"2.5,3.0,3.5","0.25,0.5,1.0"
hamilton,DSA,924160622.18388212,53510342.867142163,failed_unstable,0.3710888,pending_review,pending_validation,pending,/Users/jakobfaber/Data/Faber2026/dsa110/DSA_bursts/hamilton_dsa_I_518_799_2500b_cntr_bpc.npy,6693e3108b93c6c5aa560b0edf649fb4e0260f28db2532690ca9fabb726b8aff,/Users/jakobfaber/Documents/DSA110_beam_1.h5;energetics/studies/burst-energies/dsa_sefd.csv;energetics/studies/burst-energies/dsa_pointing.csv,f77c98424ddf732e15830b2f2a7972ddd7baba707f7660cedda76b5b4332e277,"2.5,3.0,3.5","0.25,0.5,1.0"
isha,CHIME,,,failed:2.5/0.25:failed_insufficient_crop_samples;2.5/0.5:failed_insufficient_crop_samples;3.0/0.25:failed_no_samples_above_threshold;3.0/0.5:failed_no_samples_above_threshold;3.0/1.0:failed_no_samples_above_threshold;3.5/0.25:failed_no_samples_above_threshold;3.5/0.5:failed_no_samples_above_threshold;3.5/1.0:failed_no_samples_above_threshold,,pending_review,pending_validation,pending,,,,,"2.5,3.0,3.5","0.25,0.5,1.0"
isha,DSA,1204604067.8116539,194899988.65042365,candidate,0.080172397,pending_review,pending_validation,pending,/Users/jakobfaber/Data/Faber2026/dsa110/DSA_bursts/isha_dsa_I_411_568_2500b_cntr_bpc.npy,32499c0e11bed7dc774c02461c1241b5c394cd0d21d79f4bbfaebfda32b57f36,/Users/jakobfaber/Documents/DSA110_beam_1.h5;energetics/studies/burst-energies/dsa_sefd.csv;energetics/studies/burst-energies/dsa_pointing.csv,f77c98424ddf732e15830b2f2a7972ddd7baba707f7660cedda76b5b4332e277,"2.5,3.0,3.5","0.25,0.5,1.0"
