variant,burst,adopted_dm,product_dm_C,product_dm_D,components_C,components_D,nlive
zach_C2D4,zach,262.361665,262.362100,262.368000,2,4,1000
whitney_C2D2,whitney,462.188773,462.189100,462.174000,2,2,800
whitney_C2D3,whitney,462.188773,462.189100,462.174000,2,3,1000
oran_C2D1,oran,397.015535,397.015300,396.882000,2,1,800
isha_C2D1,isha,411.435717,411.435900,411.568000,2,1,800
wilhelm_C1D1,wilhelm,602.377821,602.380900,602.346000,1,1,800
wilhelm_C1D2,wilhelm,602.377821,602.380900,602.346000,1,2,800
wilhelm_C1D3,wilhelm,602.377821,602.380900,602.346000,1,3,1000
wilhelm_C1D4,wilhelm,602.377821,602.380900,602.346000,1,4,1200
phineas_C3D3,phineas,610.289070,610.289400,610.274000,3,3,1000
freya_C1D1,freya,912.407552,912.406700,912.400000,1,1,800
johndoeII_C2D2,johndoeII,696.518001,696.518400,696.506000,2,2,800
hamilton_C3D1,hamilton,518.796993,518.800700,518.799000,3,1,800
hamilton_C4D1,hamilton,518.796993,518.800700,518.799000,4,1,1000
mahi_C1D1,mahi,960.131611,960.131600,960.128000,1,1,800
mahi_C1D2,mahi,960.131611,960.131600,960.128000,1,2,800
chromatica_C1D1,chromatica,272.638699,272.638200,272.368000,1,1,800
chromatica_C2D1,chromatica,272.638699,272.638200,272.368000,2,1,800
chromatica_C2D2,chromatica,272.638699,272.638200,272.368000,2,2,1000
casey_C2D1,casey,491.207826,491.208500,491.211000,2,1,800
