name,z_frb,l_deg,b_deg,dm_obs,dm_mw_ism,dm_mw_ism_ymw16,dm_mw_halo,dm_cosmic,dm_intervening,dm_intervening_hot,dm_intervening_cool,dm_intervening_capped,dm_intervening_hot_capped,dm_intervening_cool_capped,dm_intervening_regime,intervening_mass_source,intervening_mass_confidence,z_is_placeholder,min_b_over_rvir,dm_host,dm_host_capped,dm_host_rest,dm_host_rest_capped,dm_host_halo_pred,dm_host_ism_pred,dm_host_pred,dm_host_unattrib,host_pred_method,tau_obs_ms,tau_obs_err_minus,tau_obs_err_plus,tau_obs_quality,tau_obs_chi2_reduced,tau_mw_ms,tau_intervening_ms,tau_intervening_lo,tau_intervening_hi,n_foreground,n_intersecting,deep_imaging_constrained,surveys_not_applicable,coverage_known,verdict_scattering,verdict_dm,cgm_budget_flags,best_z,best_b_over_rvir,best_g_scatt,best_cool_fc,best_logM,best_mass_source,best_impact_kpc
FRB 20220207C,0.043,106.93849734178492,18.38959215371845,262.0,,,40.0,35.67350989384312,0.0,0.0,0.0,0.0,0.0,0.0,none,,none,False,,186.32649010615688,186.32649010615688,194.33852918072162,194.33852918072162,,,,,none,,,,,,,0.0,0.0,0.0,0,0,True,,False,no scattering measurement (predicted intervening tau=0 ms),host-dominated,"{'z_frb': 'MEASURED', 'dm_obs': 'MEASURED', 'dm_mw_ism': 'NOT_AVAILABLE', 'dm_mw_halo': 'PRIOR', 'dm_cosmic': 'PREDICTED_MEAN', 'dm_intervening': 'PREDICTED (none mass)', 'dm_intervening_capped': 'PREDICTED (none)', 'dm_host': 'RESIDUAL', 'dm_host_pred': 'NOT_AVAILABLE', 'dm_host_unattrib': 'NOT_AVAILABLE', 'tau_obs': 'NOT_AVAILABLE', 'tau_mw': 'NOT_AVAILABLE', 'tau_intervening': 'PREDICTED'}",,,,,,,
FRB 20220310F,0.479,140.0243711948104,34.798013663093236,462.0,,,40.0,426.94425710909917,3.9397078194627237,3.8953286471881823,0.04437917227454152,3.9397078194627237,3.8953286471881823,0.04437917227454152,CGM,desi_ls_sed,measured,False,0.9433537541243654,-8.883964928561893,-8.883964928561893,-13.139384129343041,-13.139384129343041,,,,,none,,,,,,,0.00014440398811437643,4.8090984697527784e-05,0.00043433511310135597,1,1,True,,False,no scattering measurement (predicted intervening tau=0.00014 ms),cosmic/IGM-dominated,"{'z_frb': 'MEASURED', 'dm_obs': 'MEASURED', 'dm_mw_ism': 'NOT_AVAILABLE', 'dm_mw_halo': 'PRIOR', 'dm_cosmic': 'PREDICTED_MEAN', 'dm_intervening': 'PREDICTED (measured mass)', 'dm_intervening_capped': 'PREDICTED (CGM)', 'dm_host': 'RESIDUAL', 'dm_host_pred': 'NOT_AVAILABLE', 'dm_host_unattrib': 'NOT_AVAILABLE', 'tau_obs': 'NOT_AVAILABLE', 'tau_mw': 'NOT_AVAILABLE', 'tau_intervening': 'PREDICTED'}",0.3585,0.9433537541243654,242.01172674570066,0.033374490707597904,9.604533681319118,desi_ls_sed,100.72719129937906
FRB 20220506D,0.3005,108.35440989829576,16.5134442585033,397.0,,,40.0,262.12079603495243,0.0,0.0,0.0,0.0,0.0,0.0,none,,none,False,,94.87920396504757,94.87920396504757,123.39040475654436,123.39040475654436,,,,,none,,,,,,,0.0,0.0,0.0,0,0,True,,False,no scattering measurement (predicted intervening tau=0 ms),cosmic/IGM-dominated,"{'z_frb': 'MEASURED', 'dm_obs': 'MEASURED', 'dm_mw_ism': 'NOT_AVAILABLE', 'dm_mw_halo': 'PRIOR', 'dm_cosmic': 'PREDICTED_MEAN', 'dm_intervening': 'PREDICTED (none mass)', 'dm_intervening_capped': 'PREDICTED (none)', 'dm_host': 'RESIDUAL', 'dm_host_pred': 'NOT_AVAILABLE', 'dm_host_unattrib': 'NOT_AVAILABLE', 'tau_obs': 'NOT_AVAILABLE', 'tau_mw': 'NOT_AVAILABLE', 'tau_intervening': 'PREDICTED'}",,,,,,,
FRB 20221113A,0.2505,140.31826861729442,15.833716054363808,411.0,,,40.0,216.8099467212724,0.0,0.0,0.0,0.0,0.0,0.0,none,,none,False,,154.1900532787276,154.1900532787276,192.81466162504884,192.81466162504884,,,,,none,,,,,,,0.0,0.0,0.0,0,0,True,,False,no scattering measurement (predicted intervening tau=0 ms),cosmic/IGM-dominated,"{'z_frb': 'MEASURED', 'dm_obs': 'MEASURED', 'dm_mw_ism': 'NOT_AVAILABLE', 'dm_mw_halo': 'PRIOR', 'dm_cosmic': 'PREDICTED_MEAN', 'dm_intervening': 'PREDICTED (none mass)', 'dm_intervening_capped': 'PREDICTED (none)', 'dm_host': 'RESIDUAL', 'dm_host_pred': 'NOT_AVAILABLE', 'dm_host_unattrib': 'NOT_AVAILABLE', 'tau_obs': 'NOT_AVAILABLE', 'tau_mw': 'NOT_AVAILABLE', 'tau_intervening': 'PREDICTED'}",,,,,,,
FRB 20221203A,,107.134940298412,16.691479538299106,602.0,,,40.0,,0.0,0.0,0.0,0.0,0.0,0.0,none,,none,True,,,,,,,,,,z_placeholder,,,,,,,0.0,0.0,0.0,0,0,True,,False,no scattering measurement (predicted intervening tau=0 ms),host redshift is missing or placeholder; cosmic and host DM budget unavailable,"{'z_frb': 'MISSING_OR_PLACEHOLDER', 'dm_obs': 'MEASURED', 'dm_mw_ism': 'NOT_AVAILABLE', 'dm_mw_halo': 'PRIOR', 'dm_cosmic': 'NOT_AVAILABLE (missing or placeholder redshift)', 'dm_intervening': 'PREDICTED (none mass)', 'dm_intervening_capped': 'PREDICTED (none)', 'dm_host': 'NOT_AVAILABLE', 'dm_host_pred': 'NOT_AVAILABLE', 'dm_host_unattrib': 'NOT_AVAILABLE', 'tau_obs': 'NOT_AVAILABLE', 'tau_mw': 'NOT_AVAILABLE', 'tau_intervening': 'PREDICTED'}",,,,,,,
FRB 20230307A,0.271,129.52665822649112,44.65228228862628,610.0,,,40.0,235.32772966652593,284.24750552476394,282.3313941051057,1.9161114196582705,284.24750552476394,282.3313941051057,1.9161114196582705,CGM,ps1_taylor,measured,False,0.5120065615460274,50.424764808710165,50.424764808710165,64.08987607187062,64.08987607187062,,,,,none,,,,,,,0.017179300161051576,0.0056729434341047,0.052913356415190224,6,4,True,,False,no scattering measurement (predicted intervening tau=0.017 ms),intervening galaxy-dominated,"{'z_frb': 'MEASURED', 'dm_obs': 'MEASURED', 'dm_mw_ism': 'NOT_AVAILABLE', 'dm_mw_halo': 'PRIOR', 'dm_cosmic': 'PREDICTED_MEAN', 'dm_intervening': 'PREDICTED (measured mass)', 'dm_intervening_capped': 'PREDICTED (CGM)', 'dm_host': 'RESIDUAL', 'dm_host_pred': 'NOT_AVAILABLE', 'dm_host_unattrib': 'NOT_AVAILABLE', 'tau_obs': 'NOT_AVAILABLE', 'tau_mw': 'NOT_AVAILABLE', 'tau_intervening': 'PREDICTED'}",0.2146,0.547387673344037,145.7948041189536,0.10653910272143617,10.672284480542231,ps1_taylor,129.62253290179754
FRB 20230325C,,139.45645607819293,22.171682247918987,912.0,,,40.0,,0.0,0.0,0.0,0.0,0.0,0.0,none,,none,True,,,,,,,,,,z_placeholder,,,,,,,0.0,0.0,0.0,0,0,True,,False,no scattering measurement (predicted intervening tau=0 ms),host redshift is missing or placeholder; cosmic and host DM budget unavailable,"{'z_frb': 'MISSING_OR_PLACEHOLDER', 'dm_obs': 'MEASURED', 'dm_mw_ism': 'NOT_AVAILABLE', 'dm_mw_halo': 'PRIOR', 'dm_cosmic': 'NOT_AVAILABLE (missing or placeholder redshift)', 'dm_intervening': 'PREDICTED (none mass)', 'dm_intervening_capped': 'PREDICTED (none)', 'dm_host': 'NOT_AVAILABLE', 'dm_host_pred': 'NOT_AVAILABLE', 'dm_host_unattrib': 'NOT_AVAILABLE', 'tau_obs': 'NOT_AVAILABLE', 'tau_mw': 'NOT_AVAILABLE', 'tau_intervening': 'PREDICTED'}",,,,,,,
FRB 20230913G,0.3024,104.17440398761258,18.66762091460995,518.0,,,40.0,263.8519601763153,0.0,0.0,0.0,0.0,0.0,0.0,none,,none,False,,214.1480398236847,214.1480398236847,278.90640706636697,278.90640706636697,,,,,none,,,,,,,0.0,0.0,0.0,0,0,True,,False,no scattering measurement (predicted intervening tau=0 ms),cosmic/IGM-dominated,"{'z_frb': 'MEASURED', 'dm_obs': 'MEASURED', 'dm_mw_ism': 'NOT_AVAILABLE', 'dm_mw_halo': 'PRIOR', 'dm_cosmic': 'PREDICTED_MEAN', 'dm_intervening': 'PREDICTED (none mass)', 'dm_intervening_capped': 'PREDICTED (none)', 'dm_host': 'RESIDUAL', 'dm_host_pred': 'NOT_AVAILABLE', 'dm_host_unattrib': 'NOT_AVAILABLE', 'tau_obs': 'NOT_AVAILABLE', 'tau_mw': 'NOT_AVAILABLE', 'tau_intervening': 'PREDICTED'}",,,,,,,
FRB 20240122A,,131.52727045730722,9.964473837268514,960.0,,,40.0,,0.0,0.0,0.0,0.0,0.0,0.0,none,,none,True,,,,,,,,,,z_placeholder,,,,,,,0.0,0.0,0.0,0,0,True,,False,no scattering measurement (predicted intervening tau=0 ms),host redshift is missing or placeholder; cosmic and host DM budget unavailable,"{'z_frb': 'MISSING_OR_PLACEHOLDER', 'dm_obs': 'MEASURED', 'dm_mw_ism': 'NOT_AVAILABLE', 'dm_mw_halo': 'PRIOR', 'dm_cosmic': 'NOT_AVAILABLE (missing or placeholder redshift)', 'dm_intervening': 'PREDICTED (none mass)', 'dm_intervening_capped': 'PREDICTED (none)', 'dm_host': 'NOT_AVAILABLE', 'dm_host_pred': 'NOT_AVAILABLE', 'dm_host_unattrib': 'NOT_AVAILABLE', 'tau_obs': 'NOT_AVAILABLE', 'tau_mw': 'NOT_AVAILABLE', 'tau_intervening': 'PREDICTED'}",,,,,,,
FRB 20240203D,0.074,108.23494559185703,18.396682300065688,272.0,,,40.0,61.85104371640024,0.0,0.0,0.0,0.0,0.0,0.0,none,,none,False,,170.14895628359977,170.14895628359977,182.73997904858618,182.73997904858618,,,,,none,,,,,,,0.0,0.0,0.0,0,0,True,,False,no scattering measurement (predicted intervening tau=0 ms),host-dominated,"{'z_frb': 'MEASURED', 'dm_obs': 'MEASURED', 'dm_mw_ism': 'NOT_AVAILABLE', 'dm_mw_halo': 'PRIOR', 'dm_cosmic': 'PREDICTED_MEAN', 'dm_intervening': 'PREDICTED (none mass)', 'dm_intervening_capped': 'PREDICTED (none)', 'dm_host': 'RESIDUAL', 'dm_host_pred': 'NOT_AVAILABLE', 'dm_host_unattrib': 'NOT_AVAILABLE', 'tau_obs': 'NOT_AVAILABLE', 'tau_mw': 'NOT_AVAILABLE', 'tau_intervening': 'PREDICTED'}",,,,,,,
