# Kulkarni S2 (plan-cluster-crossing-probability-2026-07-17). Quotability verdict: quotable (max variant spread 0.09, rule <=0.30)
quantity,value
N_exp_primary_verdi_tinker08_ge1.48e14,0.0772
N_exp_control_zset,0.0766
N_exp_alt_fit_despali16,0.0703
N_exp_ST_diagnostic_overcounts_by_construction,0.2427
N_exp_ge1.0e14,0.1313
N_exp_fixed_sigma_variant,0.0551
N_exp_12sightline_tertiary,0.1049
n_gt_1.48e14_z0.2_Mpc-3,2.170e-06
n_gt_1.0e14_z0.2_Mpc-3,4.648e-06
per_sightline_z=0.043,0.00155
per_sightline_z=0.479,0.01326
per_sightline_z=0.3005,0.00956
per_sightline_z=0.2505,0.00824
per_sightline_z=0.271,0.00879
per_sightline_z=0.3024,0.00961
per_sightline_z=0.074,0.00265
per_sightline_z=0.287,0.00921
per_sightline_z=0.5535,0.01437
