tns,nickname,kind,mass_source,z,impact_kpc,dm_point
FRB 20220207C,zach,galaxy,glade_catalog,0.04068,19.387532297120153,39.381247190219
FRB 20220207C,zach,galaxy,glade_catalog,0.042735,24.088656608518928,30.13278323693141
FRB 20220310F,whitney,galaxy,assumed,0.3585,104.8,10.627841948462075
FRB 20221113A,isha,galaxy,glade_catalog,0.047488851637813,16.17953810256848,40.57534370349496
FRB 20221203A,wilhelm,galaxy,assumed,0.46,32.32766345999052,44.353233647490505
FRB 20221203A,wilhelm,galaxy,assumed,0.46,38.1636287042571,39.496307866186406
FRB 20230307A,phineas,galaxy,assumed,0.1925,158.8,1.210880587052255
FRB 20230307A,phineas,galaxy,assumed,0.1649,122.2,8.919682181729751
FRB 20230307A,phineas,galaxy,assumed,0.2146,135.8,5.860834998364687
FRB 20230307A,phineas,galaxy,assumed,0.1096,121.1,9.725721445887219
FRB 20230307A,phineas,galaxy,assumed,0.1925,130.6,7.06077536813304
FRB 20230307A,phineas,galaxy,assumed,0.2146,111.8,10.49476091275159
FRB 20230307A,phineas,galaxy,assumed,0.1096,101.7,13.866856278078915
FRB 20230307A,phineas,cluster,cluster_catalog,0.2,603.6,183.674227906529
FRB 20230913A,hamilton,galaxy,assumed,0.222,35.48512762283921,41.47649807804349
