burst,z,dm_host_arith,dm_int_p16,dm_int_p50,dm_int_p84,dm_host_p16,dm_host_p50,dm_host_p84,p_host_negative,dm_host_rest_p16,dm_host_rest_p50,dm_host_rest_p84
FRB 20220207C,0.043,115,0,0,0,83,115,141,0.002,86,120,147
FRB 20220310F,0.479,-52,4,6,9,-116,-10,77,0.540,-172,-14,115
FRB 20220506D,0.3,17,0,0,0,-39,42,108,0.293,-51,55,140
FRB 20221113A,0.251,71,0,0,0,16,90,149,0.118,20,113,187
FRB 20230307A,0.271,46,203,255,322,-36,62,144,0.257,-46,79,183
FRB 20230814B,0.5535,63,0,0,0,-13,108,210,0.185,-20,168,326
FRB 20230913A,0.302,145,0,0,0,90,171,236,0.030,117,223,307
FRB 20240203A,0.074,74,18,26,39,33,72,105,0.045,35,78,113
FRB 20240229A,0.287,50,90,121,163,-20,66,136,0.217,-26,85,176

cluster_beta_model_p16_p50_p84,137,200,265
cluster_95CI_lo_hi,84,328
